date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,17.55 ( -0.28 %),499,"771,500","1,546.09",447,"997,100","2,231","-225,600",agr
11/09/2024,17.6 ( -0.85 %),"1,525","2,565,000","1,681.97",728,"2,058,700","2,828","506,300",agr
10/09/2024,17.75 ( -1.39 %),"1,043","1,766,400","1,693.58",590,"1,735,200","2,941","31,200",agr
09/09/2024,18 ( -0.28 %),847,"1,234,900","1,457.97",435,"967,100","2,223","267,800",agr
06/09/2024,18.05 ( 0 %),802,"1,337,100","1,667.21",566,"1,287,300","2,274","49,800",agr
05/09/2024,18.05 ( -0.28 %),920,"1,969,100","2,140.33",715,"2,074,300","2,901","-105,200",agr
04/09/2024,18.1 ( -1.9 %),"1,478","2,873,000","1,943.84",606,"2,176,000","3,591","697,000",agr
30/08/2024,18.45 ( 0.54 %),715,"1,559,700","2,181.4",676,"1,840,900","2,723","-281,200",agr
29/08/2024,18.35 ( -1.08 %),753,"1,346,900","1,788.71",756,"1,833,100","2,425","-486,200",agr
28/08/2024,18.55 ( 0.27 %),"1,234","2,400,400","1,945.22",948,"2,505,300","2,643","-104,900",agr
27/08/2024,18.5 ( -1.6 %),"1,294","2,034,700","1,572.41",897,"3,224,600","3,595","-1,189,900",agr
26/08/2024,18.8 ( -0.79 %),"1,103","2,807,200","2,545.06","1,633","3,803,800","2,329","-996,600",agr
23/08/2024,18.95 ( 2.71 %),"1,357","3,672,600","2,706.41","1,543","3,484,900","2,259","187,700",agr
22/08/2024,18.45 ( -0.27 %),"1,313","4,214,100","3,209.52","1,051","2,671,200","2,542","1,542,900",agr
21/08/2024,18.5 ( -0.27 %),"1,368","2,283,700","1,669.37",798,"2,657,600","3,330","-373,900",agr
20/08/2024,18.55 ( 1.37 %),"1,716","6,440,200","3,753.03","1,656","4,652,700","2,810","1,787,500",agr
19/08/2024,18.3 ( 3.1 %),"1,427","6,399,000","4,484.23","1,508","3,416,600","2,266","2,982,400",agr
16/08/2024,17.75 ( 6.93 %),"1,768","16,024,600","9,063.69","1,462","3,466,800","2,371","12,557,800",agr
15/08/2024,16.6 ( -1.19 %),"1,069","2,242,300","2,097.57",558,"1,386,700","2,485","855,600",agr
14/08/2024,16.8 ( -2.04 %),"1,028","1,726,300","1,679.28",694,"2,602,000","3,749","-875,700",agr
13/08/2024,17.15 ( -1.44 %),999,"2,122,400","2,124.52",763,"2,635,100","3,454","-512,700",agr
12/08/2024,17.4 ( 0.29 %),811,"1,513,000","1,865.6",678,"2,148,200","3,168","-635,200",agr
08/08/2024,16.6 ( -1.19 %),956,"1,717,000","1,796.03",797,"1,906,800","2,392","-189,800",agr
07/08/2024,16.8 ( -0.59 %),837,"1,331,100","1,590.32",694,"1,644,300","2,369","-313,200",agr
06/08/2024,16.9 ( 3.68 %),"1,086","3,003,300","2,765.47","1,166","3,276,000","2,810","-272,700",agr
05/08/2024,16.3 ( -4.12 %),"1,362","2,627,100","1,928.85",941,"2,520,100","2,678","107,000",agr
02/08/2024,17 ( 4.94 %),"1,228","2,734,900","2,227.12",912,"2,738,700","3,003","-3,800",agr
01/08/2024,16.2 ( -6.36 %),"2,284","4,497,500","1,969.13",887,"4,852,600","5,471","-355,100",agr
31/07/2024,17.3 ( -0.57 %),518,"1,031,600","1,991.51",574,"1,321,700","2,303","-290,100",agr
30/07/2024,17.4 ( -1.69 %),820,"1,297,200","1,581.95",462,"1,265,000","2,738","32,200",agr
29/07/2024,17.7 ( 0.57 %),688,"1,284,600","1,867.15",588,"1,083,700","1,843","200,900",agr
26/07/2024,17.6 ( 0.57 %),670,"1,260,100","1,880.75",570,"1,341,300","2,353","-81,200",agr
25/07/2024,17.5 ( -0.57 %),899,"2,011,000","2,236.93",467,"1,124,100","2,407","886,900",agr
24/07/2024,17.6 ( 1.73 %),"1,895","3,635,200","1,918.31",987,"2,627,300","2,662","1,007,900",agr
22/07/2024,17.5 ( -4.89 %),"2,781","4,850,300","1,744.08","1,437","4,324,600","3,009","525,700",agr
19/07/2024,18.4 ( -3.16 %),"1,660","2,377,200","1,432.05",806,"2,563,900","3,181","-186,700",agr
18/07/2024,19 ( 0.26 %),"1,744","2,975,800","1,706.31",748,"2,375,800","3,176","600,000",agr
17/07/2024,0 ( 0 %),"1,505","2,919,900","1,940.13","1,040","3,316,900","3,189","-397,000",agr
16/07/2024,0 ( 0 %),"1,319","2,501,500","1,896.51","1,142","3,008,900","2,635","-507,400",agr
15/07/2024,19.6 ( 0 %),780,"1,407,100","1,803.97",739,"1,836,100","2,485","-429,000",agr
12/07/2024,19.6 ( -0.51 %),923,"2,100,400","2,275.62",822,"2,117,700","2,576","-17,300",agr
11/07/2024,19.7 ( 0.77 %),"1,038","2,510,000","2,418.11","1,346","2,953,100","2,194","-443,100",agr
10/07/2024,19.55 ( -1.26 %),"1,060","2,371,400","2,237.17","1,085","2,984,700","2,751","-613,300",agr
09/07/2024,19.8 ( 2.59 %),"1,441","4,327,700","3,003.26","1,979","4,046,200","2,045","281,500",agr
08/07/2024,19.3 ( 1.05 %),"1,006","2,501,400","2,486.48","1,026","2,237,200","2,181","264,200",agr
05/07/2024,19.1 ( 0 %),"1,830","3,350,800","1,831.04",717,"2,865,900","3,997","484,900",agr
04/07/2024,19.1 ( -0.78 %),"1,052","2,090,300","1,986.98","1,076","2,561,900","2,381","-471,600",agr
03/07/2024,19.25 ( -0.26 %),875,"1,887,300","2,156.91",951,"2,134,500","2,244","-247,200",agr
02/07/2024,19.3 ( 1.05 %),905,"1,850,300","2,044.53","1,160","2,354,100","2,029","-503,800",agr
01/07/2024,19.1 ( 3.24 %),"1,455","2,867,200","1,970.58",827,"1,552,100","1,877","1,315,100",agr
28/06/2024,18.5 ( -3.39 %),"2,591","5,259,200","2,029.8","1,237","4,184,200","3,383","1,075,000",agr
27/06/2024,19.15 ( -1.29 %),"1,300","2,043,400","1,571.85",668,"1,719,900","2,575","323,500",agr
26/06/2024,19.4 ( -0.26 %),"1,557","2,677,600","1,719.72",870,"2,415,200","2,776","262,400",agr
25/06/2024,19.45 ( 1.3 %),"1,179","2,407,200","2,041.73",774,"1,887,300","2,438","519,900",agr
24/06/2024,19.2 ( -6.57 %),"4,345","7,823,000","1,800.46","1,904","7,158,200","3,760","664,800",agr
21/06/2024,20.55 ( -1.44 %),"1,650","2,851,400","1,728.12",984,"2,699,900","2,744","151,500",agr
20/06/2024,20.85 ( -1.65 %),"1,661","2,956,000","1,779.65","1,031","2,634,100","2,555","321,900",agr
19/06/2024,21.2 ( 1.44 %),"2,914","5,511,400","1,891.35","1,481","4,290,200","2,897","1,221,200",agr
18/06/2024,20.9 ( -1.42 %),"1,315","2,740,400","2,083.95",938,"2,791,500","2,976","-51,100",agr
17/06/2024,21.2 ( 1.19 %),"2,225","5,273,800","2,370.25","1,361","4,033,000","2,963","1,240,800",agr
14/06/2024,20.95 ( -6.89 %),"2,130","4,414,500","2,072.54","1,901","6,001,800","3,157","-1,587,300",agr
13/06/2024,22.5 ( -1.53 %),"1,475","3,042,200","2,062.51","1,256","4,606,600","3,668","-1,564,400",agr
12/06/2024,22.85 ( -0.44 %),"1,709","4,026,600","2,356.11","2,212","4,714,200","2,131","-687,600",agr
11/06/2024,22.95 ( 2.91 %),"2,214","6,929,900","3,130.04","3,255","7,689,400","2,362","-759,500",agr
10/06/2024,22.3 ( 2.29 %),"1,942","5,675,800","2,922.66","3,085","6,791,700","2,202","-1,115,900",agr
07/06/2024,21.8 ( 1.87 %),"1,206","2,764,100","2,291.96","1,308","3,197,500","2,445","-433,400",agr
06/06/2024,21.4 ( -0.7 %),"1,744","3,251,300","1,864.28","1,493","4,277,300","2,865","-1,026,000",agr
05/06/2024,21.55 ( 0.23 %),"1,937","4,706,900","2,429.99","2,240","5,654,800","2,524","-947,900",agr
04/06/2024,21.5 ( -0.23 %),"1,794","3,863,000","2,153.29","2,325","6,411,300","2,758","-2,548,300",agr
03/06/2024,21.55 ( 1.17 %),"1,539","2,940,300","1,910.53","1,906","4,774,900","2,505","-1,834,600",agr
31/05/2024,21.3 ( -2.29 %),"1,940","4,185,000","2,157.22","2,593","6,627,300","2,556","-2,442,300",agr
30/05/2024,21.8 ( 5.57 %),"3,539","9,614,300","2,716.67","4,457","9,055,600","2,032","558,700",agr
29/05/2024,20.65 ( 1.98 %),"2,582","7,045,900","2,728.85","4,080","8,329,000","2,041","-1,283,100",agr
28/05/2024,20.25 ( 3.85 %),"1,495","3,738,400","2,500.6","2,051","4,646,600","2,266","-908,200",agr
27/05/2024,19.5 ( -0.76 %),"1,337","2,277,400","1,703.37",811,"2,494,200","3,075","-216,800",agr
24/05/2024,19.65 ( -4.38 %),"3,934","6,172,100","1,568.91","1,999","6,840,900","3,422","-668,800",agr
23/05/2024,20.55 ( 0.49 %),"2,179","3,816,000","1,751.26","1,755","4,262,600","2,429","-446,600",agr
22/05/2024,20.45 ( 1.24 %),"2,539","5,653,800","2,226.78","3,059","6,486,300","2,120","-832,500",agr
21/05/2024,20.2 ( 0.5 %),"2,313","4,305,700","1,861.52","1,374","4,543,800","3,307","-238,100",agr
20/05/2024,20.1 ( 0 %),"1,380","2,713,000","1,965.94","1,838","3,642,000","1,982","-929,000",agr
17/05/2024,20.1 ( 2.03 %),"1,846","4,866,400","2,636.19","2,135","5,433,600","2,545","-567,200",agr
16/05/2024,19.7 ( 0.25 %),"1,421","3,332,300","2,345.04","1,653","5,316,500","3,216","-1,984,200",agr
15/05/2024,19.65 ( 3.15 %),"2,206","5,586,400","2,532.37","2,421","6,891,000","2,846","-1,304,600",agr
14/05/2024,19.05 ( -0.26 %),"1,019","1,727,700","1,695.49","1,280","3,299,600","2,578","-1,571,900",agr
13/05/2024,19.1 ( 1.06 %),"1,926","4,635,200","2,406.65","1,728","4,280,100","2,477","355,100",agr
10/05/2024,18.9 ( 1.34 %),"1,489","3,437,400","2,308.53","1,439","4,002,700","2,782","-565,300",agr
09/05/2024,18.65 ( -1.06 %),"1,502","2,459,100","1,637.22","1,388","3,307,100","2,383","-848,000",agr
08/05/2024,18.85 ( 1.62 %),"2,372","5,882,500","2,479.97","2,162","5,948,700","2,751","-66,200",agr
07/05/2024,18.55 ( -0.54 %),"1,751","3,731,500","2,131.07","1,437","4,639,900","3,229","-908,400",agr
06/05/2024,18.65 ( 4.78 %),"1,599","4,589,500","2,870.23","2,440","6,077,700","2,491","-1,488,200",agr
03/05/2024,17.8 ( 1.42 %),"1,155","3,767,800","3,262.16","1,529","3,081,800","2,016","686,000",agr
02/05/2024,17.55 ( -2.5 %),"2,504","4,106,900","1,640.14","1,520","5,786,900","3,807","-1,680,000",agr
26/04/2024,18 ( -1.1 %),"2,238","3,723,600","1,663.81","1,570","4,347,200","2,769","-623,600",agr
25/04/2024,18.2 ( -1.62 %),"2,257","5,421,900","2,402.26","1,687","4,898,300","2,904","523,600",agr
24/04/2024,18.5 ( 4.52 %),"2,332","6,897,900","2,957.93","2,324","5,656,200","2,434","1,241,700",agr
23/04/2024,17.7 ( -6.84 %),"3,330","5,770,600","1,732.91","1,967","7,533,200","3,830","-1,762,600",agr
22/04/2024,19 ( 3.83 %),"2,514","6,114,900","2,432.34","2,482","6,248,800","2,518","-133,900",agr
19/04/2024,18.3 ( -6.87 %),"4,695","8,751,900","1,864.09","2,858","10,457,000","3,659","-1,705,100",agr
17/04/2024,19.65 ( -4.15 %),"2,959","4,956,200","1,674.96","1,652","5,703,500","3,452","-747,300",agr
16/04/2024,20.5 ( 1.74 %),"4,611","9,537,200","2,068.36","2,502","7,875,400","3,148","1,661,800",agr
15/04/2024,20.15 ( -6.93 %),"3,358","8,703,200","2,591.78","4,230","10,799,200","2,553","-2,096,000",agr
12/04/2024,21.65 ( 3.34 %),"1,782","4,622,800","2,594.16","2,353","5,341,800","2,270","-719,000",agr
11/04/2024,20.95 ( 1.21 %),"2,261","4,154,500","1,837.46","1,382","3,616,400","2,617","538,100",agr
10/04/2024,20.7 ( -1.66 %),"1,747","2,704,000","1,547.8","1,191","3,461,000","2,906","-757,000",agr
09/04/2024,21.05 ( 3.95 %),"1,949","4,663,100","2,392.56","1,586","4,191,200","2,643","471,900",agr
08/04/2024,20.25 ( -1.22 %),"2,746","6,381,000","2,323.74","1,595","4,446,800","2,788","1,934,200",agr
05/04/2024,20.5 ( -3.76 %),"3,647","6,573,100","1,802.33","1,557","5,677,500","3,646","895,600",agr
04/04/2024,21.3 ( -2.29 %),"3,556","5,656,800","1,590.78","1,448","5,333,800","3,684","323,000",agr
03/04/2024,21.8 ( -2.24 %),"2,523","5,344,500","2,118.31","2,464","8,432,400","3,422","-3,087,900",agr
02/04/2024,22.3 ( 0.68 %),"2,685","4,379,400","1,631.06","1,293","4,058,800","3,139","320,600",agr
01/04/2024,22.15 ( -0.67 %),"2,543","4,146,700","1,630.63","1,933","4,144,400","2,144","2,300",agr
29/03/2024,22.3 ( -1.55 %),"2,397","4,781,300","1,994.7","1,886","5,034,800","2,670","-253,500",agr
28/03/2024,22.65 ( 6.84 %),"3,776","11,895,800","3,150.37","4,150","9,914,300","2,389","1,981,500",agr
27/03/2024,21.2 ( 0.47 %),"1,518","3,089,700","2,035.38","1,648","3,680,700","2,233","-591,000",agr
26/03/2024,21.1 ( 1.69 %),"1,870","3,536,200","1,891.02","1,326","2,856,400","2,154","679,800",agr
25/03/2024,20.75 ( -1.66 %),"2,337","3,952,300","1,691.19","1,722","4,716,600","2,739","-764,300",agr
22/03/2024,21.1 ( 1.44 %),"2,950","6,451,500","2,186.95","3,234","8,287,600","2,563","-1,836,100",agr
21/03/2024,20.8 ( 0.24 %),"2,222","5,708,400","2,569.04","2,803","8,201,300","2,926","-2,492,900",agr
20/03/2024,20.75 ( 2.47 %),"1,987","4,635,300","2,332.81","2,085","5,216,700","2,502","-581,400",agr
19/03/2024,20.25 ( 0.5 %),"2,181","5,544,900","2,542.37","1,614","4,669,700","2,893","875,200",agr
18/03/2024,20.15 ( -6.28 %),"5,312","10,101,900","1,901.71","2,918","13,048,200","4,472","-2,946,300",agr
15/03/2024,21.5 ( 0.7 %),"2,796","5,686,700","2,033.87","1,540","5,250,900","3,410","435,800",agr
14/03/2024,21.35 ( -2.06 %),"3,674","6,985,100","1,901.22","2,116","7,622,600","3,602","-637,500",agr
13/03/2024,21.8 ( 4.31 %),"2,501","8,039,000","3,214.31","2,786","8,990,800","3,227","-951,800",agr
12/03/2024,20.9 ( -1.42 %),"2,689","5,471,400","2,034.73","1,592","5,697,800","3,579","-226,400",agr
11/03/2024,21.2 ( 0.95 %),"3,099","8,139,500","2,626.49","2,459","6,212,700","2,527","1,926,800",agr
08/03/2024,21 ( 2.94 %),"3,405","11,806,200","3,467.31","3,739","9,595,000","2,566","2,211,200",agr
07/03/2024,20.4 ( 6.81 %),"3,157","13,028,500","4,126.86","2,156","4,613,800","2,140","8,414,700",agr
06/03/2024,18.65 ( -0.8 %),"2,857","7,288,300","2,551.03","3,234","9,353,500","2,892","-2,065,200",agr
05/03/2024,18.8 ( 3.87 %),"2,562","6,350,000","2,478.53","1,880","6,174,300","3,284","175,700",agr
04/03/2024,18.1 ( 0 %),"1,417","3,721,900","2,626.61","1,623","4,050,300","2,496","-328,400",agr
01/03/2024,18.1 ( 3.72 %),"2,223","7,162,100","3,221.82","3,156","8,259,500","2,617","-1,097,400",agr
29/02/2024,17.45 ( 0.87 %),"1,843","5,543,400","3,007.81","2,336","6,998,700","2,996","-1,455,300",agr
28/02/2024,17.3 ( -0.57 %),"1,409","2,597,600","1,843.58","1,298","3,407,400","2,625","-809,800",agr
27/02/2024,17.4 ( 0.58 %),"1,273","4,007,500","3,148.08","1,658","4,534,200","2,735","-526,700",agr
26/02/2024,17.3 ( 4.53 %),"1,586","4,934,800","3,111.48","1,402","4,450,200","3,174","484,600",agr
23/02/2024,16.55 ( -3.5 %),"1,952","4,265,200","2,185.04","1,618","7,602,300","4,699","-3,337,100",agr
22/02/2024,17.15 ( -1.44 %),"1,291","2,162,100","1,674.75",826,"2,758,600","3,340","-596,500",agr
21/02/2024,17.4 ( -0.57 %),"1,178","2,306,500","1,957.98",976,"2,805,400","2,874","-498,900",agr
20/02/2024,17.5 ( 1.74 %),"1,591","5,777,100","3,631.11","2,193","5,863,400","2,674","-86,300",agr
19/02/2024,17.2 ( -0.58 %),"1,899","3,664,100","1,929.49","1,065","3,784,300","3,553","-120,200",agr
16/02/2024,17.3 ( 0 %),"1,296","2,767,100","2,135.11","1,099","3,703,700","3,370","-936,600",agr
15/02/2024,17.3 ( -0.29 %),"1,278","2,593,300","2,029.19",843,"3,291,400","3,904","-698,100",agr
07/02/2024,17.35 ( 0 %),0,0,0,0,0,0,0,agr
06/02/2024,17.35 ( 0.58 %),849,"2,382,500","2,806.24","1,511","3,456,700","2,288","-1,074,200",agr
05/02/2024,17.25 ( 0.29 %),931,"2,740,000","2,943.07","1,369","3,460,600","2,528","-720,600",agr
02/02/2024,17.2 ( 2.08 %),"1,662","8,139,200","4,897.23","2,951","8,133,500","2,756","5,700",agr
01/02/2024,16.85 ( 2.74 %),"1,103","2,570,500","2,330.46","1,074","3,676,100","3,423","-1,105,600",agr
31/01/2024,16.4 ( -0.91 %),"1,608","4,867,700","3,027.18","2,643","7,023,600","2,657","-2,155,900",agr
30/01/2024,16.55 ( 0.3 %),"1,260","2,313,800","1,836.35",807,"2,752,400","3,411","-438,600",agr
29/01/2024,16.5 ( -0.6 %),690,"1,201,300","1,741.01",877,"2,115,200","2,412","-913,900",agr
26/01/2024,16.6 ( 0 %),850,"1,555,100","1,829.53",905,"2,430,900","2,686","-875,800",agr
25/01/2024,16.6 ( 0 %),740,"1,353,200","1,828.65",993,"2,654,500","2,673","-1,301,300",agr
24/01/2024,16.6 ( 0 %),"1,233","3,087,300","2,503.89","1,935","5,061,100","2,616","-1,973,800",agr
23/01/2024,16.6 ( -0.6 %),899,"1,965,800","2,186.65",991,"2,898,600","2,925","-932,800",agr
22/01/2024,16.7 ( 1.52 %),"1,202","2,462,500","2,048.67","1,090","2,820,100","2,587","-357,600",agr
19/01/2024,16.45 ( -0.3 %),"1,174","2,311,100","1,968.57","1,176","2,994,200","2,546","-683,100",agr
18/01/2024,16.5 ( -0.6 %),"1,504","3,291,200","2,188.3","1,236","4,569,600","3,697","-1,278,400",agr
17/01/2024,16.6 ( 0.61 %),"1,689","4,033,600","2,388.16","2,174","7,252,800","3,336","-3,219,200",agr
16/01/2024,16.5 ( 1.85 %),"1,463","3,039,300","2,077.44",764,"2,088,000","2,733","951,300",agr
15/01/2024,16.2 ( -2.41 %),"1,374","2,744,900","1,997.74",931,"3,344,100","3,592","-599,200",agr
12/01/2024,16.6 ( -1.19 %),"1,644","3,529,500","2,146.9","1,270","3,842,000","3,025","-312,500",agr
11/01/2024,16.8 ( 1.51 %),"1,618","3,871,900","2,393.02","1,569","4,258,300","2,714","-386,400",agr
10/01/2024,16.55 ( -1.78 %),0,0,0,0,0,0,0,agr
09/01/2024,16.85 ( -0.88 %),"1,670","3,922,500","2,348.8","1,718","4,450,100","2,590","-527,600",agr
08/01/2024,17 ( 3.66 %),"2,139","7,858,300","3,673.82","3,174","7,485,800","2,358","372,500",agr
05/01/2024,16.4 ( 0.61 %),"1,350","3,289,700","2,436.81","1,319","3,246,600","2,461","43,100",agr
04/01/2024,16.3 ( 1.56 %),"2,015","6,912,500","3,430.52","3,154","7,550,600","2,394","-638,100",agr
