date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,70(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
11/09/2024,70(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
10/09/2024,70(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
09/09/2024,70(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
06/09/2024,70(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
05/09/2024,70(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
04/09/2024,70(-0.14 %),0,0,0,0,0,0,"5,105,400",1.73%
30/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
29/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
28/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
27/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
26/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
23/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
22/08/2024,70.1(0.14 %),0,0,0,0,0,0,"5,105,400",1.73%
21/08/2024,70(-0.14 %),0,0,0,0,0,0,"5,105,400",1.73%
20/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
19/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
16/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
15/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
14/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
13/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
12/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
09/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
08/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
07/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
06/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
05/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
02/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
01/08/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
31/07/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
30/07/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
29/07/2024,70.1(0.00 %),0,0,0,0,0,0,"5,105,400",1.73%
24/07/2024,72.5(0.00 %),-700,-0.05,0,0,700,0.05,"5,102,000",1.76%
23/07/2024,72.5(-3.33 %),0,0,0,0,0,0,"5,102,000",1.76%
22/07/2024,75(0.00 %),0,0,0,0,0,0,"5,101,900",1.76%
19/07/2024,75(0.27 %),-100,-0.01,0,0,100,0.01,"5,101,800",1.76%
18/07/2024,74.5(0.81 %),-100,-0.01,0,0,100,0.01,"5,101,500",1.76%
17/07/2024,0(0.00 %),-300,-0.02,0,0,300,0.02,"5,101,200",1.77%
16/07/2024,0(0.00 %),-300,-0.02,0,0,300,0.02,"5,101,200",1.77%
15/07/2024,77(0.00 %),0,0,0,0,0,0,"5,101,200",1.77%
12/07/2024,77(-2.53 %),0,0,0,0,0,0,"5,101,200",1.77%
11/07/2024,79(0.00 %),0,0,0,0,0,0,"5,101,200",1.77%
10/07/2024,79(0.00 %),0,0,0,0,0,0,"5,101,200",1.77%
08/07/2024,81(14.89 %),0,0,0,0,0,0,"5,101,200",1.77%
04/07/2024,70.5(11.55 %),"1,800",0.13,"1,800",0.13,0,0,"5,101,200",1.77%
03/07/2024,63.2(0.00 %),200,0.01,200,0.01,0,0,"5,103,000",0%
02/07/2024,63.2(0.00 %),0,0,0,0,0,0,"5,103,200",1.75%
01/07/2024,63.2(0.16 %),0,0,0,0,0,0,"5,103,200",1.75%
28/06/2024,63.1(3.78 %),0,0,0,0,0,0,"5,103,200",1.75%
27/06/2024,60.8(0.00 %),0,0,0,0,0,0,"5,103,200",1.75%
26/06/2024,62.1(4.55 %),0,0,0,0,0,0,"5,103,200",1.75%
25/06/2024,59.4(0.00 %),0,0,0,0,0,0,"5,103,200",1.75%
24/06/2024,59.7(-0.50 %),0,0,0,0,0,0,"5,103,200",1.75%
21/06/2024,60.1(0.00 %),0,0,0,0,0,0,"5,103,200",1.75%
20/06/2024,60.1(-2.28 %),0,0,0,0,0,0,"5,103,200",1.75%
19/06/2024,61.6(-12.99 %),0,0,0,0,0,0,"5,103,200",1.75%
18/06/2024,70.8(0.00 %),0,0,0,0,0,0,"5,103,200",1.75%
17/06/2024,0(0.00 %),0,0,0,0,0,0,"5,103,200",1.75%
14/06/2024,0(0.00 %),0,0,0,0,0,0,"5,103,200",1.75%
13/06/2024,63(14.55 %),0,0,0,0,0,0,"5,103,200",1.75%
