date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,15.9(0.00 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
11/09/2024,15.9(0.00 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
10/09/2024,15.9(0.00 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
09/09/2024,15.9(0.00 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
06/09/2024,15.9(6.71 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
05/09/2024,14.9(0.00 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
04/09/2024,14.9(0.00 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
30/08/2024,14.9(7.97 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
29/08/2024,13.8(0.00 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
28/08/2024,13.8(1.47 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
27/08/2024,13.6(0.74 %),0,0.0,0,0.0,0,0.0,"-197,516",3.2%,alt
26/08/2024,13.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
23/08/2024,13.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
22/08/2024,13.5(-0.74 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
21/08/2024,13.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
20/08/2024,13.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
19/08/2024,13.6(-0.73 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
16/08/2024,13.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
15/08/2024,13.7(-1.44 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
14/08/2024,13.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
13/08/2024,13.9(1.46 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
12/08/2024,13.7(-1.44 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
09/08/2024,13.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
08/08/2024,13.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
07/08/2024,13.9(4.51 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
06/08/2024,13.3(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
05/08/2024,13.3(-8.28 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
02/08/2024,14.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
01/08/2024,14.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
31/07/2024,14.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
30/07/2024,14.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
29/07/2024,14.5(-1.36 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
24/07/2024,15.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
23/07/2024,15.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
22/07/2024,15.7(1.29 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
19/07/2024,15.5(6.90 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
18/07/2024,14.5(-8.23 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
16/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
15/07/2024,13.6(-8.72 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
12/07/2024,14.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
11/07/2024,14.9(-9.70 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
10/07/2024,16.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
08/07/2024,16.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
04/07/2024,16(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
03/07/2024,16(6.67 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.44%,alt
02/07/2024,15(9.49 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
01/07/2024,13.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
28/06/2024,13.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
27/06/2024,13.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
26/06/2024,13.7(-2.14 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
25/06/2024,14(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
24/06/2024,14(7.69 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
21/06/2024,13(-7.14 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
20/06/2024,14(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
19/06/2024,14(5.26 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
18/06/2024,13.3(-2.92 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
17/06/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
14/06/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
13/06/2024,14.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
12/06/2024,14.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
11/06/2024,14.1(8.46 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.44%,alt
10/06/2024,13(-6.47 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
07/06/2024,13.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
06/06/2024,13.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
05/06/2024,13.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
04/06/2024,13.9(2.96 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
03/06/2024,13.5(0.75 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
31/05/2024,13.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
30/05/2024,13.4(7.20 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
29/05/2024,12.5(-8.76 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
28/05/2024,13.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
27/05/2024,13.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
24/05/2024,13.7(-1.44 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
23/05/2024,13.9(2.21 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
22/05/2024,13.6(-8.11 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
21/05/2024,14.8(2.78 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
20/05/2024,14.4(-9.43 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
17/05/2024,15.9(-3.64 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
16/05/2024,16.5(10.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
15/05/2024,15(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
14/05/2024,15(-9.09 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
13/05/2024,16.5(-2.94 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
10/05/2024,17(-3.95 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
09/05/2024,17.7(-1.67 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
08/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
07/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
06/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
03/05/2024,18(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
02/05/2024,18(0.56 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
26/04/2024,17.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
25/04/2024,17.9(-0.56 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
24/04/2024,18(-10.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
23/04/2024,20(5.26 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
22/04/2024,19(7.95 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
19/04/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
17/04/2024,17.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
16/04/2024,17.6(10.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
15/04/2024,16(7.38 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
12/04/2024,14.9(2.76 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
11/04/2024,14.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
10/04/2024,14.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
09/04/2024,14.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
08/04/2024,14.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
05/04/2024,14.5(1.40 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
04/04/2024,14.3(1.42 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
03/04/2024,14.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
02/04/2024,14.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
01/04/2024,14.1(-2.76 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
29/03/2024,14.5(-2.68 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
28/03/2024,14.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
27/03/2024,14.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
26/03/2024,14.9(3.47 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
25/03/2024,14.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
22/03/2024,14.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
21/03/2024,14.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
20/03/2024,14.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
19/03/2024,14.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
18/03/2024,14.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
15/03/2024,14.4(4.35 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
14/03/2024,13.8(-6.12 %),0,0.0,0,0.0,0,0.0,"2,826,520",0%,alt
13/03/2024,14.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,520",3.21%,alt
12/03/2024,14.7(8.09 %),-500,-0.01,0,0.0,500,0.01,"2,826,520",3.21%,alt
11/03/2024,13.6(-1.45 %),0,0.0,0,0.0,0,0.0,"2,826,520",0%,alt
08/03/2024,13.8(1.47 %),0,0.0,0,0.0,0,0.0,"2,826,520",0%,alt
07/03/2024,13.6(-1.45 %),500,0.01,500,0.01,0,0.0,"2,826,520",0%,alt
06/03/2024,13.8(1.47 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
05/03/2024,13.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
04/03/2024,13.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
01/03/2024,13.6(-1.45 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
29/02/2024,13.8(1.47 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
28/02/2024,13.6(-0.73 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
27/02/2024,13.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
26/02/2024,13.7(1.48 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
23/02/2024,13.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
22/02/2024,13.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
21/02/2024,13.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
20/02/2024,13.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
19/02/2024,13.5(-2.17 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
16/02/2024,13.8(-0.72 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
15/02/2024,13.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
07/02/2024,13.9(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
06/02/2024,13.9(2.21 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
05/02/2024,13.6(0.00 %),0,0.0,0,0.0,0,0.0,"2,827,020",0%,alt
02/02/2024,13.6(-0.73 %),0,0.0,0,0.0,0,0.0,"2,827,020",3.2%,alt
01/02/2024,13.7(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
31/01/2024,13.7(0.74 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
30/01/2024,13.6(0.00 %),-900,-0.01,0,0.0,900,0.01,"2,826,120",3.21%,alt
29/01/2024,13.6(6.25 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
26/01/2024,12.8(-3.03 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
25/01/2024,13.2(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
24/01/2024,13.2(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
23/01/2024,13.2(-5.71 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
22/01/2024,14(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
19/01/2024,14(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
18/01/2024,14(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
17/01/2024,14(6.87 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
16/01/2024,13.1(-2.96 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
15/01/2024,13.5(3.05 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
12/01/2024,13.1(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
11/01/2024,13.1(-2.96 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
10/01/2024,13.5(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
09/01/2024,13.5(0.75 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
08/01/2024,13.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
05/01/2024,13.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
04/01/2024,13.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
03/01/2024,13.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.46%,alt
02/01/2024,13.4(0.00 %),0,0.0,0,0.0,0,0.0,"2,826,120",3.21%,alt
