date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,6.9 ( 6.15 %),35,"38,000","1,085.71",34,"49,800","1,465","-11,800"
11/09/2024,6.8 ( 7.94 %),39,"56,800","1,456.41",45,"60,400","1,342","-3,600"
10/09/2024,6.3 ( 6.78 %),48,"59,000","1,229.17",48,"64,100","1,335","-5,100"
09/09/2024,5.9 ( 0 %),19,"21,800","1,147.37",23,"41,900","1,822","-20,100"
06/09/2024,6 ( 5.26 %),23,"64,100","2,786.96",27,"16,000",593,"48,100"
05/09/2024,5.7 ( 0 %),32,"41,200","1,287.5",18,"19,600","1,089","21,600"
04/09/2024,5.8 ( 1.75 %),39,"54,200","1,389.74",21,"41,400","1,971","12,800"
30/08/2024,5.8 ( 0 %),51,"55,800","1,094.12",24,"48,800","2,033","7,000"
29/08/2024,5.9 ( -1.67 %),30,"29,300",976.67,22,"39,100","1,777","-9,800"
28/08/2024,6 ( -1.64 %),37,"36,200",978.38,30,"27,400",913,"8,800"
27/08/2024,6.1 ( 0 %),26,"25,200",969.23,33,"24,100",730,"1,100"
26/08/2024,6 ( 3.45 %),54,"60,600","1,122.22",26,"29,900","1,150","30,700"
23/08/2024,6 ( -1.64 %),67,"91,500","1,365.67",29,"74,200","2,559","17,300"
22/08/2024,6 ( -4.76 %),25,"29,500","1,180",23,"31,800","1,383","-2,300"
21/08/2024,6.2 ( 3.33 %),41,"52,600","1,282.93",20,"35,500","1,775","17,100"
20/08/2024,6 ( -4.76 %),38,"34,000",894.74,23,"35,900","1,561","-1,900"
19/08/2024,6.4 ( 6.67 %),44,"51,000","1,159.09",28,"41,000","1,464","10,000"
16/08/2024,6.3 ( 14.55 %),73,"91,800","1,257.53",42,"35,300",840,"56,500"
15/08/2024,5.8 ( -1.69 %),36,"25,000",694.44,24,"21,100",879,"3,900"
14/08/2024,5.9 ( 0 %),26,"23,000",884.62,24,"25,800","1,075","-2,800"
13/08/2024,5.9 ( -1.67 %),33,"22,700",687.88,32,"24,700",772,"-2,000"
12/08/2024,5.9 ( 0 %),82,"103,800","1,265.85",61,"89,700","1,470","14,100"
09/08/2024,5.9 ( -10.61 %),66,"59,700",904.55,64,"75,500","1,180","-15,800"
08/08/2024,6.7 ( -2.9 %),51,"86,000","1,686.27",41,"81,900","1,998","4,100"
07/08/2024,7 ( 6.06 %),27,"46,500","1,722.22",29,"40,200","1,386","6,300"
06/08/2024,6.8 ( 0 %),24,"119,800","4,991.67",27,"118,700","4,396","1,100"
05/08/2024,6.7 ( -4.29 %),22,"67,400","3,063.64",23,"76,700","3,335","-9,300"
02/08/2024,6.9 ( 1.47 %),74,"105,100","1,420.27",40,"121,100","3,028","-16,000"
01/08/2024,6.8 ( -2.86 %),5,"1,500",300,27,"13,600",504,"-12,100"
31/07/2024,6.9 ( -1.43 %),22,"11,400",518.18,27,"16,200",600,"-4,800"
30/07/2024,6.9 ( -2.82 %),20,"11,400",570,25,"25,200","1,008","-13,800"
29/07/2024,7.1 ( 4.41 %),32,"15,000",468.75,30,"24,700",823,"-9,700"
26/07/2024,7 ( -2.78 %),35,"12,500",357.14,22,"39,100","1,777","-26,600"
25/07/2024,7.2 ( 0 %),19,"8,800",463.16,19,"23,000","1,211","-14,200"
24/07/2024,7.6 ( 2.7 %),26,"16,600",638.46,27,"36,900","1,367","-20,300"
23/07/2024,6.9 ( 0 %),37,"28,000",756.76,23,"27,100","1,178",900
22/07/2024,7.6 ( 8.57 %),36,"37,900","1,052.78",40,"61,500","1,538","-23,600"
19/07/2024,7.1 ( -4.05 %),23,"13,700",595.65,32,"19,100",597,"-5,400"
18/07/2024,7.4 ( -3.9 %),29,"5,800",200,18,"9,800",544,"-4,000"
17/07/2024,7.5 ( -5.06 %),25,"13,900",556,23,"27,600","1,200","-13,700"
16/07/2024,7.8 ( -2.5 %),51,"46,600",913.73,43,"40,100",933,"6,500"
