date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,16.6,--,0.7(4.40 %),100,0,0,0,16.6,16.6,16.6
11/09/2024,15.9,--,0(0.00 %),1,0,0,0,15.9,15.9,15.9
10/09/2024,15.9,--,0(0.00 %),0,0,0,0,15.9,15.9,15.9
09/09/2024,15.9,--,-0.9(-5.36 %),"1,000",0.02,0,0,15.9,15.9,15.9
06/09/2024,16.8,--,0(0.00 %),0,0,0,0,16.8,16.8,16.8
05/09/2024,16.8,--,0(0.00 %),0,0,0,0,16.8,16.8,16.8
04/09/2024,16.8,--,0.8(5.00 %),401,0.01,0,0,16,16.8,16
30/08/2024,16,--,-0.3(-1.84 %),200,0,0,0,16.3,16.3,16
29/08/2024,16.3,--,-0.1(-0.61 %),"1,400",0.02,0,0,16.4,16.4,16.3
28/08/2024,16.4,--,0.5(3.14 %),100,0,0,0,16.4,16.4,16.4
27/08/2024,15.9,--,0(0.00 %),0,0,0,0,15.9,15.9,15.9
26/08/2024,15.9,--,0.2(1.27 %),600,0.01,0,0,15.7,15.9,15.7
23/08/2024,15.7,--,-0.4(-2.48 %),"1,534",0.02,0,0,15.8,15.8,15.7
22/08/2024,16.1,--,0(0.00 %),7,0,0,0,16.1,16.1,16.1
21/08/2024,16.1,--,0(0.00 %),5,0,0,0,16.1,16.1,16.1
20/08/2024,16.1,--,0(0.00 %),1,0,0,0,16.1,16.1,16.1
19/08/2024,16.1,--,0(0.00 %),1,0,0,0,16.1,16.1,16.1
16/08/2024,16.1,--,0.4(2.55 %),222,0,0,0,16,16.1,16
15/08/2024,15.7,--,-1.2(-7.10 %),"1,100",0.02,0,0,16.5,16.5,15.7
14/08/2024,16.9,--,-0.3(-1.74 %),100,0,0,0,16.9,16.9,16.9
14/08/2024,16.9,--,-0.3(-1.74 %),100,0,0,0,16.9,16.9,16.9
13/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
12/08/2024,17.2,--,0(0.00 %),0,0,0,0,17.2,17.2,17.2
09/08/2024,17.2,--,0(0.00 %),4,0,0,0,17.2,17.2,17.2
08/08/2024,17.2,--,1.2(7.50 %),139,0,0,0,17.2,17.2,17.2
07/08/2024,16,--,0(0.00 %),0,0,0,0,16,16,16
06/08/2024,16,--,-0.2(-1.23 %),400,0.01,0,0,16,16,16
05/08/2024,16.2,--,0(0.00 %),500,0.01,0,0,16.2,16.3,16.2
02/08/2024,16.2,--,0(0.00 %),0,0,0,0,16.2,16.2,16.2
