date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,16.6(4.40 %),0,0,0,0,0,0,"1,317,100",2.79%
11/09/2024,15.9(0.00 %),0,0,0,0,0,0,"1,317,100",2.79%
10/09/2024,15.9(0.00 %),0,0,0,0,0,0,"1,317,100",2.79%
09/09/2024,15.9(-5.36 %),0,0,0,0,0,0,"1,317,100",2.79%
06/09/2024,16.8(0.00 %),0,0,0,0,0,0,"1,317,100",2.79%
05/09/2024,16.8(0.00 %),0,0,0,0,0,0,"1,317,100",2.79%
04/09/2024,16.8(5.00 %),0,0,0,0,0,0,"1,317,100",2.79%
30/08/2024,16(-1.84 %),100,0,100,0,0,0,"1,317,100",2.79%
29/08/2024,16.3(-0.61 %),400,0.01,400,0.01,0,0,"1,317,200",2.78%
28/08/2024,16.4(3.14 %),0,0,0,0,0,0,"1,317,600",2.77%
27/08/2024,15.9(0.00 %),0,0,0,0,0,0,"1,317,600",2.77%
26/08/2024,15.9(1.27 %),100,0,100,0,0,0,"1,317,600",2.77%
23/08/2024,15.7(-2.48 %),0,0,0,0,0,0,"1,317,700",2.76%
22/08/2024,16.1(0.00 %),0,0,0,0,0,0,"1,317,700",2.76%
21/08/2024,16.1(0.00 %),0,0,0,0,0,0,"1,317,700",2.76%
20/08/2024,16.1(0.00 %),0,0,0,0,0,0,"1,317,700",2.76%
19/08/2024,16.1(0.00 %),0,0,0,0,0,0,"1,317,700",2.76%
16/08/2024,16.1(2.55 %),0,0,0,0,0,0,"1,317,700",2.76%
15/08/2024,15.7(-7.10 %),"1,000",0.02,"1,000",0.02,0,0,"1,317,700",2.76%
14/08/2024,16.9(-1.74 %),0,0,0,0,0,0,"1,318,700",2.73%
13/08/2024,17.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
12/08/2024,17.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
09/08/2024,17.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
08/08/2024,17.2(7.50 %),0,0,0,0,0,0,"1,318,700",2.73%
07/08/2024,16(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
06/08/2024,16(-1.23 %),0,0,0,0,0,0,"1,318,700",2.73%
05/08/2024,16.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
02/08/2024,16.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
01/08/2024,16.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
31/07/2024,16.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
30/07/2024,16.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
29/07/2024,16.2(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
24/07/2024,16.7(-1.18 %),0,0,0,0,0,0,"1,318,700",2.73%
23/07/2024,16.9(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
22/07/2024,16.9(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
19/07/2024,16.9(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
18/07/2024,16.9(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"1,318,700",2.73%
