date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
11/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
10/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
09/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
06/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
05/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
04/09/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
30/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
29/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
28/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
27/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
26/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
23/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
22/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
21/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
20/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
19/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
16/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
15/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
14/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
13/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
12/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
09/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
08/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
07/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
06/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
05/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
02/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
01/08/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
31/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
30/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
29/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
24/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
23/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
22/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
19/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
18/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
17/07/2024,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
16/07/2024,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
15/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
12/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
11/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
10/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
08/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
04/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
03/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
02/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
01/07/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
28/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
27/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
26/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
25/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
24/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
21/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
20/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
19/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
18/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
17/06/2024,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
14/06/2024,0(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
13/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
12/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
11/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
10/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
07/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
06/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
05/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
04/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
03/06/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
31/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
30/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
29/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
28/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
27/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
24/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
23/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
22/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
21/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
20/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
17/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
16/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
15/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
14/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
13/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
10/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
09/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
08/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
07/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
06/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
03/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
02/05/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
26/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
25/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
24/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
23/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
22/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
19/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
17/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
16/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
15/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
12/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
11/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
10/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
09/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
08/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
05/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
04/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
03/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
02/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
01/04/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
29/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
28/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
27/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
26/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
25/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
22/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
21/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
20/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
19/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
18/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
15/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
14/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
13/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0.72%,amd
12/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
11/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
08/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
07/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
06/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
05/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
04/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
01/03/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
29/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
28/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
27/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
26/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
23/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
22/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
21/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
20/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
19/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
16/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
15/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
07/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
06/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
05/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
02/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
01/02/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
31/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
30/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
29/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
26/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
25/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
24/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
23/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
22/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
19/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
18/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,594",0%,amd
17/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
16/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
15/01/2024,1.1(0.00 %),0,0,0,0,0,0,"78,945,590",0.72%,amd
