date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,11.9 ( 0 %),1,100,100,1,100,100,0
11/09/2024,11.9 ( 0 %),0,0,0,0,0,0,0
10/09/2024,11.9 ( 0 %),1,100,100,0,0,0,100
09/09/2024,11.9 ( 0 %),1,0,0,0,0,0,0
06/09/2024,11.9 ( 0 %),1,100,100,0,0,0,100
05/09/2024,11.9 ( 0 %),1,100,100,0,0,0,100
04/09/2024,11.9 ( 0 %),2,100,50,1,100,100,0
30/08/2024,11.9 ( -15 %),1,100,100,2,800,400,-700
29/08/2024,14 ( 0 %),1,300,300,2,500,250,-200
28/08/2024,14 ( 0 %),0,0,0,3,"1,200",400,"-1,200"
27/08/2024,14 ( 13.82 %),4,500,125,1,300,300,200
26/08/2024,12.3 ( -13.99 %),3,900,300,3,"1,000",333,-100
23/08/2024,14.3 ( 0 %),1,200,200,3,"3,200","1,067","-3,000"
22/08/2024,14.3 ( 0 %),0,0,0,2,"4,700","2,350","-4,700"
21/08/2024,14.3 ( 0 %),0,0,0,1,300,300,-300
20/08/2024,14.3 ( 0 %),0,0,0,1,300,300,-300
19/08/2024,14.3 ( 0 %),0,0,0,1,300,300,-300
16/08/2024,14.3 ( 14.4 %),2,700,350,3,"1,000",333,-300
15/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
14/08/2024,12.5 ( 0 %),0,0,0,1,200,200,-200
13/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
12/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
09/08/2024,12.5 ( 0 %),0,0,0,2,"4,600","2,300","-4,600"
08/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
07/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
06/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
05/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
02/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
01/08/2024,12.5 ( 0 %),0,0,0,0,0,0,0
31/07/2024,12.5 ( 0 %),1,200,200,0,0,0,200
