date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,9.9 ( 1.02 %),45,"200,100","4,446.67",62,"234,200","3,777","-34,100",ams
11/09/2024,9.9 ( 1.02 %),79,"145,100","1,836.71",75,"174,100","2,321","-29,000",ams
10/09/2024,10 ( 0 %),69,"136,100","1,972.46",71,"238,300","3,356","-102,200",ams
09/09/2024,10 ( 1.01 %),37,"100,100","2,705.41",58,"156,100","2,691","-56,000",ams
06/09/2024,10 ( 0 %),63,"136,400","2,165.08",69,"239,700","3,474","-103,300",ams
05/09/2024,10 ( 1.01 %),70,"181,500","2,592.86",70,"209,700","2,996","-28,200",ams
04/09/2024,10.1 ( 2.02 %),66,"162,400","2,460.61",49,"151,900","3,100","10,500",ams
30/08/2024,10.1 ( 0 %),143,"353,800","2,474.13",98,"359,900","3,672","-6,100",ams
29/08/2024,10.1 ( -0.98 %),88,"269,800","3,065.91",68,"267,800","3,938","2,000",ams
28/08/2024,10.2 ( -0.97 %),54,"52,300",968.52,73,"254,600","3,488","-202,300",ams
27/08/2024,10.4 ( 1.96 %),101,"105,900","1,048.51",74,"218,200","2,949","-112,300",ams
26/08/2024,10.6 ( 1.92 %),106,"130,100","1,227.36",86,"293,300","3,410","-163,200",ams
23/08/2024,10.6 ( 0.95 %),100,"139,500","1,395",87,"271,900","3,125","-132,400",ams
22/08/2024,10.7 ( 0.94 %),134,"336,600","2,511.94",107,"378,100","3,534","-41,500",ams
21/08/2024,10.8 ( 0.93 %),122,"344,100","2,820.49",125,"466,300","3,730","-122,200",ams
20/08/2024,10.7 ( 0 %),125,"266,400","2,131.2",126,"455,400","3,614","-189,000",ams
19/08/2024,10.8 ( 1.89 %),100,"246,400","2,464",113,"339,900","3,008","-93,500",ams
16/08/2024,10.8 ( 3.85 %),140,"488,000","3,485.71",158,"402,400","2,547","85,600",ams
15/08/2024,10.5 ( 0.96 %),67,"190,600","2,844.78",98,"308,600","3,149","-118,000",ams
14/08/2024,10.6 ( -0.93 %),109,"383,200","3,515.6",102,"322,300","3,160","60,900",ams
13/08/2024,10.7 ( 0.94 %),126,"475,700","3,775.4",130,"454,800","3,498","20,900",ams
12/08/2024,10.7 ( 2.88 %),104,"188,000","1,807.69",128,"353,800","2,764","-165,800",ams
09/08/2024,10.7 ( 2.88 %),119,"347,100","2,916.81",147,"472,800","3,216","-125,700",ams
08/08/2024,10.6 ( 1.92 %),135,"426,700","3,160.74",173,"680,700","3,935","-254,000",ams
07/08/2024,10.6 ( 3.92 %),132,"528,700","4,005.3",160,"539,000","3,369","-10,300",ams
06/08/2024,10.5 ( 0 %),169,"479,100","2,834.91",159,"633,100","3,982","-154,000",ams
05/08/2024,10.5 ( -6.25 %),189,"611,300","3,234.39",200,"935,300","4,676","-324,000",ams
02/08/2024,11.5 ( 1.77 %),257,"1,192,800","4,641.25",189,"795,100","4,207","397,700",ams
01/08/2024,11.3 ( -1.74 %),252,"1,476,300","5,858.33",316,"1,095,000","3,465","381,300",ams
