date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,2.9(-3.33 %),0,0.0,0,0,0,0.0,"-568,393",0.43%,amv
11/09/2024,3(0.00 %),0,0.0,0,0,0,0.0,"-568,693",0.43%,amv
10/09/2024,3(0.00 %),-300,-0.0,0,0,300,0.0,"-568,693",0.43%,amv
09/09/2024,3(0.00 %),0,0.0,0,0,0,0.0,"-568,693",0.43%,amv
06/09/2024,3(0.00 %),0,0.0,0,0,0,0.0,"-568,693",0.43%,amv
05/09/2024,3(-3.23 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
04/09/2024,3.1(3.33 %),"-3,900",-0.01,0,0,"3,900",0.01,"-572,593",0.44%,amv
30/08/2024,3(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
29/08/2024,3(-3.23 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
28/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
27/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
26/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
23/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
22/08/2024,3.1(3.33 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
21/08/2024,3(-3.23 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
20/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
19/08/2024,3.1(-3.12 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
16/08/2024,3.2(3.23 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
15/08/2024,3.1(3.33 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
14/08/2024,3(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
13/08/2024,3(-3.23 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
12/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
09/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
08/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
07/08/2024,3.1(0.00 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
06/08/2024,3.1(3.33 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
05/08/2024,3(-6.25 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
02/08/2024,3.2(6.67 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
01/08/2024,3(-6.25 %),0,0.0,0,0,0,0.0,"-572,593",0.44%,amv
31/07/2024,3.2(0.00 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
30/07/2024,3.2(-3.03 %),-80,-0.0,0,0,80,0.0,"-572,673",0.44%,amv
29/07/2024,3.3(0.00 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
24/07/2024,3.3(0.00 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
23/07/2024,3.3(0.00 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
22/07/2024,3.3(0.00 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
19/07/2024,3.3(-2.94 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
18/07/2024,3.4(-2.86 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
15/07/2024,3.3(-2.94 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
12/07/2024,3.4(-2.86 %),0,0.0,0,0,0,0.0,"-572,673",0.44%,amv
11/07/2024,3.5(2.94 %),0,0.0,0,0,0,0.0,"-572,713",0.44%,amv
10/07/2024,3.4(0.00 %),-40,-0.0,0,0,40,0.0,"-572,813",0.44%,amv
08/07/2024,3.4(-2.86 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
04/07/2024,3.4(0.00 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
03/07/2024,3.4(0.00 %),0,0.0,0,0,0,0.0,0,49%,amv
02/07/2024,3.4(0.00 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
01/07/2024,3.4(0.00 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
28/06/2024,3.4(-2.86 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
27/06/2024,3.5(-2.78 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
26/06/2024,3.6(2.86 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
25/06/2024,3.5(2.94 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
24/06/2024,3.4(-2.86 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
21/06/2024,3.5(0.00 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
20/06/2024,3.5(0.00 %),0,0.0,0,0,0,0.0,"-572,813",0.44%,amv
19/06/2024,3.5(0.00 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
18/06/2024,3.5(0.00 %),"-63,500",-0.22,0,0,"63,500",0.22,"-636,313",0.49%,amv
17/06/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
14/06/2024,0(0.00 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
13/06/2024,3.5(-2.78 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
12/06/2024,3.6(0.00 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
11/06/2024,3.6(0.00 %),0,0.0,0,0,0,0.0,0,49%,amv
10/06/2024,3.6(0.00 %),0,0.0,0,0,0,0.0,0,0%,amv
07/06/2024,3.6(0.00 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
06/06/2024,3.6(-2.70 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
05/06/2024,3.7(2.78 %),0,0.0,0,0,0,0.0,0,0%,amv
04/06/2024,3.6(0.00 %),0,0.0,0,0,0,0.0,0,0%,amv
03/06/2024,3.6(-2.70 %),0,0.0,0,0,0,0.0,0,0%,amv
31/05/2024,3.7(2.78 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
30/05/2024,3.6(2.86 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
29/05/2024,3.5(0.00 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
28/05/2024,3.5(0.00 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
27/05/2024,3.5(0.00 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
24/05/2024,3.5(-2.78 %),0,0.0,0,0,0,0.0,0,0%,amv
23/05/2024,3.6(2.86 %),0,0.0,0,0,0,0.0,"-636,313",0.49%,amv
