date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,17.4,--,0(0.00 %),823,0.01,0,0,17.4,17.4,17.4
11/09/2024,17.6,--,0.1(0.57 %),"1,805",0.03,0,0,17.4,17.6,17.3
10/09/2024,17.7,--,0.5(2.91 %),"12,405",0.22,0,0,17.2,17.8,17.2
09/09/2024,17.9,--,0.6(3.47 %),"12,523",0.22,0,0,16.8,17.9,16.8
06/09/2024,17.2,--,-0.3(-1.71 %),"11,825",0.21,0,0,17.5,17.5,17.2
05/09/2024,17.7,--,0(0.00 %),"5,131",0.09,0,0,17.7,17.7,17.3
04/09/2024,17.8,--,0.2(1.14 %),"11,650",0.21,0,0,17.7,17.8,17.7
30/08/2024,17.6,--,0(0.00 %),"16,722",0.29,0,0,17.5,17.7,17.4
29/08/2024,17.5,--,-0.2(-1.13 %),"8,711",0.15,0,0,17.6,17.9,17.5
28/08/2024,17.5,--,-0.3(-1.69 %),"10,124",0.18,0,0,17.8,17.8,17.5
27/08/2024,17.7,--,0.3(1.72 %),"39,427",0.7,0,0,18,18,17.4
26/08/2024,17.9,--,0.7(4.07 %),"7,596",0.13,0,0,17.6,18,17.1
23/08/2024,17.6,--,0(0.00 %),"12,089",0.21,0,0,18,18,17
22/08/2024,17.8,--,0.3(1.71 %),"19,334",0.34,0,0,17.8,18,17.3
21/08/2024,18.1,--,0.1(0.56 %),"19,501",0.34,0,0,17.9,18.1,17.1
20/08/2024,17.7,--,0.9(5.36 %),"33,212",0.6,0,0,17,18.8,16.7
19/08/2024,17,--,0.6(3.66 %),"66,922",1.12,0,0,16.5,17.4,16.5
16/08/2024,16.5,--,0.3(1.85 %),"1,653",0.03,0,0,16.1,16.5,16.1
15/08/2024,16,--,-0.3(-1.84 %),"24,503",0.4,0,0,16.7,16.7,16
14/08/2024,16.5,--,0(0.00 %),"11,203",0.18,0,0,16.1,16.5,16.1
14/08/2024,16.5,--,0(0.00 %),"11,203",0.18,0,0,16.1,16.5,16.1
13/08/2024,16.5,--,0.1(0.61 %),603,0.01,0,0,16.4,16.5,16.4
12/08/2024,16.4,--,0(0.00 %),"5,144",0.08,0,0,16.4,16.4,16.4
09/08/2024,16.6,--,-0.2(-1.19 %),"10,232",0.17,0,0,16.8,16.8,16.2
08/08/2024,17,--,0.9(5.59 %),"19,229",0.32,0,0,16.1,17,16.1
07/08/2024,16.1,--,0(0.00 %),"19,102",0.31,0,0,16.1,16.2,15.7
06/08/2024,16.2,--,0.7(4.52 %),"15,536",0.25,0,0,15.5,16.3,15.5
05/08/2024,15.9,--,0.2(1.27 %),"25,339",0.39,0,0,15.2,16.3,15.2
02/08/2024,16,--,0(0.00 %),"52,738",0.83,0,0,15.6,16.3,15.5
01/08/2024,16.9,--,0(0.00 %),"75,985",1.21,0,0,16.8,16.9,15
31/07/2024,17,--,0.3(1.80 %),"4,927",0.08,0,0,16.9,17,16.9
30/07/2024,17,--,2.2(14.86 %),"209,609",3.51,0,0,15.2,17,15.2
29/07/2024,14.8,--,-0.1(-0.67 %),"22,864",0.34,0,0,15,15,14.6
26/07/2024,14.9,--,-0.1(-0.67 %),"2,149",0.03,0,0,14.9,14.9,14.8
25/07/2024,14.9,--,0.5(3.47 %),"8,936",0.13,0,0,14.9,15,14.8
24/07/2024,14.5,--,0(0.00 %),"7,931",0.11,0,0,14.3,14.5,14.3
23/07/2024,15,--,0.4(2.74 %),"13,456",0.2,0,0,14.6,15,14.3
22/07/2024,14.6,--,0(0.00 %),"23,716",0.35,0,0,14.6,15,14.2
19/07/2024,14.6,--,-0.2(-1.35 %),"1,007",0.01,0,0,14.6,14.6,14.6
18/07/2024,14.2,--,0.1(0.71 %),"14,009",0.21,0,0,14.1,14.9,14.1
17/07/2024,14.1,--,0(0.00 %),"1,727",0.02,0,0,14.1,14.1,14.1
16/07/2024,14.1,--,-0.3(-2.08 %),"7,428",0.1,0,0,14.3,14.3,14
15/07/2024,14.3,--,-0.3(-2.05 %),"6,309",0.09,0,0,14.4,15,14.3
12/07/2024,14.6,--,0(0.00 %),"1,000",0.01,0,0,14.6,14.6,14.6
11/07/2024,14.5,--,-0.3(-2.03 %),"14,123",0.21,0,0,14.8,14.8,14.5
10/07/2024,14.7,--,0.1(0.68 %),"55,613",0.82,0,0,14.8,15.1,14.6
09/07/2024,14.8,--,0.3(2.07 %),"13,501",0.2,0,0,14.7,14.8,14.5
08/07/2024,14.5,--,0.3(2.11 %),"3,430",0.05,0,0,14.2,14.5,14.2
05/07/2024,14.2,--,0(0.00 %),"13,907",0.2,0,0,14.2,14.2,14.2
04/07/2024,14.3,--,0.7(5.15 %),"66,908",0.95,0,0,13.6,15.5,13.6
03/07/2024,13.6,--,0.1(0.74 %),"1,200",0.02,0,0,13.6,13.6,13.6
02/07/2024,13.6,--,0.2(1.49 %),"28,446",0.38,0,0,13.4,13.6,13.4
01/07/2024,13.5,--,0.3(2.27 %),"12,102",0.16,0,0,13.3,13.5,13.2
28/06/2024,13.2,--,-0.2(-1.49 %),"40,701",0.54,0,0,13.3,13.5,13.2
27/06/2024,13.4,--,0(0.00 %),"18,500",0.25,0,0,13.5,13.5,13.4
26/06/2024,13.3,--,-0.2(-1.48 %),"9,000",0.12,0,0,13.4,13.5,13.3
25/06/2024,13.5,--,-0.1(-0.74 %),"15,393",0.21,0,0,13.8,13.8,13.5
24/06/2024,13.7,--,0(0.00 %),"42,603",0.58,0,0,13.8,13.9,13.3
21/06/2024,14.2,--,0.7(5.19 %),"40,804",0.56,0,0,13.6,14.2,13.2
20/06/2024,13.8,--,0.3(2.22 %),"7,653",0.1,0,0,13.5,13.8,13.5
19/06/2024,13.7,--,0.2(1.48 %),"25,321",0.34,0,0,13.6,13.7,13.4
18/06/2024,13.5,--,0(0.00 %),"37,048",0.5,0,0,13.5,13.7,13.5
17/06/2024,13.5,--,0(0.00 %),"7,204",0.1,0,0,13.5,13.6,13.5
14/06/2024,13.7,--,0.7(5.38 %),"16,939",0.23,0,0,13.1,14.2,13.1
13/06/2024,13,--,0(0.00 %),"7,517",0.1,0,0,13,13.1,13
12/06/2024,13,--,-0.5(-3.70 %),"14,800",0.19,0,0,13.5,13.5,13
11/06/2024,13.2,--,-0.1(-0.75 %),"2,201",0.03,0,0,13.5,13.5,13.2
10/06/2024,13.6,--,0.8(6.25 %),"14,659",0.19,0,0,13,14.6,13
07/06/2024,12.9,--,0.2(1.57 %),"53,811",0.69,0,0,12.9,13,12.5
06/06/2024,12.9,--,0.2(1.57 %),"29,400",0.37,0,0,12.7,12.9,12.7
05/06/2024,12.8,--,0(0.00 %),"8,905",0.11,0,0,12.8,12.8,12.6
04/06/2024,12.7,--,0(0.00 %),"26,183",0.33,0,0,12.7,13,12.6
03/06/2024,12.9,--,0.4(3.20 %),"20,800",0.26,0,0,12.5,12.9,12.5
31/05/2024,12.5,--,-0.1(-0.79 %),"15,649",0.2,0,0,12.6,12.6,12.5
30/05/2024,12.5,--,-0.4(-3.10 %),"17,107",0.22,0,0,12.9,12.9,12.5
29/05/2024,12.9,--,0(0.00 %),"7,100",0.09,0,0,13.3,13.3,12.9
28/05/2024,13,--,0.7(5.69 %),"31,401",0.41,0,0,12.3,13.5,12.3
27/05/2024,12.5,--,0.6(5.04 %),"11,179",0.14,0,0,12,12.5,12
24/05/2024,12,--,-0.1(-0.83 %),"44,650",0.53,0,0,12.8,12.8,11.7
23/05/2024,12.1,--,0.1(0.83 %),"11,308",0.14,0,0,12.1,12.2,12
22/05/2024,12,--,0.3(2.56 %),"8,763",0.11,0,0,12,13.2,11.8
21/05/2024,12,--,0.8(7.14 %),"70,581",0.82,0,0,11.2,12,11.2
20/05/2024,11.2,--,0(0.00 %),"7,300",0.08,0,0,11.1,11.2,11.1
17/05/2024,11.2,--,-0.1(-0.88 %),"21,835",0.24,0,0,11.1,11.5,11.1
16/05/2024,11.3,--,0.4(3.67 %),"12,000",0.14,0,0,11,11.4,11
15/05/2024,11,--,0(0.00 %),"10,447",0.11,0,0,10.8,11.4,10.8
14/05/2024,10.8,--,-0.6(-5.26 %),"33,423",0.37,0,0,11.4,11.4,10.8
13/05/2024,11.1,--,-0.6(-5.13 %),"85,005",0.97,0,0,11.9,11.9,11.1
10/05/2024,11.9,--,0(0.00 %),"8,202",0.1,0,0,11.6,11.9,11.6
09/05/2024,12,--,-0.2(-1.64 %),"8,696",0.1,0,0,12.2,12.2,11.7
08/05/2024,12,--,-0.8(-6.25 %),"75,734",0.92,0,0,12.8,12.8,12
07/05/2024,12.5,--,-0.2(-1.57 %),"97,920",1.25,0,0,13,14.2,12
06/05/2024,12.7,--,1.6(14.41 %),"47,523",0.6,0,0,12.7,12.7,12.6
03/05/2024,11.1,--,1.4(14.43 %),"177,981",1.98,0,0,10.5,11.1,10.5
02/05/2024,9.7,--,1.2(14.12 %),448,0,"1,788,020",13.05,9.7,9.7,9.7
