ticker,date,buy_volume,buy_value_bil_vnd,sell_volume,sell_value_bil_vnd,net_trading_volume,net_trading_value_bil_vnd
anv,12/09/2024,100,0.0,0,0.0,100,0.0
anv,11/09/2024,"1,000",0.03,100,0.0,900,0.03
anv,10/09/2024,800,0.03,400,0.01,400,0.01
anv,09/09/2024,"1,300",0.04,"3,500",0.11,"-2,200",-0.07
anv,06/09/2024,200,0.01,0,0.0,200,0.01
anv,05/09/2024,100,0.0,"1,300",0.04,"-1,200",-0.04
anv,30/08/2024,"2,100",0.07,0,0.0,"2,100",0.07
anv,29/08/2024,"3,300",0.11,0,0.0,"3,300",0.11
anv,28/08/2024,200,0.01,"20,300",0.65,"-20,100",-0.65
anv,23/08/2024,200,0.01,300,0.01,-100,-0.0
anv,22/08/2024,200,0.01,0,0.0,200,0.01
anv,21/08/2024,200,0.01,0,0.0,200,0.01
anv,20/08/2024,100,0.0,400,0.01,-300,-0.01
anv,19/08/2024,0,0.0,200,0.01,-200,-0.01
anv,16/08/2024,0,0.0,600,0.02,-600,-0.02
anv,15/08/2024,100,0.0,100,0.0,0,0.0
anv,14/08/2024,200,0.01,0,0.0,200,0.01
anv,13/08/2024,100,0.0,100,0.0,0,-0.0
anv,12/08/2024,0,0.0,400,0.01,-400,-0.01
anv,08/08/2024,"4,100",0.13,500,0.02,"3,600",0.11
anv,06/08/2024,600,0.02,"20,200",0.65,"-19,600",-0.63
anv,05/08/2024,600,0.02,0,0.0,600,0.02
anv,02/08/2024,"20,200",0.65,0,0.0,"20,200",0.65
anv,19/06/2024,0,0.0,"115,000",3.94,"-115,000",-3.94
anv,18/06/2024,0,0.0,"115,000",3.91,"-115,000",-3.91
anv,13/06/2024,0,0.0,"150,000",5.28,"-150,000",-5.28
anv,12/06/2024,"210,000",7.38,0,0.0,"210,000",7.38
anv,06/06/2024,"170,000",5.83,0,0.0,"170,000",5.83
anv,29/05/2024,0,0.0,"2,000",0.07,"-2,000",-0.07
anv,22/05/2024,"8,000",0.26,0,0.0,"8,000",0.26
anv,21/05/2024,"4,000",0.13,0,0.0,"4,000",0.13
anv,16/05/2024,"10,000",0.31,0,0.0,"10,000",0.31
anv,07/03/2024,0,0.0,"20,000",0.7,"-20,000",-0.7
anv,29/02/2024,"20,000",0.69,0,0.0,"20,000",0.69
