date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,6.8(-2.86 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
11/09/2024,7(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
10/09/2024,7(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
09/09/2024,7(1.45 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
06/09/2024,7(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
05/09/2024,7(-1.41 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
04/09/2024,7.1(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
30/08/2024,7.1(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
29/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
28/08/2024,7.2(1.41 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
27/08/2024,7.1(-1.39 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
26/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
23/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
22/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
21/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
20/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
19/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
16/08/2024,7.1(-1.39 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
15/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
14/08/2024,7.1(-1.39 %),0,0.0,0,0.0,0,0.0,"6,836,418",15.02%,apc
13/08/2024,7.2(1.41 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
12/08/2024,7.1(-1.39 %),-300,-0.0,0,0.0,300,0.0,"6,836,118",15.03%,apc
09/08/2024,7.1(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
08/08/2024,7.1(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
07/08/2024,7.1(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
06/08/2024,7.1(-1.39 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
05/08/2024,7.1(-1.39 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
02/08/2024,7.2(-1.37 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
01/08/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
31/07/2024,7.2(-2.70 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
30/07/2024,7.4(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
29/07/2024,7.3(-3.95 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
24/07/2024,7.1(-1.39 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
23/07/2024,7.3(1.39 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
22/07/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
19/07/2024,7.1(-1.39 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
18/07/2024,7.3(1.39 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
17/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
16/07/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
15/07/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
12/07/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
11/07/2024,7.3(1.39 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
10/07/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
08/07/2024,7.2(1.41 %),0,0.0,0,0.0,0,0.0,"6,836,118",15.03%,apc
04/07/2024,7.4(1.37 %),"2,500",0.02,"2,500",0.02,0,0.0,"6,836,118",15.03%,apc
03/07/2024,7.3(0.00 %),"2,500",0.02,"2,500",0.02,0,0.0,"6,838,618",0.01%,apc
02/07/2024,7.2(-1.37 %),0,0.0,0,0.0,0,0.0,"6,841,118",15%,apc
01/07/2024,7.3(0.00 %),0,0.0,0,0.0,0,0.0,"6,841,118",15%,apc
28/06/2024,7.3(0.00 %),0,0.0,0,0.0,0,0.0,"6,841,118",15%,apc
27/06/2024,7.5(0.00 %),100,0.0,100,0.0,0,0.0,"6,841,118",15%,apc
26/06/2024,7.3(-6.41 %),0,0.0,0,0.0,0,0.0,"6,841,218",15%,apc
25/06/2024,7.7(1.32 %),0,0.0,0,0.0,0,0.0,"6,841,218",15%,apc
24/06/2024,7.6(8.57 %),0,0.0,0,0.0,0,0.0,"6,841,218",15%,apc
21/06/2024,7.4(1.37 %),0,0.0,0,0.0,0,0.0,"6,841,218",15%,apc
20/06/2024,7.3(0.00 %),0,0.0,0,0.0,0,0.0,"6,841,218",15%,apc
19/06/2024,7.6(0.00 %),300,0.0,300,0.0,0,0.0,"6,841,218",15%,apc
18/06/2024,7.6(1.33 %),0,0.0,0,0.0,0,0.0,"6,841,518",15%,apc
17/06/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,841,518",15%,apc
14/06/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,841,418",15%,apc
13/06/2024,7.3(1.39 %),300,0.0,400,0.0,100,0.0,"6,841,418",15%,apc
12/06/2024,7.2(0.00 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
11/06/2024,7.3(-1.35 %),0,0.0,0,0.0,0,0.0,"6,841,818",0%,apc
10/06/2024,7.4(1.37 %),0,0.0,0,0.0,0,0.0,"6,841,818",0%,apc
07/06/2024,7.3(-1.35 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
06/06/2024,7.3(-1.35 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
05/06/2024,7.3(-1.35 %),0,0.0,0,0.0,0,0.0,"6,841,818",0%,apc
04/06/2024,7.3(-2.67 %),0,0.0,0,0.0,0,0.0,"6,841,818",0%,apc
03/06/2024,7.4(-1.33 %),0,0.0,0,0.0,0,0.0,"6,841,818",0%,apc
31/05/2024,7.6(1.33 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
30/05/2024,7.5(-1.32 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
29/05/2024,7.6(0.00 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
28/05/2024,7.6(-1.30 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
27/05/2024,7.5(0.00 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
24/05/2024,7.5(-1.32 %),0,0.0,0,0.0,0,0.0,"6,841,818",0%,apc
23/05/2024,7.5(-1.32 %),0,0.0,0,0.0,0,0.0,"6,841,818",15%,apc
22/05/2024,7.7(-1.28 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
21/05/2024,7.8(-1.27 %),"-1,100",-0.01,0,0.0,"1,100",0.01,"6,840,718",15%,apc
20/05/2024,7.9(-1.25 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
17/05/2024,7.8(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
16/05/2024,7.8(-1.27 %),0,0.0,0,0.0,0,0.0,"6,840,718",0%,apc
15/05/2024,7.9(11.27 %),0,0.0,0,0.0,0,0.0,"6,840,718",0%,apc
13/05/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
10/05/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
09/05/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
08/05/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
07/05/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
06/05/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
03/05/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,718",15%,apc
02/05/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,840,708",15%,apc
26/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,837,708",15.02%,apc
25/04/2024,0(0.00 %),"-3,000",-0.02,0,0.0,"3,000",0.02,"6,835,068",15.19%,apc
24/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,832,068",15.21%,apc
23/04/2024,0(0.00 %),"-5,000",-0.03,0,0.0,"5,000",0.03,"6,832,508",15.04%,apc
22/04/2024,0(0.00 %),-200,-0.0,0,0.0,200,0.0,"6,832,508",15.04%,apc
19/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,826,868",15.24%,apc
17/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,826,868",15.24%,apc
16/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,826,868",15.24%,apc
15/04/2024,0(0.00 %),"-1,000",-0.01,0,0.0,"1,000",0.01,"6,826,868",15.24%,apc
12/04/2024,0(0.00 %),100,0.0,100,0.0,0,0.0,"6,831,508",15.05%,apc
11/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,831,608",15.05%,apc
10/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,825,968",15.24%,apc
09/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,825,968",15.24%,apc
08/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,825,968",15.24%,apc
05/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,829,608",15.06%,apc
04/04/2024,0(0.00 %),"-2,000",-0.01,0,0.0,"2,000",0.01,"6,825,968",15.24%,apc
03/04/2024,0(0.00 %),"-4,200",-0.03,0,0.0,"4,200",0.03,"6,825,368",15.08%,apc
02/04/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,819,768",15.27%,apc
01/04/2024,0(0.00 %),"-2,000",-0.01,0,0.0,"2,000",0.01,"6,821,768",15.1%,apc
29/03/2024,0(0.00 %),"-1,600",-0.01,0,0.0,"1,600",0.01,"6,819,768",15.11%,apc
28/03/2024,0(0.00 %),"-2,000",-0.01,0,0.0,"2,000",0.01,"6,810,768",15.15%,apc
27/03/2024,0(0.00 %),"-9,000",-0.06,0,0.0,"9,000",0.06,"6,810,768",15.15%,apc
26/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,810,768",15.32%,apc
25/03/2024,0(0.00 %),100,0.0,100,0.0,0,0.0,"6,810,768",15.15%,apc
22/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,810,868",15.32%,apc
21/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,810,868",15.32%,apc
20/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,810,868",15.32%,apc
19/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,810,868",15.15%,apc
18/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,810,868",15.15%,apc
15/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,810,868",15.32%,apc
14/03/2024,0(0.00 %),"-1,000",-0.01,0,0.0,"1,000",0.01,"6,810,868",15.32%,apc
13/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,809,868",15.16%,apc
12/03/2024,0(0.00 %),0,0.0,0,0.0,0,0.0,"6,809,868",15.16%,apc
