date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,58.7,--,-0.4(-0.68 %),"1,608",0.09,0,0,59.2,59.2,58.6
11/09/2024,58.5,--,-0.1(-0.17 %),"12,217",0.72,0,0,58.5,59.2,58.5
10/09/2024,58.5,--,-0.3(-0.51 %),"8,490",0.5,0,0,58.6,59,58.5
09/09/2024,58.5,--,0(0.00 %),"10,120",0.59,0,0,59,59,58.5
06/09/2024,58.5,--,0(0.00 %),"8,511",0.5,0,0,58.5,58.5,58.5
05/09/2024,58.5,--,0(0.00 %),"15,723",0.92,0,0,59,59,58.5
04/09/2024,58.7,--,-0.4(-0.68 %),"13,024",0.76,0,0,59.4,59.5,58.2
30/08/2024,58.8,--,-0.4(-0.68 %),"7,469",0.44,0,0,59.2,59.3,58.8
29/08/2024,59.1,--,-0.2(-0.34 %),"9,900",0.59,0,0,59.3,59.5,59.1
28/08/2024,59.5,--,0.4(0.68 %),"4,207",0.25,0,0,59.1,59.5,59.1
27/08/2024,59.2,--,0.4(0.68 %),"12,800",0.76,0,0,59,59.2,58.8
26/08/2024,58.8,--,0(0.00 %),"14,309",0.84,0,0,58.8,59,58.5
23/08/2024,58.5,--,-0.5(-0.85 %),"1,300",0.08,0,0,59,59,58.5
22/08/2024,59,--,0.2(0.34 %),"11,000",0.65,0,0,59,59,58.9
21/08/2024,58.9,--,0.3(0.51 %),600,0.04,0,0,58.7,58.9,58.7
20/08/2024,59,--,0(0.00 %),"27,320",1.6,0,0,59,59,58
19/08/2024,59,--,0.4(0.68 %),"23,600",1.39,0,0,58.8,59,58.8
16/08/2024,58.7,--,0.2(0.34 %),"9,200",0.54,0,0,58.2,58.7,58.1
15/08/2024,58.4,--,-0.3(-0.51 %),"15,300",0.89,0,0,58.6,58.6,58.3
14/08/2024,58.7,--,0.1(0.17 %),"14,757",0.87,0,0,58.5,58.8,58.5
14/08/2024,58.7,--,0.1(0.17 %),"14,757",0.87,0,0,58.5,58.8,58.5
13/08/2024,58.5,--,-0.4(-0.68 %),"10,317",0.6,0,0,58.6,58.8,58.5
12/08/2024,58.9,--,0.1(0.17 %),"4,550",0.27,0,0,59,59,58.8
09/08/2024,58.5,--,-0.2(-0.34 %),"17,900",1.05,0,0,58.7,59,58.5
08/08/2024,58.8,--,0.3(0.51 %),"6,935",0.41,0,0,58.5,58.8,58.5
07/08/2024,58.5,--,0.3(0.52 %),"2,100",0.12,0,0,58.3,59,58.3
06/08/2024,59,--,0.6(1.03 %),"7,590",0.44,0,0,58,59,57.5
05/08/2024,58.5,--,-0.7(-1.18 %),"39,700",2.32,0,0,58.7,59.5,58
02/08/2024,59.5,--,0.1(0.17 %),"7,510",0.44,0,0,59.5,59.5,59
01/08/2024,59,--,-0.7(-1.17 %),"36,301",2.16,0,0,59.7,59.8,59
31/07/2024,59.5,--,-0.3(-0.50 %),"17,297",1.03,"103,351",5.26,59.5,60,59.4
30/07/2024,59.7,--,-0.7(-1.16 %),"25,924",1.55,0,0,60,60.2,59.7
29/07/2024,60.4,--,-0.4(-0.66 %),"53,363",3.22,0,0,60.1,60.9,60
26/07/2024,60.9,--,0.2(0.33 %),"4,180",0.25,0,0,60.5,60.9,60.5
25/07/2024,60.9,--,0.4(0.66 %),"2,819",0.17,0,0,60.5,61,60.3
24/07/2024,61.5,--,1.2(1.99 %),"17,150",1.04,0,0,60,61.5,59.8
23/07/2024,60.6,--,0.4(0.66 %),"14,220",0.86,0,0,60,60.6,60
22/07/2024,60,--,-1.2(-1.96 %),"18,923",1.14,0,0,60.2,61,60
19/07/2024,61,--,0(0.00 %),"16,534",1.01,0,0,62.4,62.4,60.9
18/07/2024,61.2,--,0.2(0.33 %),"12,800",0.78,0,0,61,61.2,60.7
17/07/2024,60.8,--,-0.2(-0.33 %),"6,300",0.38,0,0,61,61.1,60.6
16/07/2024,61.5,--,0(0.00 %),"7,310",0.45,0,0,60.1,61.5,60
15/07/2024,61.3,--,0.2(0.33 %),"4,720",0.29,0,0,61.3,61.6,61.3
12/07/2024,61,--,-1(-1.61 %),"7,612",0.47,0,0,61,62,60.4
11/07/2024,61.8,--,-1.3(-2.06 %),"11,750",0.73,0,0,63,63,61.8
10/07/2024,62.7,--,0(0.00 %),"36,053",2.28,0,0,62.6,64.2,62.5
09/07/2024,62,--,1.1(1.81 %),"28,661",1.8,0,0,64,64,62
08/07/2024,67,60.91,0(0.00 %),"26,220",1.76,0,0,67,67.5,66
05/07/2024,67,60.91,-0.6(-0.89 %),"6,435",0.43,0,0,67.6,67.6,66.6
04/07/2024,67,60.91,0.4(0.60 %),"3,342",0.23,0,0,67,67.9,66.6
03/07/2024,69,60.45,0.2(0.29 %),"25,285",1.75,0,0,68,69.5,68
02/07/2024,68.9,60.36,-0.3(-0.43 %),"10,548",0.73,0,0,69.3,69.3,68.5
01/07/2024,68.9,60.36,0.7(1.03 %),"10,459",0.72,0,0,68.5,69.7,68.4
28/06/2024,68,59.57,-0.7(-1.02 %),"9,400",0.64,0,0,68.5,69,67.9
27/06/2024,68.8,60.28,0.7(1.03 %),"5,214",0.36,0,0,68.8,68.9,68.5
26/06/2024,68.5,60.01,0.3(0.44 %),"8,300",0.57,0,0,68.3,68.6,68
25/06/2024,68,59.57,-0.4(-0.58 %),"19,367",1.32,0,0,68,68.6,67.5
24/06/2024,68,59.57,-0.4(-0.58 %),"7,028",0.48,0,0,68.8,68.8,68
21/06/2024,68.3,59.84,0(0.00 %),"14,200",0.97,0,0,69,69,68.3
20/06/2024,68.6,60.1,0.5(0.73 %),"9,721",0.66,0,0,68.1,68.8,68.1
19/06/2024,68.4,59.93,0.3(0.44 %),"7,325",0.5,0,0,69,69,67.9
18/06/2024,68,54.16,-0.3(-0.44 %),"5,015",0.34,0,0,68.7,68.9,68
17/06/2024,68,54.16,-0.2(-0.29 %),"5,800",0.4,0,0,68.2,68.4,68
14/06/2024,68,54.16,-0.4(-0.58 %),"20,500",1.4,0,0,68.4,68.5,68
13/06/2024,68.2,54.32,-0.3(-0.44 %),"14,720",1.01,0,0,68.5,68.6,68.2
12/06/2024,68.5,54.56,0.7(1.03 %),"22,711",1.55,0,0,68,68.8,68
11/06/2024,68,54.16,0.6(0.89 %),"17,410",1.18,0,0,67,68.5,67
10/06/2024,67.5,53.76,0.9(1.35 %),"14,500",0.98,0,0,67.5,67.5,67
07/06/2024,66.8,53.2,0.7(1.06 %),"4,310",0.29,0,0,66.2,67.1,66.2
06/06/2024,66,52.57,-0.6(-0.90 %),"12,100",0.8,0,0,66.6,66.6,66
05/06/2024,66.2,52.73,0(0.00 %),"18,019",1.2,0,0,66,69.9,66
04/06/2024,66,52.57,-0.8(-1.20 %),"14,802",0.98,0,0,66.5,68.8,66
03/06/2024,66.9,53.28,1.6(2.45 %),"15,313",1.02,0,0,66.5,66.9,66.5
31/05/2024,65.8,52.41,0.7(1.08 %),"6,974",0.46,0,0,65,65.8,65
30/05/2024,65.8,52.41,0(0.00 %),"15,100",0.98,0,0,65.5,65.8,65
29/05/2024,65.6,52.25,-0.6(-0.91 %),"18,500",1.22,0,0,66,66,65.5
28/05/2024,66.5,52.96,0.9(1.37 %),"11,900",0.79,0,0,66.3,67,65.7
27/05/2024,66.3,52.81,1.1(1.69 %),"30,831",2.02,0,0,65.5,66.3,65.4
24/05/2024,65,51.77,-0.4(-0.61 %),"78,729",5.13,0,0,66,66.5,65
23/05/2024,65,51.77,-2(-2.99 %),"71,756",4.69,0,0,67,67,65
22/05/2024,67,53.36,-0.3(-0.45 %),"12,800",0.86,"10,000",0.68,67.1,67.4,67
21/05/2024,67,53.36,-2(-2.90 %),"65,419",4.41,0,0,69.3,69.5,67
20/05/2024,68.8,54.8,-1(-1.43 %),"12,843",0.89,0,0,69,69.2,68.8
17/05/2024,69.2,55.12,-0.1(-0.14 %),"25,300",1.77,0,0,69.3,69.9,69
16/05/2024,69.3,55.19,0(0.00 %),"1,410",0.1,0,0,69.5,69.5,69.3
15/05/2024,69.3,55.19,0(0.00 %),403,0.03,0,0,69.3,69.3,69.3
14/05/2024,69.3,55.19,0(0.00 %),810,0.06,0,0,69.3,69.3,69.3
13/05/2024,68.9,54.88,0(0.00 %),"6,200",0.43,0,0,69.8,70,68.9
10/05/2024,68.9,54.88,-0.7(-1.01 %),"15,964",1.1,0,0,70,70,68.7
09/05/2024,69.9,55.67,-0.1(-0.14 %),"3,600",0.25,0,0,69.9,69.9,69.5
08/05/2024,70,55.75,0.2(0.29 %),"2,533",0.18,0,0,69.8,70.1,69.8
07/05/2024,70,55.75,1.6(2.34 %),"60,231",4.2,0,0,68.5,71,68.4
06/05/2024,68.6,54.64,0.6(0.88 %),"13,812",0.95,0,0,67.9,68.7,67.9
03/05/2024,68.2,54.32,0.7(1.04 %),"26,714",1.82,0,0,67.6,68.4,67.5
02/05/2024,67.5,53.76,0.2(0.30 %),"6,663",0.45,0,0,68,68,67
26/04/2024,68,54.16,2.6(3.98 %),"49,211",3.31,0,0,66.9,68,66.8
25/04/2024,66,52.57,1.7(2.64 %),"44,825",2.93,0,0,62,66,62
24/04/2024,65.1,51.85,0(0.00 %),"45,655",2.94,0,0,65.2,65.2,64
23/04/2024,65.4,52.09,0.8(1.24 %),"9,460",0.62,0,0,65.1,66,64
22/04/2024,65.4,52.09,1.7(2.67 %),"75,620",4.88,0,0,64.3,65.4,64
19/04/2024,64,50.97,0.6(0.95 %),"35,310",2.25,0,0,63.1,64,62.9
17/04/2024,63.1,50.26,0(0.00 %),"2,100",0.13,"30,000",1.92,64.5,64.5,63.1
16/04/2024,63.1,50.26,-0.4(-0.63 %),"17,632",1.11,0,0,63.4,63.4,63
15/04/2024,63.2,50.34,0(0.00 %),"5,330",0.34,0,0,63.2,63.9,63.2
12/04/2024,63.1,50.26,-0.1(-0.16 %),"12,140",0.77,0,0,63.4,63.8,63.1
11/04/2024,63.1,50.26,-0.5(-0.79 %),"11,502",0.73,0,0,63.6,63.7,63.1
10/04/2024,64,50.97,1.1(1.75 %),"37,800",2.4,0,0,63.3,64.3,63
09/04/2024,62.8,50.02,0(0.00 %),"19,451",1.22,0,0,63,63,62.8
08/04/2024,63,50.18,0(0.00 %),"22,610",1.42,0,0,63,63,62.5
05/04/2024,63,50.18,0.1(0.16 %),"3,260",0.21,0,0,62.9,63,62.9
04/04/2024,62.8,50.02,-0.2(-0.32 %),"4,700",0.3,48,0,63,63,62.8
03/04/2024,63,50.18,0.3(0.48 %),"6,817",0.43,0,0,63,63,62.9
02/04/2024,63,50.18,0.5(0.80 %),"4,800",0.3,0,0,62.5,63,62.5
01/04/2024,62.5,49.78,-0.5(-0.79 %),"9,400",0.59,0,0,62.7,62.7,62.4
29/03/2024,62.9,50.1,-0.4(-0.63 %),"10,704",0.67,0,0,63.3,63.3,62.9
28/03/2024,63.2,50.34,0.3(0.48 %),"40,800",2.58,0,0,63.3,63.5,63.1
27/03/2024,62.9,50.1,0(0.00 %),"10,900",0.69,0,0,63,63,62.9
26/03/2024,62.8,50.02,-0.1(-0.16 %),"9,200",0.58,0,0,62.8,63,62.8
25/03/2024,62.7,49.94,0.7(1.13 %),"21,700",1.37,0,0,63,63.1,62.7
22/03/2024,61.9,49.3,-0.7(-1.12 %),"22,510",1.4,0,0,62.5,62.5,61.6
21/03/2024,62.7,49.94,-0.2(-0.32 %),317,0.02,0,0,62.6,62.7,62.6
