date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,58.7(-0.68 %),0,0,0,0,0,0,0,0%
11/09/2024,58.5(-0.17 %),0,0,0,0,0,0,0,0%
10/09/2024,58.5(-0.51 %),0,0,0,0,0,0,0,0%
09/09/2024,58.5(0.00 %),0,0,0,0,0,0,0,0%
06/09/2024,58.5(0.00 %),0,0,0,0,0,0,0,0%
05/09/2024,58.5(0.00 %),0,0,0,0,0,0,0,0%
04/09/2024,58.7(-0.68 %),0,0,0,0,0,0,0,0%
30/08/2024,58.8(-0.68 %),0,0,0,0,0,0,0,0%
29/08/2024,59.1(-0.34 %),0,0,0,0,0,0,0,0%
28/08/2024,59.5(0.68 %),0,0,0,0,0,0,0,0%
27/08/2024,59.2(0.68 %),0,0,0,0,0,0,0,0%
26/08/2024,58.8(0.00 %),0,0,0,0,0,0,0,0%
23/08/2024,58.5(-0.85 %),0,0,0,0,0,0,0,0%
22/08/2024,59(0.34 %),0,0,0,0,0,0,0,0%
21/08/2024,58.9(0.51 %),0,0,0,0,0,0,0,0%
20/08/2024,59(0.00 %),0,0,0,0,0,0,0,0%
19/08/2024,59(0.68 %),0,0,0,0,0,0,0,0%
16/08/2024,58.7(0.34 %),0,0,0,0,0,0,0,0%
15/08/2024,58.4(-0.51 %),0,0,0,0,0,0,0,0%
14/08/2024,58.7(0.17 %),0,0,0,0,0,0,0,0%
13/08/2024,58.5(-0.68 %),0,0,0,0,0,0,0,0%
12/08/2024,58.9(0.17 %),0,0,0,0,0,0,0,0%
09/08/2024,58.5(-0.34 %),0,0,0,0,0,0,0,0%
08/08/2024,58.8(0.51 %),0,0,0,0,0,0,0,0%
07/08/2024,58.5(0.52 %),0,0,0,0,0,0,0,0%
06/08/2024,59(1.03 %),0,0,0,0,0,0,0,0%
05/08/2024,58.5(-1.18 %),0,0,0,0,0,0,0,0%
02/08/2024,59.5(0.17 %),0,0,0,0,0,0,0,0%
01/08/2024,59(-1.17 %),0,0,0,0,0,0,0,0%
31/07/2024,59.5(-0.50 %),0,0,0,0,0,0,0,0%
30/07/2024,59.7(-1.16 %),0,0,0,0,0,0,0,0%
29/07/2024,60.4(-0.66 %),0,0,0,0,0,0,0,0%
24/07/2024,61.5(1.99 %),0,0,0,0,0,0,0,0%
23/07/2024,60.6(0.66 %),0,0,0,0,0,0,0,0%
