date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,7.9 ( 2.6 %),415,"1,072,700","2,584.82",297,"895,100","3,014","177,600"
11/09/2024,7.7 ( -2.53 %),594,"1,211,500","2,039.56",309,"1,097,300","3,551","114,200"
10/09/2024,7.9 ( -3.66 %),"1,036","2,180,600","2,104.83",499,"2,226,200","4,461","-45,600"
09/09/2024,8.2 ( -2.38 %),366,"593,200","1,620.77",267,"696,700","2,609","-103,500"
06/09/2024,8.4 ( 1.2 %),493,"1,054,800","2,139.55",330,"927,300","2,810","127,500"
05/09/2024,8.3 ( -3.49 %),848,"1,794,200","2,115.8",525,"1,829,400","3,485","-35,200"
04/09/2024,8.6 ( -2.27 %),571,"1,326,000","2,322.24",435,"1,464,700","3,367","-138,700"
30/08/2024,8.8 ( -2.22 %),476,"907,400","1,906.3",414,"1,201,000","2,901","-293,600"
29/08/2024,9 ( 3.45 %),700,"1,782,900","2,547",918,"2,328,400","2,536","-545,500"
28/08/2024,8.7 ( 1.16 %),602,"1,300,000","2,159.47",461,"1,309,000","2,839","-9,000"
27/08/2024,8.6 ( 1.18 %),517,"1,263,900","2,444.68",446,"1,336,500","2,997","-72,600"
26/08/2024,8.5 ( -3.41 %),731,"1,665,600","2,278.52",550,"1,887,500","3,432","-221,900"
23/08/2024,8.8 ( 3.53 %),"1,187","3,550,300","2,990.99","1,283","3,882,200","3,026","-331,900"
22/08/2024,8.5 ( 8.97 %),959,"3,999,500","4,170.49",775,"2,210,000","2,852","1,789,500"
21/08/2024,7.8 ( -1.27 %),473,"809,400","1,711.21",523,"1,679,600","3,211","-870,200"
20/08/2024,7.9 ( 6.76 %),709,"1,896,500","2,674.89",609,"2,069,200","3,398","-172,700"
19/08/2024,7.4 ( -2.63 %),399,"1,002,300","2,512.03",413,"1,611,600","3,902","-609,300"
16/08/2024,7.6 ( 5.56 %),434,"1,558,600","3,591.24",547,"1,918,300","3,507","-359,700"
15/08/2024,7.2 ( -1.37 %),289,"751,300","2,599.65",260,"1,106,700","4,257","-355,400"
14/08/2024,7.3 ( -1.35 %),295,"959,500","3,252.54",284,"1,256,200","4,423","-296,700"
13/08/2024,7.4 ( 1.37 %),369,"1,094,800","2,966.94",345,"1,168,700","3,388","-73,900"
12/08/2024,7.3 ( -1.35 %),280,"774,900","2,767.5",287,"906,800","3,160","-131,900"
09/08/2024,7.4 ( 1.37 %),318,"1,036,400","3,259.12",427,"1,210,000","2,834","-173,600"
08/08/2024,7.3 ( -1.35 %),542,"1,488,900","2,747.05",376,"1,474,000","3,920","14,900"
07/08/2024,7.4 ( -1.33 %),379,"1,176,700","3,104.75",438,"1,593,400","3,638","-416,700"
06/08/2024,7.5 ( 5.63 %),601,"1,566,600","2,606.66",599,"1,653,200","2,760","-86,600"
05/08/2024,7.1 ( -6.58 %),801,"1,459,400","1,821.97",530,"2,152,900","4,062","-693,500"
02/08/2024,7.6 ( 5.56 %),828,"1,641,200","1,982.13",504,"1,751,300","3,475","-110,100"
01/08/2024,7.2 ( -6.49 %),"1,092","2,169,300","1,986.54",525,"2,575,700","4,906","-406,400"
31/07/2024,7.7 ( -6.1 %),464,"751,600","1,619.83",499,"1,870,200","3,748","-1,118,600"
30/07/2024,8.2 ( 9.33 %),800,"3,061,100","3,826.38",870,"2,664,800","3,063","396,300"
29/07/2024,7.5 ( 2.74 %),302,"1,047,800","3,469.54",364,"1,121,100","3,080","-73,300"
26/07/2024,7.3 ( 2.82 %),329,"675,700","2,053.8",358,"868,100","2,425","-192,400"
25/07/2024,7.1 ( 0 %),287,"845,900","2,947.39",275,"850,000","3,091","-4,100"
24/07/2024,7.1 ( 1.43 %),504,"1,089,300","2,161.31",337,"1,007,900","2,991","81,400"
23/07/2024,7 ( -1.41 %),282,"531,600","1,885.11",271,"732,700","2,704","-201,100"
22/07/2024,7.1 ( -5.33 %),724,"1,252,800","1,730.39",399,"1,390,700","3,485","-137,900"
19/07/2024,7.5 ( -2.6 %),457,"916,600","2,005.69",466,"1,406,900","3,019","-490,300"
18/07/2024,7.7 ( 4.05 %),558,"1,341,700","2,404.48",502,"1,578,200","3,144","-236,500"
17/07/2024,7.4 ( -6.33 %),758,"1,756,300","2,317.02",680,"2,267,300","3,334","-511,000"
16/07/2024,7.9 ( 2.6 %),448,"1,374,100","3,067.19",673,"2,089,600","3,105","-715,500"
15/07/2024,7.7 ( 0 %),821,"1,668,300","2,032.03",849,"2,425,400","2,857","-757,100"
12/07/2024,7.7 ( 10 %),658,"1,986,400","3,018.84",498,"1,184,600","2,379","801,800"
11/07/2024,7 ( 1.45 %),371,"564,700","1,522.1",323,"943,200","2,920","-378,500"
10/07/2024,6.9 ( -2.82 %),555,"811,100","1,461.44",339,"1,277,300","3,768","-466,200"
09/07/2024,7.1 ( 2.9 %),539,"1,123,600","2,084.6",407,"1,332,500","3,274","-208,900"
08/07/2024,6.9 ( -5.48 %),583,"1,032,000","1,770.15",459,"1,440,800","3,139","-408,800"
05/07/2024,7.3 ( -1.35 %),370,"561,700","1,518.11",332,"816,600","2,460","-254,900"
04/07/2024,7.4 ( -1.33 %),566,"952,700","1,683.22",354,"1,117,100","3,156","-164,400"
03/07/2024,7.5 ( 0 %),357,"771,300","2,160.5",240,"855,000","3,562","-83,700"
02/07/2024,7.5 ( 1.35 %),437,"812,400","1,859.04",345,"925,000","2,681","-112,600"
01/07/2024,7.4 ( 1.37 %),414,"726,900","1,755.8",272,"699,300","2,571","27,600"
28/06/2024,7.3 ( -5.19 %),701,"1,247,600","1,779.74",387,"1,626,000","4,202","-378,400"
27/06/2024,7.7 ( -1.28 %),552,"997,200","1,806.52",372,"1,552,000","4,172","-554,800"
26/06/2024,7.8 ( 0 %),687,"1,214,500","1,767.83",435,"1,343,400","3,088","-128,900"
25/06/2024,7.8 ( -1.27 %),587,"1,112,900","1,895.91",431,"1,288,700","2,990","-175,800"
24/06/2024,7.9 ( -7.06 %),956,"1,925,000","2,013.6",674,"2,731,200","4,052","-806,200"
21/06/2024,8.5 ( 8.97 %),"1,002","3,200,200","3,193.81",847,"2,726,400","3,219","473,800"
20/06/2024,7.8 ( -1.27 %),949,"1,482,200","1,561.85",631,"2,006,000","3,179","-523,800"
19/06/2024,7.9 ( -4.82 %),"1,034","1,659,000","1,604.45",683,"2,334,100","3,417","-675,100"
18/06/2024,8.3 ( -2.35 %),680,"1,373,400","2,019.71",710,"2,058,500","2,899","-685,100"
17/06/2024,8.5 ( 6.25 %),791,"2,318,500","2,931.1",905,"2,057,900","2,274","260,600"
14/06/2024,8 ( -5.88 %),"2,009","3,873,200","1,927.92",944,"3,586,900","3,800","286,300"
13/06/2024,8.5 ( -2.3 %),943,"1,714,000","1,817.6",601,"2,468,600","4,107","-754,600"
12/06/2024,8.7 ( 3.57 %),906,"1,616,300","1,784",804,"1,970,200","2,450","-353,900"
11/06/2024,8.4 ( -5.62 %),"1,102","1,699,800","1,542.47",704,"2,281,500","3,241","-581,700"
10/06/2024,8.9 ( -2.2 %),994,"1,691,900","1,702.11",851,"2,448,400","2,877","-756,500"
07/06/2024,9.1 ( 3.41 %),"1,653","3,108,300","1,880.4",799,"3,022,700","3,783","85,600"
06/06/2024,8.8 ( -4.35 %),"1,144","2,067,300","1,807.08","1,002","2,477,200","2,472","-409,900"
05/06/2024,9.2 ( 9.52 %),"1,375","3,231,700","2,350.33",758,"2,427,200","3,202","804,500"
04/06/2024,8.4 ( -9.68 %),"2,136","3,804,700","1,781.23","1,103","5,048,400","4,577","-1,243,700"
03/06/2024,9.3 ( -9.71 %),"1,534","2,742,400","1,787.74","1,170","4,429,300","3,786","-1,686,900"
31/05/2024,10.3 ( -6.36 %),954,"1,292,300","1,354.61",749,"2,173,000","2,901","-880,700"
30/05/2024,11 ( 7.84 %),"2,516","6,384,800","2,537.68","1,890","6,669,600","3,529","-284,800"
29/05/2024,10.2 ( -9.73 %),"1,057","2,105,200","1,991.67",764,"4,505,900","5,898","-2,400,700"
28/05/2024,11.3 ( 9.71 %),835,"1,675,200","2,006.23",223,"686,800","3,080","988,400"
27/05/2024,10.3 ( 9.57 %),699,"1,963,100","2,808.44",338,"1,064,500","3,149","898,600"
24/05/2024,9.4 ( 9.3 %),"1,217","3,585,200","2,945.93",992,"3,043,800","3,068","541,400"
23/05/2024,8.6 ( 8.86 %),"1,590","4,196,600","2,639.37","1,182","3,608,800","3,053","587,800"
22/05/2024,7.9 ( 9.72 %),"1,257","4,659,900","3,707.16",738,"4,080,900","5,530","579,000"
