date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,6.9,--,0.1(1.47 %),"186,765",1.28,0,0,6.9,7,6.8
11/09/2024,6.8,--,-0.1(-1.45 %),"385,502",2.62,0,0,6.9,6.9,6.7
10/09/2024,6.9,--,-0.1(-1.43 %),"592,421",4.11,0,0,7,7.1,6.8
09/09/2024,7,--,0(0.00 %),"394,821",2.77,0,0,7,7.1,7
06/09/2024,7,--,0(0.00 %),"441,274",3.08,0,0,6.9,7.1,6.9
05/09/2024,7,--,0(0.00 %),"539,693",3.8,0,0,7,7.2,6.9
04/09/2024,7,--,-0.2(-2.78 %),"832,429",5.87,0,0,7.3,7.3,7
30/08/2024,7.2,--,-0.2(-2.70 %),"689,749",5.03,0,0,7.4,7.5,7.2
29/08/2024,7.4,--,0.1(1.37 %),"673,496",5.03,0,0,7.3,7.7,7.3
28/08/2024,7.3,--,-0.1(-1.35 %),"1,027,063",7.49,0,0,7.4,7.5,7.2
27/08/2024,7.4,--,0.1(1.37 %),"924,365",6.77,0,0,7.3,7.4,7.2
26/08/2024,7.3,--,-0.3(-3.95 %),"1,205,519",9.02,0,0,7.7,7.8,7.3
23/08/2024,7.6,--,-0.1(-1.30 %),"1,876,763",14.69,0,0,7.7,8.1,7.6
22/08/2024,7.7,--,0.6(8.45 %),"3,088,427",23.35,0,0,7.2,7.7,7
21/08/2024,7.1,--,-0.1(-1.39 %),"415,202",2.95,0,0,7.2,7.3,7.1
20/08/2024,7.2,--,0.1(1.41 %),"921,002",6.53,0,0,7,7.3,7
19/08/2024,7.1,--,0(0.00 %),"544,094",3.83,0,0,7.1,7.2,7
16/08/2024,7.1,--,0.4(5.97 %),"1,043,249",7.27,0,0,6.7,7.1,6.7
15/08/2024,6.7,--,0(0.00 %),"619,300",4.15,0,0,6.7,6.8,6.6
14/08/2024,6.7,--,-0.1(-1.47 %),"781,237",5.28,0,0,6.9,6.9,6.6
14/08/2024,6.7,--,-0.1(-1.47 %),"781,237",5.28,0,0,6.9,6.9,6.6
13/08/2024,6.8,--,0(0.00 %),"482,895",3.25,0,0,6.8,6.9,6.7
12/08/2024,6.8,--,-0.1(-1.45 %),"1,034,330",7,0,0,6.9,7,6.7
09/08/2024,6.9,--,0(0.00 %),"752,740",5.24,0,0,6.9,7.1,6.8
08/08/2024,6.9,--,0.1(1.47 %),"304,353",2.08,0,0,6.8,6.9,6.8
07/08/2024,6.8,--,-0.1(-1.45 %),"575,210",3.94,0,0,7,7,6.8
06/08/2024,6.9,--,0.3(4.55 %),"775,017",5.29,0,0,6.6,7,6.6
05/08/2024,6.6,--,-0.5(-7.04 %),"1,061,675",7.23,0,0,7.1,7.2,6.5
02/08/2024,7.1,--,0(0.00 %),"1,032,720",7.32,0,0,7.1,7.4,6.9
01/08/2024,7.1,--,-0.4(-5.33 %),"1,184,309",8.46,0,0,7.4,7.5,6.8
31/07/2024,7.5,--,-0.2(-2.60 %),"481,501",3.63,0,0,7.7,7.7,7.4
30/07/2024,7.7,--,0.4(5.48 %),"1,620,374",12.16,0,0,7.3,7.8,7.1
29/07/2024,7.3,--,0(0.00 %),"288,539",2.1,0,0,7.4,7.5,7.2
26/07/2024,7.3,--,0.1(1.39 %),"461,642",3.38,0,0,7.2,7.4,7.2
25/07/2024,7.2,--,0(0.00 %),"359,354",2.58,0,0,7.2,7.3,7.1
24/07/2024,7.2,--,0.1(1.41 %),"924,232",6.53,0,0,7.1,7.3,6.8
23/07/2024,7.1,--,-0.1(-1.39 %),"424,202",3.03,0,0,7.2,7.4,7
22/07/2024,7.2,--,-0.2(-2.70 %),"754,329",5.43,0,0,7.3,7.5,7
19/07/2024,7.4,--,-0.3(-3.90 %),"997,191",7.48,0,0,7.9,7.9,7.4
18/07/2024,7.7,--,0.6(8.45 %),"1,400,379",10.51,0,0,7.2,7.7,7.2
17/07/2024,7.1,--,-0.5(-6.58 %),"1,155,576",8.43,0,0,7.6,7.7,6.9
16/07/2024,7.6,--,0(0.00 %),"1,085,240",8.27,0,0,7.5,7.8,7.5
15/07/2024,7.6,--,-0.2(-2.56 %),"891,887",6.81,0,0,7.8,7.8,7.5
12/07/2024,7.8,--,0.6(8.33 %),"2,290,597",17.18,0,0,7.3,7.9,7
11/07/2024,7.2,--,0.1(1.41 %),"276,082",1.97,0,0,7.1,7.2,7.1
10/07/2024,7.1,--,0(0.00 %),"697,831",4.99,0,0,7.1,7.3,7.1
09/07/2024,7.1,--,0(0.00 %),"1,074,057",7.6,0,0,7.1,7.2,7
08/07/2024,7.1,--,-0.2(-2.74 %),"550,670",3.96,0,0,7.3,7.4,7.1
05/07/2024,7.3,--,-0.1(-1.35 %),"358,863",2.62,0,0,7.4,7.4,7.2
04/07/2024,7.4,--,0.1(1.37 %),"347,711",2.55,0,0,7.3,7.5,7.3
03/07/2024,7.3,--,0(0.00 %),"330,055",2.39,0,0,7.3,7.4,7.2
02/07/2024,7.3,--,0.1(1.39 %),"315,163",2.29,0,0,7.2,7.4,7.2
01/07/2024,7.2,--,0.1(1.41 %),"263,015",1.89,0,0,7.1,7.3,7.1
