date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,6.9 ( 1.47 %),250,"667,600","2,670.4",215,"743,600","3,459","-76,000"
11/09/2024,6.8 ( -1.45 %),423,"790,700","1,869.27",258,"881,300","3,416","-90,600"
10/09/2024,6.9 ( -1.43 %),394,"922,500","2,341.37",336,"1,320,200","3,929","-397,700"
09/09/2024,7 ( 0 %),254,"644,100","2,535.83",297,"982,800","3,309","-338,700"
06/09/2024,7 ( 0 %),409,"1,035,100","2,530.81",306,"1,049,100","3,428","-14,000"
05/09/2024,7 ( 0 %),447,"1,007,100","2,253.02",298,"1,150,800","3,862","-143,700"
04/09/2024,7 ( -2.78 %),586,"1,154,400","1,969.97",300,"1,439,700","4,799","-285,300"
30/08/2024,7.2 ( -2.7 %),320,"911,700","2,849.06",476,"2,122,200","4,458","-1,210,500"
29/08/2024,7.4 ( 1.37 %),413,"1,052,900","2,549.39",680,"2,129,100","3,131","-1,076,200"
28/08/2024,7.3 ( -1.35 %),496,"1,336,300","2,694.15",463,"1,999,000","4,317","-662,700"
27/08/2024,7.4 ( 1.37 %),445,"1,361,800","3,060.22",427,"1,754,500","4,109","-392,700"
26/08/2024,7.3 ( -3.95 %),635,"1,627,100","2,562.36",688,"2,553,800","3,712","-926,700"
23/08/2024,7.6 ( -1.3 %),763,"2,149,000","2,816.51","1,250","4,423,600","3,539","-2,274,600"
22/08/2024,7.7 ( 8.45 %),985,"3,896,000","3,955.33","1,065","4,269,500","4,009","-373,500"
21/08/2024,7.1 ( -1.39 %),327,"876,000","2,678.9",469,"1,377,200","2,936","-501,200"
20/08/2024,7.2 ( 1.41 %),479,"1,425,700","2,976.41",497,"1,851,700","3,726","-426,000"
19/08/2024,7.1 ( 0 %),318,"845,300","2,658.18",377,"1,630,000","4,324","-784,700"
16/08/2024,7.1 ( 5.97 %),523,"1,559,100","2,981.07",588,"1,796,100","3,055","-237,000"
15/08/2024,6.7 ( 0 %),247,"909,500","3,682.19",297,"1,194,000","4,020","-284,500"
14/08/2024,6.7 ( -1.47 %),357,"1,138,400","3,188.8",352,"1,619,900","4,602","-481,500"
13/08/2024,6.8 ( 0 %),393,"1,026,800","2,612.72",311,"1,104,700","3,552","-77,900"
12/08/2024,6.8 ( -1.45 %),600,"1,427,700","2,379.5",298,"1,856,200","6,229","-428,500"
09/08/2024,6.9 ( 0 %),358,"1,079,700","3,015.92",383,"1,402,500","3,662","-322,800"
08/08/2024,6.9 ( 1.47 %),316,"557,800","1,765.19",295,"709,700","2,406","-151,900"
07/08/2024,6.8 ( -1.45 %),318,"817,800","2,571.7",272,"1,165,600","4,285","-347,800"
06/08/2024,6.9 ( 4.55 %),445,"1,088,900","2,446.97",349,"1,095,600","3,139","-6,700"
05/08/2024,6.6 ( -7.04 %),739,"1,340,400","1,813.8",450,"1,890,700","4,202","-550,300"
02/08/2024,7.1 ( 0 %),573,"1,473,100","2,570.86",455,"1,532,600","3,368","-59,500"
01/08/2024,7.1 ( -5.33 %),645,"1,469,300","2,277.98",512,"2,158,300","4,215","-689,000"
31/07/2024,7.5 ( -2.6 %),325,"835,800","2,571.69",529,"1,914,700","3,619","-1,078,900"
30/07/2024,7.7 ( 5.48 %),617,"1,927,700","3,124.31",889,"2,825,000","3,178","-897,300"
29/07/2024,7.3 ( 0 %),270,"619,000","2,292.59",363,"973,700","2,682","-354,700"
26/07/2024,7.3 ( 1.39 %),269,"704,300","2,618.22",521,"1,383,400","2,655","-679,100"
25/07/2024,7.2 ( 0 %),231,"671,100","2,905.19",336,"933,300","2,778","-262,200"
24/07/2024,7.2 ( 1.41 %),496,"1,368,300","2,758.67",452,"1,255,000","2,777","113,300"
23/07/2024,7.1 ( -1.39 %),382,"573,200","1,500.52",340,"1,063,700","3,129","-490,500"
22/07/2024,7.2 ( -2.7 %),580,"1,193,700","2,058.1",524,"1,570,400","2,997","-376,700"
19/07/2024,7.4 ( -3.9 %),504,"1,278,200","2,536.11",748,"2,476,300","3,311","-1,198,100"
18/07/2024,7.7 ( 8.45 %),677,"1,940,200","2,865.88",847,"2,278,900","2,691","-338,700"
17/07/2024,7.1 ( -6.58 %),714,"1,575,300","2,206.3",661,"2,096,100","3,171","-520,800"
16/07/2024,7.6 ( 0 %),639,"1,351,200","2,114.55",702,"2,037,400","2,902","-686,200"
15/07/2024,7.6 ( -2.56 %),542,"1,302,800","2,403.69",691,"2,158,700","3,124","-855,900"
12/07/2024,7.8 ( 8.33 %),894,"2,946,100","3,295.41",817,"3,005,500","3,679","-59,400"
11/07/2024,7.2 ( 1.41 %),338,"558,600","1,652.66",323,"975,600","3,020","-417,000"
10/07/2024,7.1 ( 0 %),463,"941,600","2,033.69",387,"1,413,000","3,651","-471,400"
09/07/2024,7.1 ( 0 %),651,"1,424,700","2,188.48",373,"1,684,100","4,515","-259,400"
08/07/2024,7.1 ( -2.74 %),470,"779,200","1,657.87",410,"1,100,500","2,684","-321,300"
05/07/2024,7.3 ( -1.35 %),385,"622,600","1,617.14",430,"1,025,800","2,386","-403,200"
04/07/2024,7.4 ( 1.37 %),307,"588,200","1,915.96",398,"992,300","2,493","-404,100"
03/07/2024,7.3 ( 0 %),319,"554,500","1,738.24",264,"878,700","3,328","-324,200"
02/07/2024,7.3 ( 1.39 %),336,"642,300","1,911.61",291,"750,800","2,580","-108,500"
