date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,6.9(1.47 %),"-8,100",-0.06,100,0.0,"8,200",0.06,"82,144,763",1.03%,aps
11/09/2024,6.8(-1.45 %),"-12,200",-0.08,100,0.0,"12,300",0.08,"82,073,063",1.12%,aps
10/09/2024,6.9(-1.43 %),"-68,600",-0.48,"3,200",0.02,"71,800",0.5,"82,050,063",1.14%,aps
09/09/2024,7(0.00 %),0,0.0,0,0.0,0,0.0,"82,044,063",1.15%,aps
06/09/2024,7(0.00 %),"-8,700",-0.06,500,0.0,"9,200",0.07,"82,042,663",1.15%,aps
05/09/2024,7(0.00 %),"35,600",0.25,"37,100",0.26,"1,500",0.01,"82,034,363",1.16%,aps
04/09/2024,7(-2.78 %),"6,800",0.05,"15,600",0.11,"8,800",0.06,"82,018,563",1.18%,aps
30/08/2024,7.2(-2.70 %),"-52,400",-0.39,500,0.0,"52,900",0.39,"81,995,063",1.21%,aps
29/08/2024,7.4(1.37 %),"-25,800",-0.2,"13,300",0.1,"39,100",0.3,"81,946,463",1.27%,aps
28/08/2024,7.3(-1.35 %),"29,100",0.2,"78,200",0.57,"49,100",0.36,"81,938,063",1.28%,aps
27/08/2024,7.4(1.37 %),"50,900",0.37,"72,600",0.53,"21,700",0.16,"81,994,663",1.21%,aps
26/08/2024,7.3(-3.95 %),"27,500",0.2,"49,100",0.37,"21,600",0.17,"81,982,363",1.23%,aps
23/08/2024,7.6(-1.30 %),"-83,900",-0.65,"1,000",0.01,"84,900",0.66,"81,873,663",1.36%,aps
22/08/2024,7.7(8.45 %),"-87,000",-0.67,"70,800",0.53,"157,800",1.2,"81,869,863",1.36%,aps
21/08/2024,7.1(-1.39 %),"13,900",0.1,"18,700",0.13,"4,800",0.03,"81,940,663",1.28%,aps
20/08/2024,7.2(1.41 %),"78,300",0.55,"78,300",0.55,0,0.0,"82,007,563",1.2%,aps
19/08/2024,7.1(0.00 %),"43,200",0.3,"43,200",0.3,0,0.0,"82,007,563",1.2%,aps
16/08/2024,7.1(5.97 %),"47,200",0.33,"77,300",0.54,"30,100",0.21,"81,987,463",1.22%,aps
15/08/2024,6.7(0.00 %),"-59,500",-0.4,"3,800",0.03,"63,300",0.42,"82,055,163",1.14%,aps
14/08/2024,6.7(-1.47 %),"4,500",0.03,"14,100",0.1,"9,600",0.06,"82,040,263",1.16%,aps
13/08/2024,6.8(0.00 %),"-18,700",-0.13,0,0.0,"18,700",0.13,"82,051,263",1.14%,aps
12/08/2024,6.8(-1.45 %),"82,500",0.55,"85,600",0.58,"3,100",0.02,"82,047,363",1.15%,aps
