date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,28.6,--,0(0.00 %),0,0,0,0,28.6,28.6,28.6
11/09/2024,28.6,--,0(0.00 %),0,0,0,0,28.6,28.6,28.6
10/09/2024,28.6,--,0(0.00 %),0,0,0,0,28.6,28.6,28.6
09/09/2024,28.6,--,-0.1(-0.35 %),636,0.02,0,0,25.9,28.6,25.9
06/09/2024,28.7,--,0(0.00 %),39,0,0,0,28.7,28.7,28.7
05/09/2024,28.7,--,0.8(2.87 %),105,0,0,0,28.7,28.7,28.7
04/09/2024,27.9,--,2.4(9.41 %),401,0.01,0,0,24.8,27.9,24.8
30/08/2024,25.5,--,-0.2(-0.78 %),540,0.01,0,0,25.5,25.5,25.5
29/08/2024,25.7,--,2.2(9.36 %),100,0,0,0,25.7,25.7,25.7
28/08/2024,23.5,--,1.9(8.80 %),"3,640",0.09,0,0,23.5,23.5,23.5
27/08/2024,21.6,--,-1.5(-6.49 %),101,0,0,0,21.6,21.6,21.6
26/08/2024,23.1,--,0(0.00 %),17,0,0,0,23.1,23.1,23.1
23/08/2024,23.1,--,0(0.00 %),0,0,0,0,23.1,23.1,23.1
22/08/2024,23.1,--,0(0.00 %),0,0,0,0,23.1,23.1,23.1
21/08/2024,23.1,--,0(0.00 %),1,0,0,0,23.1,23.1,23.1
20/08/2024,23.1,--,0(0.00 %),3,0,0,0,23.1,23.1,23.1
19/08/2024,23.1,--,-1.9(-7.60 %),100,0,0,0,23.1,23.1,23.1
16/08/2024,25,--,0(0.00 %),107,0,0,0,25,25,25
15/08/2024,25,--,0(0.00 %),0,0,0,0,25,25,25
14/08/2024,25,--,0(0.00 %),100,0,0,0,25,25,25
14/08/2024,25,--,0(0.00 %),100,0,0,0,25,25,25
13/08/2024,25,--,0(0.00 %),0,0,0,0,25,25,25
12/08/2024,25,--,0(0.00 %),21,0,0,0,25,25,25
09/08/2024,25,--,0(0.00 %),3,0,0,0,25,25,25
08/08/2024,25,--,0(0.00 %),19,0,0,0,25,25,25
07/08/2024,25,--,-0.8(-3.10 %),201,0.01,0,0,25,25,25
06/08/2024,25.8,--,-2.8(-9.79 %),201,0.01,0,0,25.8,25.8,25.8
05/08/2024,28.6,--,-0.1(-0.35 %),"1,319",0.03,0,0,25.9,28.6,25.9
02/08/2024,28.7,--,2.5(9.54 %),122,0,0,0,28.7,28.7,28.7
01/08/2024,26.2,--,-2.9(-9.97 %),210,0.01,0,0,26.2,26.2,26.2
31/07/2024,29.1,--,0(0.00 %),0,0,0,0,29.1,29.1,29.1
30/07/2024,29.1,--,0(0.00 %),0,0,0,0,29.1,29.1,29.1
29/07/2024,29.1,--,2.5(9.40 %),149,0,0,0,29.1,29.1,29.1
26/07/2024,26.6,--,2.3(9.47 %),200,0.01,0,0,24.3,26.6,24.3
25/07/2024,24.3,--,0(0.00 %),0,0,0,0,24.3,24.3,24.3
24/07/2024,24.3,--,-2.6(-9.67 %),"2,700",0.07,0,0,24.3,24.3,24.3
23/07/2024,26.9,--,-2.9(-9.73 %),700,0.02,0,0,27,27,26.9
22/07/2024,29.8,--,-3.3(-9.97 %),301,0.01,0,0,29.8,29.8,29.8
19/07/2024,33.1,--,-3.6(-9.81 %),161,0.01,0,0,33.1,33.1,33.1
18/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
17/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
16/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
15/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
12/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
11/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
10/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
09/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
08/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
05/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
04/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
03/07/2024,36.7,--,0(0.00 %),0,0,0,0,36.7,36.7,36.7
02/07/2024,36.7,--,-0.2(-0.54 %),200,0.01,0,0,36.7,36.7,36.7
01/07/2024,36.9,--,-4(-9.78 %),123,0,0,0,36.9,36.9,36.9
28/06/2024,40.9,--,0(0.00 %),100,0,0,0,40.9,40.9,40.9
27/06/2024,40.9,--,0(0.00 %),0,0,0,0,40.9,40.9,40.9
26/06/2024,40.9,--,3.7(9.95 %),"1,000",0.04,0,0,40.9,40.9,33.5
25/06/2024,37.2,--,3.3(9.73 %),"1,071",0.04,0,0,35,37.2,35
24/06/2024,33.9,--,3(9.71 %),"2,801",0.09,0,0,30.9,33.9,30.9
21/06/2024,30.9,--,0(0.00 %),6,0,0,0,30.9,30.9,30.9
20/06/2024,30.9,--,0(0.00 %),0,0,0,0,30.9,30.9,30.9
19/06/2024,30.9,--,-0.1(-0.32 %),500,0.02,0,0,30.9,30.9,30.9
18/06/2024,31,--,0(0.00 %),900,0.03,0,0,34,34,31
17/06/2024,31,--,2.7(9.54 %),"1,006",0.03,0,0,28.3,31,28.3
14/06/2024,28.3,--,0(0.00 %),0,0,0,0,28.3,28.3,28.3
13/06/2024,28.3,--,0(0.00 %),"1,000",0.03,0,0,28.3,28.3,28.3
12/06/2024,28.3,--,0(0.00 %),0,0,0,0,28.3,28.3,28.3
11/06/2024,28.3,--,-3(-9.58 %),100,0,0,0,28.3,28.3,28.3
10/06/2024,31.3,--,0(0.00 %),"1,001",0.03,0,0,31.3,31.3,31.3
07/06/2024,31.3,--,2.8(9.82 %),100,0,0,0,31.3,31.3,31.3
06/06/2024,28.5,--,0(0.00 %),2,0,0,0,28.5,28.5,28.5
05/06/2024,28.5,--,0(0.00 %),"1,102",0.03,0,0,28.5,28.5,28.5
04/06/2024,28.5,--,0(0.00 %),0,0,0,0,28.5,28.5,28.5
03/06/2024,28.5,--,-3.1(-9.81 %),201,0.01,0,0,28.5,28.5,28.5
31/05/2024,31.6,--,-3.3(-9.46 %),"1,600",0.05,0,0,31.5,31.6,31.5
30/05/2024,34.9,--,0(0.00 %),0,0,0,0,34.9,34.9,34.9
29/05/2024,34.9,--,1.1(3.25 %),100,0,0,0,34.9,34.9,34.9
28/05/2024,33.8,--,0(0.00 %),0,0,0,0,33.8,33.8,33.8
27/05/2024,33.8,--,0(0.00 %),0,0,0,0,33.8,33.8,33.8
24/05/2024,33.8,--,0(0.00 %),0,0,0,0,33.8,33.8,33.8
23/05/2024,33.8,--,3(9.74 %),122,0,0,0,33.8,33.8,33.8
22/05/2024,31.8,30.8,0(0.00 %),0,0,0,0,31.8,31.8,31.8
21/05/2024,31.8,30.8,0.9(2.91 %),100,0,0,0,31.8,31.8,31.8
20/05/2024,30.9,29.93,0(0.00 %),0,0,0,0,30.9,30.9,30.9
17/05/2024,30.9,29.93,2.8(9.96 %),"1,300",0.04,0,0,30.9,30.9,30.9
16/05/2024,28.1,27.22,2.5(9.77 %),100,0,0,0,28.1,28.1,28.1
15/05/2024,25.6,24.8,-2.8(-9.86 %),"1,401",0.04,0,0,25.6,25.6,25.6
14/05/2024,28.4,27.51,-3.1(-9.84 %),200,0.01,0,0,28.4,28.4,28.4
13/05/2024,31.5,30.51,-3.4(-9.74 %),201,0.01,0,0,31.5,31.5,31.5
10/05/2024,34.9,33.8,0(0.00 %),1,0,0,0,34.9,34.9,34.9
09/05/2024,34.9,33.8,2.7(8.39 %),300,0.01,0,0,34.9,34.9,34.9
08/05/2024,32.2,31.19,0(0.00 %),0,0,0,0,32.2,32.2,32.2
07/05/2024,32.2,31.19,0(0.00 %),0,0,0,0,32.2,32.2,32.2
06/05/2024,32.2,31.19,0(0.00 %),0,0,0,0,32.2,32.2,32.2
03/05/2024,32.2,31.19,0(0.00 %),0,0,0,0,32.2,32.2,32.2
02/05/2024,32.2,31.19,0(0.00 %),0,0,0,0,32.2,32.2,32.2
26/04/2024,32.2,31.19,0(0.00 %),0,0,0,0,32.2,32.2,32.2
25/04/2024,32.2,31.19,2.9(9.90 %),100,0,0,0,32.2,32.2,32.2
24/04/2024,29.3,28.38,0(0.00 %),0,0,0,0,29.3,29.3,29.3
23/04/2024,29.3,28.38,0(0.00 %),0,0,0,0,29.3,29.3,29.3
22/04/2024,29.3,28.38,0(0.00 %),0,0,0,0,29.3,29.3,29.3
19/04/2024,29.3,28.38,2.6(9.74 %),100,0,0,0,29.3,29.3,29.3
17/04/2024,26.7,25.86,0(0.00 %),0,0,0,0,26.7,26.7,26.7
16/04/2024,26.7,25.86,0(0.00 %),0,0,0,0,26.7,26.7,26.7
15/04/2024,26.7,25.86,0(0.00 %),0,0,0,0,26.7,26.7,26.7
12/04/2024,26.7,25.86,0(0.00 %),0,0,0,0,26.7,26.7,26.7
11/04/2024,26.7,25.86,2.4(9.88 %),100,0,0,0,26.7,26.7,26.7
10/04/2024,24.3,23.54,0(0.00 %),0,0,0,0,24.3,24.3,24.3
09/04/2024,24.3,23.54,0(0.00 %),0,0,0,0,24.3,24.3,24.3
08/04/2024,24.3,23.54,0(0.00 %),3,0,0,0,24.3,24.3,24.3
05/04/2024,24.3,23.54,-2.7(-10.00 %),100,0,0,0,24.3,24.3,24.3
04/04/2024,27,26.15,0(0.00 %),0,0,0,0,27,27,27
03/04/2024,27,26.15,-2(-6.90 %),200,0.01,0,0,27,27,27
02/04/2024,29,28.09,0(0.00 %),0,0,0,0,29,29,29
01/04/2024,29,28.09,0(0.00 %),0,0,0,0,29,29,29
29/03/2024,29,28.09,0(0.00 %),0,0,0,0,29,29,29
28/03/2024,29,28.09,0(0.00 %),0,0,0,0,29,29,29
27/03/2024,29,28.09,0(0.00 %),0,0,0,0,29,29,29
26/03/2024,29,28.09,0(0.00 %),0,0,0,0,29,29,29
25/03/2024,29,28.09,0(0.00 %),0,0,0,0,29,29,29
22/03/2024,29,28.09,0(0.00 %),0,0,0,0,29,29,29
