date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
11/09/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
10/09/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
09/09/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
06/09/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
05/09/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
04/09/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
30/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
29/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
28/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
27/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
26/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
23/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
22/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
21/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
20/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
19/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
16/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
15/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
14/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
13/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
12/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
09/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
08/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
07/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
06/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
05/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
02/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
01/08/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
31/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
30/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
29/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
24/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
23/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
22/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
19/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
18/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
15/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
12/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
11/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
10/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
08/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
04/07/2024,0(0.00 %),0,0,0,0,0,0,"96,283,977",0.66%
