date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,9.01 ( 0.11 %),394,"2,174,300","5,518.53",435,"1,570,500","3,610","603,800"
11/09/2024,9 ( -0.11 %),723,"2,627,800","3,634.58",514,"2,232,300","4,343","395,500"
10/09/2024,9.01 ( -0.11 %),752,"1,785,200","2,373.94",624,"2,176,300","3,488","-391,100"
09/09/2024,9.02 ( -0.22 %),623,"1,223,500","1,963.88",426,"1,310,400","3,076","-86,900"
06/09/2024,9.04 ( -0.88 %),973,"1,813,900","1,864.23",421,"1,970,300","4,680","-156,400"
05/09/2024,9.12 ( -0.65 %),744,"1,329,200","1,786.56",500,"1,661,400","3,323","-332,200"
04/09/2024,9.18 ( -2.13 %),"1,139","2,081,600","1,827.57",661,"2,048,700","3,099","32,900"
30/08/2024,9.38 ( -0.53 %),758,"1,204,900","1,589.58",607,"1,907,900","3,143","-703,000"
29/08/2024,9.43 ( -0.84 %),819,"1,491,500","1,821.12",971,"2,705,800","2,787","-1,214,300"
28/08/2024,9.51 ( 0.53 %),"1,271","4,561,300","3,588.75","1,022","4,166,800","4,077","394,500"
27/08/2024,9.46 ( 0.11 %),798,"2,009,200","2,517.79",836,"2,469,700","2,954","-460,500"
26/08/2024,9.45 ( 1.39 %),860,"3,136,200","3,646.74",935,"3,516,500","3,761","-380,300"
23/08/2024,9.32 ( -0.43 %),"1,113","2,120,100","1,904.85",893,"2,948,800","3,302","-828,700"
22/08/2024,9.36 ( -1.89 %),"1,206","2,069,000","1,715.59",814,"2,636,300","3,239","-567,300"
21/08/2024,9.54 ( 0.1 %),739,"1,982,600","2,682.81",713,"2,738,100","3,840","-755,500"
20/08/2024,9.53 ( 2.47 %),976,"3,874,700","3,969.98",959,"3,263,200","3,403","611,500"
19/08/2024,9.3 ( 0.32 %),643,"1,489,700","2,316.8",610,"1,882,000","3,085","-392,300"
16/08/2024,9.27 ( 4.16 %),907,"3,209,600","3,538.7","1,085","2,871,400","2,646","338,200"
15/08/2024,8.9 ( 0 %),460,"1,486,200","3,230.87",411,"1,115,700","2,715","370,500"
14/08/2024,8.9 ( 0 %),481,"973,800","2,024.53",539,"1,084,800","2,013","-111,000"
13/08/2024,8.9 ( 0.45 %),577,"1,253,300","2,172.1",546,"1,320,500","2,418","-67,200"
12/08/2024,8.86 ( 0.23 %),513,"1,046,500","2,039.96",356,"972,100","2,731","74,400"
08/08/2024,8.81 ( -0.23 %),724,"1,472,700","2,034.12",520,"1,627,500","3,130","-154,800"
07/08/2024,8.83 ( 1.26 %),616,"1,360,900","2,209.25",530,"1,366,500","2,578","-5,600"
06/08/2024,8.72 ( 1.4 %),"1,077","2,342,700","2,175.21",662,"2,361,200","3,567","-18,500"
05/08/2024,8.6 ( -6.93 %),"1,670","3,409,200","2,041.44",766,"4,603,300","6,010","-1,194,100"
02/08/2024,9.24 ( 0.11 %),"1,155","1,884,500","1,631.6",464,"1,566,400","3,376","318,100"
01/08/2024,9.23 ( -4.05 %),"1,155","1,837,000","1,590.48",652,"2,873,100","4,407","-1,036,100"
31/07/2024,9.62 ( 0 %),814,"2,067,500","2,539.93",549,"2,075,500","3,781","-8,000"
30/07/2024,9.62 ( -1.94 %),788,"1,320,300","1,675.51",522,"2,050,100","3,927","-729,800"
29/07/2024,9.81 ( 0.2 %),465,"655,900","1,410.54",512,"1,400,800","2,736","-744,900"
26/07/2024,9.79 ( 1.24 %),462,"1,145,800","2,480.09",602,"1,592,200","2,645","-446,400"
25/07/2024,9.67 ( 0.21 %),629,"1,578,800","2,510.02",368,"945,600","2,570","633,200"
24/07/2024,9.65 ( 0.73 %),"1,001","1,891,300","1,889.41",583,"1,672,700","2,869","218,600"
22/07/2024,9.6 ( -2.04 %),"1,437","2,667,600","1,856.37",614,"2,546,700","4,148","120,900"
19/07/2024,9.8 ( -2 %),"1,561","2,787,100","1,785.46",752,"3,242,000","4,311","-454,900"
18/07/2024,10 ( 1.83 %),"1,488","2,623,400","1,763.04",783,"2,860,100","3,653","-236,700"
17/07/2024,0 ( 0 %),"1,867","5,202,100","2,786.34","1,205","6,991,600","5,802","-1,789,500"
16/07/2024,0 ( 0 %),"1,261","2,488,600","1,973.51",813,"3,372,200","4,148","-883,600"
15/07/2024,10.45 ( 0 %),"1,036","2,901,500","2,800.68",834,"3,253,400","3,901","-351,900"
12/07/2024,11.5 ( -0.43 %),"1,751","7,841,300","4,478.18","1,924","7,182,300","3,733","659,000"
11/07/2024,11.55 ( 2.21 %),"1,302","6,616,200","5,081.57","1,602","6,407,500","4,000","208,700"
10/07/2024,11.3 ( -0.88 %),999,"3,228,600","3,231.83","1,004","4,153,400","4,137","-924,800"
09/07/2024,11.4 ( 0.88 %),931,"3,943,200","4,235.45","1,506","5,205,700","3,457","-1,262,500"
08/07/2024,11.3 ( -0.44 %),833,"3,051,100","3,662.79","1,157","3,650,400","3,155","-599,300"
05/07/2024,11.35 ( 0.44 %),911,"2,629,000","2,885.84",827,"3,314,600","4,008","-685,600"
04/07/2024,11.3 ( -0.44 %),904,"2,177,800","2,409.07","1,028","4,377,900","4,259","-2,200,100"
03/07/2024,11.35 ( 0.89 %),798,"2,298,500","2,880.33","1,018","3,276,500","3,219","-978,000"
02/07/2024,11.25 ( 1.35 %),793,"2,366,500","2,984.24",886,"2,779,800","3,137","-413,300"
01/07/2024,11.1 ( 1.37 %),853,"1,970,700","2,310.32",650,"1,956,100","3,009","14,600"
28/06/2024,10.95 ( -1.35 %),"1,380","2,868,500","2,078.62",860,"3,527,100","4,101","-658,600"
27/06/2024,11.1 ( -0.45 %),860,"2,959,900","3,441.74",678,"2,660,100","3,923","299,800"
26/06/2024,11.15 ( 0.45 %),"1,185","3,679,600","3,105.15","1,004","3,891,400","3,876","-211,800"
25/06/2024,11.1 ( 1.37 %),"1,304","3,275,900","2,512.19",749,"3,173,200","4,237","102,700"
24/06/2024,10.95 ( -4.78 %),"3,185","8,392,600","2,635.04","1,550","8,305,500","5,358","87,100"
21/06/2024,11.5 ( -0.43 %),"1,430","5,415,600","3,787.13","1,010","4,967,800","4,919","447,800"
20/06/2024,11.55 ( -1.28 %),"2,058","5,426,300","2,636.69","1,238","6,144,500","4,963","-718,200"
19/06/2024,11.7 ( 0.43 %),"1,269","4,656,400","3,669.35","1,933","7,352,200","3,804","-2,695,800"
18/06/2024,11.65 ( 0.43 %),"1,467","7,215,700","4,918.68","1,046","4,454,300","4,258","2,761,400"
17/06/2024,11.6 ( -1.28 %),"2,107","4,989,400","2,368.01","1,214","5,225,300","4,304","-235,900"
