date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
11/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
10/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
09/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
06/09/2024,0.7,--,0(0.00 %),"40,621",0.02,0,0,0.6,0.7,0.6,ata
05/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
04/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
30/08/2024,0.7,--,0(0.00 %),"8,089",0.01,0,0,0.7,0.8,0.7,ata
29/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
28/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
27/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
26/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
23/08/2024,0.8,--,0.1(14.29 %),"7,921",0.01,0,0,0.7,0.8,0.7,ata
22/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
21/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
20/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
19/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
16/08/2024,0.7,--,0.1(16.67 %),"5,504",0.0,0,0,0.5,0.7,0.5,ata
15/08/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
14/08/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
13/09/2024,0.6,--,0(0.00 %),"75,003",0.04,0,0,0.5,0.7,0.5,ata
12/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
11/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
10/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
09/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
06/09/2024,0.7,--,0(0.00 %),"40,621",0.02,0,0,0.6,0.7,0.6,ata
05/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
04/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
30/08/2024,0.7,--,0(0.00 %),"8,089",0.01,0,0,0.7,0.8,0.7,ata
29/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
28/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
27/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
26/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
23/08/2024,0.8,--,0.1(14.29 %),"7,921",0.01,0,0,0.7,0.8,0.7,ata
22/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
21/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
20/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
19/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
16/08/2024,0.7,--,0.1(16.67 %),"5,504",0.0,0,0,0.5,0.7,0.5,ata
15/08/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
14/08/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
13/09/2024,0.6,--,0(0.00 %),"75,003",0.04,0,0,0.5,0.7,0.5,ata
12/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
11/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
10/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
09/09/2024,0.6,--,0(0.00 %),0,0.0,0,0,0.6,0.6,0.6,ata
06/09/2024,0.7,--,0(0.00 %),"40,621",0.02,0,0,0.6,0.7,0.6,ata
05/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
04/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
30/08/2024,0.7,--,0(0.00 %),"8,089",0.01,0,0,0.7,0.8,0.7,ata
29/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
28/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
27/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
26/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
23/08/2024,0.8,--,0.1(14.29 %),"7,921",0.01,0,0,0.7,0.8,0.7,ata
22/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
21/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
20/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
19/08/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,ata
16/08/2024,0.7,--,0.1(16.67 %),"5,504",0.0,0,0,0.5,0.7,0.5,ata
