date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
11/09/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
10/09/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
09/09/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
06/09/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
05/09/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
04/09/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
30/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
29/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
28/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
27/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
26/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
23/08/2024,0.8(14.29 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
22/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
21/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
20/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
19/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
16/08/2024,0.7(16.67 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
15/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
14/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
13/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
12/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
09/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
08/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
07/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
06/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
05/08/2024,0.6(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
02/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
01/08/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
31/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
30/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
29/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
24/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
23/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
22/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
19/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
18/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
17/07/2024,0(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
16/07/2024,0(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
15/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
12/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
11/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
10/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
08/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
04/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
03/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
02/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
01/07/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
28/06/2024,0.8(14.29 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
27/06/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
26/06/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
25/06/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
24/06/2024,0.7(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
21/06/2024,0.7(-12.50 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
20/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
19/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
18/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
17/06/2024,0(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
14/06/2024,0(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
13/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
12/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
11/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
10/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
07/06/2024,0.9(12.50 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
06/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
05/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
04/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
03/06/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
31/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
30/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
29/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
28/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
27/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
24/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
23/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
22/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
21/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
20/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
17/05/2024,0.9(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
16/05/2024,0.9(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
15/05/2024,0.9(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
14/05/2024,0.9(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
13/05/2024,0.9(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
10/05/2024,0.9(12.50 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
09/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
08/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
07/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
06/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
03/05/2024,0.7(-12.50 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
02/05/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
26/04/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
25/04/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
24/04/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
23/04/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
22/04/2024,0.8(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
19/04/2024,0.8(-11.11 %),0,0,0,0,0,0,"5,874,019",0%,ata
17/04/2024,0.9(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
16/04/2024,0.9(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
15/04/2024,0.9(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
12/04/2024,0.9(-10.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
11/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
10/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
09/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
08/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
05/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
04/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
03/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
02/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
01/04/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
29/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
28/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
27/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
26/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
25/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
22/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
21/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
20/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
19/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
18/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
15/03/2024,1.1(10.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
14/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
13/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
12/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
11/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
08/03/2024,1.1(10.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
07/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
06/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
05/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
04/03/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
01/03/2024,1(-9.09 %),0,0,0,0,0,0,"5,874,019",0%,ata
29/02/2024,1.1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
28/02/2024,1.1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
27/02/2024,1.1(0.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
26/02/2024,1.1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
23/02/2024,1.1(10.00 %),0,0,0,0,0,0,"5,874,019",0%,ata
22/02/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
21/02/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
20/02/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
19/02/2024,1(0.00 %),0,0,0,0,0,0,"5,874,019",0.05%,ata
16/02/2024,1(0.00 %),"2,000",0,"2,000",0,0,0,"5,874,019",0.05%,ata
15/02/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0.03%,ata
07/02/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0.03%,ata
06/02/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0.03%,ata
05/02/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0%,ata
02/02/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0.03%,ata
01/02/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0%,ata
31/01/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0.03%,ata
30/01/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0.03%,ata
29/01/2024,1(0.00 %),0,0,0,0,0,0,"5,876,019",0.03%,ata
26/01/2024,1(11.11 %),500,0,500,0,0,0,"5,876,019",0%,ata
25/01/2024,0.9(0.00 %),0,0,0,0,0,0,"5,876,519",0%,ata
24/01/2024,0.9(0.00 %),0,0,0,0,0,0,"5,876,519",0%,ata
23/01/2024,0.9(0.00 %),0,0,0,0,0,0,"5,876,519",0%,ata
22/01/2024,0.9(0.00 %),0,0,0,0,0,0,"5,876,519",0%,ata
19/01/2024,0.9(-10.00 %),700,0,700,0,0,0,"5,876,519",0.01%,ata
18/01/2024,1(0.00 %),0,0,0,0,0,0,"5,877,219",0%,ata
17/01/2024,1(0.00 %),0,0,0,0,0,0,"5,877,219",0.02%,ata
16/01/2024,1(0.00 %),0,0,0,0,0,0,"5,877,219",0.02%,ata
15/01/2024,1(0.00 %),0,0,0,0,0,0,"5,877,219",0.02%,ata
12/01/2024,1(0.00 %),200,0,200,0,0,0,"5,877,219",0%,ata
11/01/2024,1(0.00 %),0,0,0,0,0,0,"5,877,419",0.02%,ata
10/01/2024,1(0.00 %),0,0,0,0,0,0,"5,877,419",0.02%,ata
09/01/2024,1(0.00 %),0,0,0,0,0,0,"5,877,419",0.02%,ata
08/01/2024,1(0.00 %),0,0,0,0,0,0,"5,877,419",0%,ata
05/01/2024,1.1(0.00 %),0,0,0,0,0,0,"5,877,419",0%,ata
04/01/2024,1.1(0.00 %),0,0,0,0,0,0,"5,877,419",0%,ata
03/01/2024,1.1(0.00 %),0,0,0,0,0,0,"5,877,419",0%,ata
02/01/2024,1.1(0.00 %),0,0,0,0,0,0,"5,877,419",0.02%,ata
