date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,3.1 ( 0 %),0,0,0,0,0,0,0,atg
11/09/2024,3.1 ( 0 %),0,0,0,0,0,0,0,atg
10/09/2024,3.1 ( 0 %),0,0,0,0,0,0,0,atg
09/09/2024,3.1 ( 0 %),0,0,0,0,0,0,0,atg
06/09/2024,3.2 ( 0 %),10,"31,600","3,160",11,"23,900","2,173","7,700",atg
05/09/2024,3.2 ( 0 %),0,0,0,0,0,0,0,atg
04/09/2024,3.2 ( 0 %),0,0,0,0,0,0,0,atg
30/08/2024,3.3 ( 3.12 %),15,"38,900","2,593.33",15,"41,000","2,733","-2,100",atg
29/08/2024,3.2 ( 0 %),0,0,0,0,0,0,0,atg
28/08/2024,3.2 ( 0 %),0,0,0,0,0,0,0,atg
27/08/2024,3.2 ( 0 %),0,0,0,0,0,0,0,atg
26/08/2024,3.2 ( 0 %),0,0,0,0,0,0,0,atg
23/08/2024,3.2 ( -3.03 %),15,"75,700","5,046.67",12,"62,200","5,183","13,500",atg
22/08/2024,3.3 ( 0 %),0,0,0,0,0,0,0,atg
21/08/2024,3.3 ( 0 %),0,0,0,0,0,0,0,atg
20/08/2024,3.3 ( 0 %),0,0,0,0,0,0,0,atg
19/08/2024,3.3 ( 0 %),0,0,0,0,0,0,0,atg
16/08/2024,3.3 ( 0 %),9,"5,800",644.44,11,"41,700","3,791","-35,900",atg
15/08/2024,3.3 ( 0 %),0,0,0,0,0,0,0,atg
14/08/2024,3.3 ( 0 %),0,0,0,0,0,0,0,atg
13/08/2024,3.3 ( 0 %),0,0,0,0,0,0,0,atg
12/08/2024,3.3 ( 0 %),0,0,0,0,0,0,0,atg
09/08/2024,3.8 ( 11.76 %),17,"93,800","5,517.65",12,"94,800","7,900","-1,000",atg
08/08/2024,3.4 ( 0 %),0,0,0,0,0,0,0,atg
07/08/2024,3.4 ( 0 %),0,0,0,0,0,0,0,atg
06/08/2024,3.4 ( 0 %),0,0,0,0,0,0,0,atg
05/08/2024,3.4 ( 0 %),0,0,0,0,0,0,0,atg
02/08/2024,3.4 ( 0 %),11,"5,700",518.18,9,"18,900","2,100","-13,200",atg
01/08/2024,3.4 ( 0 %),0,0,0,0,0,0,0,atg
31/07/2024,3.4 ( 0 %),0,0,0,0,0,0,0,atg
30/07/2024,3.4 ( 0 %),0,0,0,0,0,0,0,atg
29/07/2024,3.4 ( 0 %),0,0,0,0,0,0,0,atg
26/07/2024,3.6 ( 2.86 %),16,"7,400",462.5,26,"25,500",981,"-18,100",atg
25/07/2024,3.5 ( 0 %),0,0,0,0,0,0,0,atg
24/07/2024,3.5 ( 0 %),0,0,0,0,0,0,0,atg
23/07/2024,3.5 ( 0 %),0,0,0,0,0,0,0,atg
22/07/2024,3.5 ( 0 %),0,0,0,0,0,0,0,atg
19/07/2024,4.2 ( 5 %),25,"38,700","1,548",22,"50,500","2,295","-11,800",atg
18/07/2024,4 ( 0 %),0,0,0,0,0,0,0,atg
17/07/2024,4 ( 0 %),0,0,0,0,0,0,0,atg
16/07/2024,4 ( 0 %),0,0,0,0,0,0,0,atg
15/07/2024,4 ( 0 %),0,0,0,0,0,0,0,atg
12/07/2024,4 ( -14.89 %),39,"49,900","1,279.49",30,"110,300","3,677","-60,400",atg
11/07/2024,4.7 ( 0 %),0,0,0,0,0,0,0,atg
10/07/2024,4.7 ( 0 %),0,0,0,0,0,0,0,atg
09/07/2024,4.7 ( 0 %),0,0,0,0,0,0,0,atg
08/07/2024,4.7 ( 0 %),0,0,0,0,0,0,0,atg
05/07/2024,5 ( -5.66 %),6,"1,400",233.33,23,"77,100","3,352","-75,700",atg
04/07/2024,5.3 ( 0 %),0,0,0,0,0,0,0,atg
03/07/2024,5.3 ( 0 %),0,0,0,0,0,0,0,atg
02/07/2024,5.3 ( 0 %),0,0,0,0,0,0,0,atg
01/07/2024,5.3 ( 0 %),0,0,0,0,0,0,0,atg
28/06/2024,5.2 ( -3.7 %),12,"40,400","3,366.67",29,"153,000","5,276","-112,600",atg
27/06/2024,5.4 ( 0 %),0,0,0,0,0,0,0,atg
26/06/2024,5.4 ( 0 %),0,0,0,0,0,0,0,atg
25/06/2024,5.4 ( 0 %),0,0,0,0,0,0,0,atg
24/06/2024,5.4 ( 0 %),0,0,0,0,0,0,0,atg
21/06/2024,5.4 ( 0 %),14,"250,600","17,900",37,"315,400","8,524","-64,800",atg
20/06/2024,5.4 ( 0 %),0,0,0,0,0,0,0,atg
19/06/2024,5.4 ( 0 %),0,0,0,0,0,0,0,atg
18/06/2024,5.4 ( 0 %),0,0,0,0,0,0,0,atg
17/06/2024,5.4 ( 0 %),0,0,0,0,0,0,0,atg
14/06/2024,5.5 ( -1.79 %),15,"64,600","4,306.67",24,"100,400","4,183","-35,800",atg
13/06/2024,5.6 ( 0 %),0,0,0,0,0,0,0,atg
12/06/2024,5.6 ( 0 %),0,0,0,0,0,0,0,atg
11/06/2024,5.6 ( 0 %),0,0,0,0,0,0,0,atg
10/06/2024,5.6 ( 0 %),0,0,0,0,0,0,0,atg
07/06/2024,5.6 ( -1.75 %),26,"302,300","11,626.92",54,"394,600","7,307","-92,300",atg
