date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,3.1(0.00 %),0,0,0,0,0,0,"7,443,870",0.09%
11/09/2024,3.1(0.00 %),0,0,0,0,0,0,"7,443,870",0.09%
10/09/2024,3.1(0.00 %),0,0,0,0,0,0,"7,443,870",0.09%
09/09/2024,3.1(0.00 %),0,0,0,0,0,0,"7,443,870",0.09%
06/09/2024,3.2(0.00 %),0,0,0,0,0,0,"7,443,870",0.09%
05/09/2024,3.2(0.00 %),0,0,0,0,0,0,"7,443,870",0.09%
04/09/2024,3.2(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
30/08/2024,3.3(3.12 %),-100,-0,0,0,100,0,"7,443,770",0.09%
29/08/2024,3.2(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
28/08/2024,3.2(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
27/08/2024,3.2(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
26/08/2024,3.2(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
23/08/2024,3.2(-3.03 %),0,0,0,0,0,0,"7,443,770",0.09%
22/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
21/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
20/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
19/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
16/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
15/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
14/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
13/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
12/08/2024,3.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
09/08/2024,3.8(11.76 %),0,0,0,0,0,0,"7,443,770",0.09%
08/08/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
07/08/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
06/08/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
05/08/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
02/08/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
01/08/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
31/07/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
30/07/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
29/07/2024,3.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
24/07/2024,3.5(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
23/07/2024,3.5(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
22/07/2024,3.5(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
19/07/2024,4.2(5.00 %),0,0,0,0,0,0,"7,443,770",0.09%
18/07/2024,4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
15/07/2024,4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
12/07/2024,4(-14.89 %),0,0,0,0,0,0,"7,443,770",0.09%
11/07/2024,4.7(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
10/07/2024,4.7(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
08/07/2024,4.7(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
04/07/2024,5.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
03/07/2024,5.3(0.00 %),0,0,0,0,0,0,"7,443,770",0%
02/07/2024,5.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
01/07/2024,5.3(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
28/06/2024,5.2(-3.70 %),0,0,0,0,0,0,"7,443,770",0.09%
27/06/2024,5.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
26/06/2024,5.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
25/06/2024,5.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
24/06/2024,5.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
21/06/2024,5.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
20/06/2024,5.4(0.00 %),0,0,0,0,0,0,"7,443,770",0.09%
