date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,19.8,--,0(0.00 %),1,0.0,0,0.0,19.8,19.8,19.8,ats
11/09/2024,19.8,--,0(0.00 %),0,0.0,0,0.0,19.8,19.8,19.8,ats
10/09/2024,19.8,--,0(0.00 %),0,0.0,0,0.0,19.8,19.8,19.8,ats
09/09/2024,19.8,--,0(0.00 %),0,0.0,0,0.0,19.8,19.8,19.8,ats
06/09/2024,19.8,--,0(0.00 %),0,0.0,0,0.0,19.8,19.8,19.8,ats
05/09/2024,19.8,--,-0.1(-0.50 %),"3,000",0.06,0,0.0,18.0,19.8,18.0,ats
04/09/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,ats
30/08/2024,19.9,--,0(0.00 %),5,0.0,0,0.0,19.9,19.9,19.9,ats
29/08/2024,19.9,--,0(0.00 %),1,0.0,0,0.0,19.9,19.9,19.9,ats
28/08/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,ats
27/08/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,ats
26/08/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,ats
23/08/2024,19.9,--,0(0.00 %),3,0.0,0,0.0,19.9,19.9,19.9,ats
22/08/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,ats
21/08/2024,19.9,--,0(0.00 %),23,0.0,0,0.0,19.9,19.9,19.9,ats
20/08/2024,19.9,--,0(0.00 %),0,0.0,0,0.0,19.9,19.9,19.9,ats
19/08/2024,19.9,--,0(0.00 %),24,0.0,0,0.0,19.9,19.9,19.9,ats
16/08/2024,19.9,--,-1.1(-5.24 %),303,0.01,0,0.0,19.0,19.9,19.0,ats
15/08/2024,21.0,--,1.2(6.06 %),130,0.0,0,0.0,21.0,21.0,21.0,ats
14/08/2024,19.8,--,0(0.00 %),104,0.0,0,0.0,19.8,19.8,19.8,ats
14/08/2024,19.8,--,0(0.00 %),104,0.0,0,0.0,19.8,19.8,19.8,ats
13/08/2024,19.8,--,1.3(7.03 %),604,0.01,0,0.0,19.8,19.8,19.8,ats
12/08/2024,18.5,--,0(0.00 %),30,0.0,0,0.0,18.5,18.5,18.5,ats
09/08/2024,18.5,--,0(0.00 %),0,0.0,0,0.0,18.5,18.5,18.5,ats
08/08/2024,18.5,--,0(0.00 %),5,0.0,0,0.0,18.5,18.5,18.5,ats
07/08/2024,18.5,--,-0.4(-2.12 %),601,0.01,0,0.0,18.4,18.5,18.4,ats
06/08/2024,18.9,--,-2(-9.57 %),"9,306",0.2,0,0.0,22.5,22.9,18.9,ats
05/08/2024,20.9,--,0(0.00 %),30,0.0,0,0.0,20.9,20.9,20.9,ats
02/08/2024,20.9,--,0(0.00 %),6,0.0,0,0.0,20.9,20.9,20.9,ats
01/08/2024,20.9,--,0(0.00 %),1,0.0,0,0.0,20.9,20.9,20.9,ats
31/07/2024,20.9,--,0(0.00 %),1,0.0,0,0.0,20.9,20.9,20.9,ats
30/07/2024,20.9,--,0(0.00 %),2,0.0,0,0.0,20.9,20.9,20.9,ats
29/07/2024,20.9,--,0(0.00 %),0,0.0,0,0.0,20.9,20.9,20.9,ats
26/07/2024,20.9,--,0(0.00 %),31,0.0,0,0.0,20.9,20.9,20.9,ats
25/07/2024,20.9,--,1.9(10.00 %),"2,050",0.04,0,0.0,20.0,20.9,20.0,ats
24/07/2024,19.0,--,0(0.00 %),0,0.0,0,0.0,19.0,19.0,19.0,ats
23/07/2024,19.0,--,0(0.00 %),0,0.0,0,0.0,19.0,19.0,19.0,ats
22/07/2024,19.0,--,0(0.00 %),4,0.0,0,0.0,19.0,19.0,19.0,ats
19/07/2024,19.0,--,1.5(8.57 %),101,0.0,0,0.0,19.0,19.0,19.0,ats
18/07/2024,17.5,--,0(0.00 %),0,0.0,0,0.0,17.5,17.5,17.5,ats
17/07/2024,17.5,--,1.5(9.38 %),108,0.0,0,0.0,17.5,17.5,17.5,ats
16/07/2024,16.0,--,1.2(8.11 %),900,0.01,0,0.0,14.7,16.0,14.7,ats
15/07/2024,14.8,--,0(0.00 %),0,0.0,0,0.0,14.8,14.8,14.8,ats
12/07/2024,14.8,--,0(0.00 %),0,0.0,0,0.0,14.8,14.8,14.8,ats
11/07/2024,14.8,--,0(0.00 %),0,0.0,0,0.0,14.8,14.8,14.8,ats
10/07/2024,14.8,--,1.3(9.63 %),500,0.01,0,0.0,14.0,14.8,14.0,ats
09/07/2024,13.5,--,0.7(5.47 %),"1,100",0.01,0,0.0,12.0,13.5,12.0,ats
08/07/2024,12.8,--,-1.3(-9.22 %),400,0.01,0,0.0,12.8,12.8,12.8,ats
05/07/2024,14.1,--,0(0.00 %),0,0.0,0,0.0,14.1,14.1,14.1,ats
04/07/2024,14.1,--,0(0.00 %),0,0.0,0,0.0,14.1,14.1,14.1,ats
03/07/2024,14.1,--,1.1(8.46 %),"1,200",0.02,0,0.0,14.2,14.2,13.9,ats
02/07/2024,13.0,--,0(0.00 %),5,0.0,0,0.0,13.0,13.0,13.0,ats
01/07/2024,13.0,--,0.9(7.44 %),"20,501",0.23,0,0.0,11.5,13.0,11.4,ats
28/06/2024,12.1,--,-0.9(-6.92 %),"1,405",0.02,0,0.0,12.2,12.2,12.1,ats
27/06/2024,13.0,--,-1(-7.14 %),100,0.0,0,0.0,13.0,13.0,13.0,ats
26/06/2024,14.0,--,-0.7(-4.76 %),200,0.0,0,0.0,14.5,14.5,14.0,ats
25/06/2024,14.7,--,0(0.00 %),0,0.0,0,0.0,14.7,14.7,14.7,ats
