date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,19.8(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
11/09/2024,19.8(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
10/09/2024,19.8(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
09/09/2024,19.8(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
06/09/2024,19.8(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
05/09/2024,19.8(-0.50 %),0,0,0,0,0,0,"1,744,800",0.15%
04/09/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
30/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
29/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
28/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
27/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
26/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
23/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
22/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
21/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
20/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
19/08/2024,19.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
16/08/2024,19.9(-5.24 %),0,0,0,0,0,0,"1,744,800",0.15%
15/08/2024,21(6.06 %),0,0,0,0,0,0,"1,744,800",0.15%
14/08/2024,19.8(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
13/08/2024,19.8(7.03 %),0,0,0,0,0,0,"1,744,800",0.15%
12/08/2024,18.5(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
09/08/2024,18.5(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
08/08/2024,18.5(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
07/08/2024,18.5(-2.12 %),0,0,0,0,0,0,"1,744,800",0.15%
06/08/2024,18.9(-9.57 %),0,0,0,0,0,0,"1,744,800",0.15%
05/08/2024,20.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
02/08/2024,20.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
01/08/2024,20.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
31/07/2024,20.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
30/07/2024,20.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
29/07/2024,20.9(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
24/07/2024,19(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
23/07/2024,19(0.00 %),0,0,0,0,0,0,"1,744,800",0.15%
