date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
11/09/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
10/09/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
09/09/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
06/09/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
05/09/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
04/09/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
30/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
29/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
28/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
27/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
26/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
23/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
22/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
21/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
20/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
19/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
16/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
15/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
14/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
13/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
12/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
09/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
08/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
07/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
06/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
05/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
02/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
01/08/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
31/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
30/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
29/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
26/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
25/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
24/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
23/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
22/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
19/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
18/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
17/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
16/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
15/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
12/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
11/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
10/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
09/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
08/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
05/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
04/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
03/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
02/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
01/07/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
28/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
27/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
26/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
25/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
24/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
21/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
20/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
19/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
18/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
17/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
14/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
13/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
12/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
11/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
10/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
07/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
06/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
05/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
04/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
03/06/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
31/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
30/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
29/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
28/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
27/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
24/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
23/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
22/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
21/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
20/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
17/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
16/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
15/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
14/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
13/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
10/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
09/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
08/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
07/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
06/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
03/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
02/05/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
26/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
25/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
24/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
23/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
22/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
19/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
17/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
16/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
15/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
12/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
11/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
10/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
09/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
08/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
05/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
04/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
03/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
02/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
01/04/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
29/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
28/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
27/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
26/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
25/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
22/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
21/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
20/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
19/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
18/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
15/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
14/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
13/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
12/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
11/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
08/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
07/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
06/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
05/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
04/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
01/03/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
29/02/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
28/02/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
27/02/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
26/02/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
23/02/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
22/02/2024,0 ( 0 %),0,0,0,0,0,0,0,avf
