date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
11/09/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
10/09/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
09/09/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
06/09/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
05/09/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
04/09/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
30/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
29/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
28/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
27/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
26/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
23/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
22/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
21/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
20/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
19/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
16/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
15/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
14/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
13/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
12/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
09/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
08/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
07/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
06/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
05/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
02/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
01/08/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
31/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
30/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
29/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
24/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
23/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
22/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
19/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
18/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"21,144,509",0.21%
