date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
11/09/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
10/09/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
09/09/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
06/09/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
05/09/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
04/09/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
30/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
29/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
28/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
27/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
26/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
23/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
22/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
21/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
20/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
19/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
16/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
15/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
14/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
13/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
12/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
09/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
08/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
07/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
06/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
05/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
02/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
01/08/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
31/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
30/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
29/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
24/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
23/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
22/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
19/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
18/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
17/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
16/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
15/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
12/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
11/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
10/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
08/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
04/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
03/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
02/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
01/07/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
28/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
27/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
26/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
25/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
24/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
21/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
20/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
19/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
18/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
17/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
14/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
13/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
12/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
11/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
07/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
06/06/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
31/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
30/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
29/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
28/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
27/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
23/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
22/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
21/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
20/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
17/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
13/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
10/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
09/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
08/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
07/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
06/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
03/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
02/05/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
26/04/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
23/04/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
22/04/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
12/04/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
11/04/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
05/04/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
03/04/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
01/04/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
29/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
28/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
27/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
25/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
19/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
18/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
13/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
12/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
05/03/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
29/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
26/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
22/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
21/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
20/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
19/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
16/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
15/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
07/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
06/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
02/02/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
31/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
30/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
29/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
17/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
16/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
15/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
11/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
10/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
09/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
02/01/2024,0(0.00 %),0,0,0,0,0,0,"14,626,800",0.24%,bam
