date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,39,--,1(2.63 %),705,0.03,0,0,38.5,39,38.5
11/09/2024,38,--,-2(-5.00 %),"1,000",0.04,0,0,38,38,38
10/09/2024,40,--,0(0.00 %),10,0,0,0,40,40,40
09/09/2024,40,--,0(0.00 %),10,0,0,0,40,40,40
06/09/2024,40,--,-0.9(-2.20 %),200,0.01,0,0,37.3,40,37.3
05/09/2024,40.9,--,1.1(2.76 %),"2,401",0.09,0,0,38,40.9,38
04/09/2024,39.8,--,-0.1(-0.25 %),103,0,0,0,39.8,39.8,39.8
30/08/2024,39.9,--,0(0.00 %),2,0,0,0,39.9,39.9,39.9
29/08/2024,39.9,--,0(0.00 %),0,0,0,0,39.9,39.9,39.9
28/08/2024,39.9,--,0(0.00 %),"1,302",0.05,0,0,37.5,39.9,37.5
27/08/2024,39.9,--,-0.1(-0.25 %),203,0.01,0,0,37.3,39.9,37.3
26/08/2024,40,--,-0.2(-0.50 %),205,0.01,0,0,37.3,40,37.3
23/08/2024,40.2,--,0(0.00 %),0,0,0,0,40.2,40.2,40.2
22/08/2024,40.2,--,-0.4(-0.99 %),"2,300",0.09,0,0,37.3,40.5,37.3
21/08/2024,40.6,--,1.5(3.84 %),401,0.02,0,0,39.1,40.6,39.1
20/08/2024,39.1,--,-0.2(-0.51 %),400,0.02,0,0,39.1,39.1,39.1
19/08/2024,39.3,--,0(0.00 %),12,0,0,0,39.3,39.3,39.3
16/08/2024,39.3,--,0(0.00 %),0,0,0,0,39.3,39.3,39.3
15/08/2024,39.3,--,0(0.00 %),0,0,0,0,39.3,39.3,39.3
14/08/2024,39.3,--,0(0.00 %),0,0,0,0,39.3,39.3,39.3
13/08/2024,39.3,--,0(0.00 %),0,0,0,0,39.3,39.3,39.3
12/08/2024,39.3,--,1.3(3.42 %),"2,200",0.08,0,0,38.2,39.3,38.1
09/08/2024,38,--,0(0.00 %),"1,600",0.06,0,0,38.5,38.8,38
08/08/2024,38,--,-0.6(-1.55 %),"4,405",0.17,0,0,38.5,38.5,38
07/08/2024,38.6,--,-2.2(-5.39 %),500,0.02,0,0,38.5,38.6,38.5
06/08/2024,40.8,--,0.9(2.26 %),"4,100",0.16,0,0,40,40.8,38.3
05/08/2024,39.9,--,-1.1(-2.68 %),"2,010",0.08,0,0,39.2,39.9,38.2
02/08/2024,41,--,0(0.00 %),8,0,0,0,41,41,41
01/08/2024,41,--,1.5(3.80 %),200,0.01,0,0,40.4,41,40.4
31/07/2024,39.5,--,0(0.00 %),502,0.02,0,0,39.5,39.5,39.5
30/07/2024,39.5,--,-0.2(-0.50 %),710,0.03,0,0,39.5,39.5,39.5
29/07/2024,40.2,39.7,0(0.00 %),"2,501",0.1,0,0,40.3,40.3,40.2
26/07/2024,40.2,39.7,-0.2(-0.50 %),200,0.01,0,0,40.2,40.2,40.2
25/07/2024,40.4,39.9,0(0.00 %),"1,000",0.04,0,0,41.8,41.8,40.4
24/07/2024,40.4,39.9,-1.6(-3.81 %),"2,300",0.09,0,0,40,40.4,40
23/07/2024,42,41.48,-0.2(-0.47 %),714,0.03,0,0,39.1,42,39.1
