date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
11/09/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
10/09/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
09/09/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
06/09/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
05/09/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
04/09/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
30/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
29/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
28/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
27/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
26/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
23/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
22/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
21/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
20/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
19/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
16/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
15/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
14/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,975",0.53%,bbs
13/08/2024,11(4.76 %),0,0.0,0,0,0,0.0,"2,907,775",0.54%,bbs
12/08/2024,10.5(2.94 %),-200,-0.0,0,0,200,0.0,"2,907,775",0.54%,bbs
09/08/2024,10.2(0.99 %),0,0.0,0,0,0,0.0,"2,907,775",0.54%,bbs
08/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,775",0.54%,bbs
07/08/2024,11(0.00 %),100,0.0,100,0,0,0.0,"2,907,775",0.54%,bbs
06/08/2024,11(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
05/08/2024,11(1.85 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
02/08/2024,10.8(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
01/08/2024,10.8(-1.82 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
31/07/2024,11(-2.65 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
30/07/2024,11.3(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
29/07/2024,11.3(9.71 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
24/07/2024,10.3(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
23/07/2024,10.3(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
22/07/2024,10.3(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
19/07/2024,10.3(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
18/07/2024,10.3(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
17/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
16/07/2024,0(0.00 %),0,0.0,0,0,0,0.0,"2,907,875",0.54%,bbs
