date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,8.3,--,0.5(6.41 %),112,0,0,0,8.3,8.3,8.3
11/09/2024,7,--,-0.8(-10.26 %),10,0,0,0,7.8,7.8,7.8
10/09/2024,7,--,-0.8(-10.26 %),10,0,0,0,7.8,7.8,7.8
09/09/2024,7,--,-0.9(-11.39 %),"3,056",0.02,0,0,7.9,7.9,7
06/09/2024,7.9,--,0(0.00 %),0,0,0,0,7.9,7.9,7.9
05/09/2024,7.9,--,0(0.00 %),1,0,0,0,7.9,7.9,7.9
04/09/2024,7.9,--,-0.6(-7.06 %),502,0,0,0,7.9,7.9,7.9
30/08/2024,8.5,--,0.4(4.94 %),"2,036",0.02,0,0,8.5,8.5,8.5
29/08/2024,8.1,--,-0.8(-8.99 %),950,0.01,0,0,8,8.1,8
28/08/2024,8.9,--,0(0.00 %),58,0,0,0,8.9,8.9,8.9
27/08/2024,8.9,--,0(0.00 %),78,0,0,0,8.9,8.9,8.9
26/08/2024,8.9,--,0(0.00 %),0,0,0,0,8.9,8.9,8.9
23/08/2024,8.9,--,0(0.00 %),22,0,0,0,8.9,8.9,8.9
22/08/2024,8.9,--,0.9(11.25 %),110,0,0,0,8.9,8.9,8.9
21/08/2024,8,--,0(0.00 %),84,0,0,0,8,8,8
20/08/2024,8,--,0.4(5.26 %),508,0,0,0,8,8,8
19/08/2024,7.6,--,-1(-11.63 %),101,0,0,0,7.6,7.6,7.6
16/08/2024,8.6,--,0(0.00 %),904,0.01,0,0,8.5,8.6,8.5
15/08/2024,8.9,--,0.3(3.49 %),31,0,0,0,8.6,8.6,8.6
14/08/2024,8.9,--,0.7(8.54 %),215,0,0,0,8.2,8.9,8.2
13/08/2024,8.2,--,0(0.00 %),5,0,0,0,8.2,8.2,8.2
12/08/2024,8.2,--,0(0.00 %),100,0,0,0,8.2,8.2,8.2
09/08/2024,8.2,--,0(0.00 %),9,0,0,0,8.2,8.2,8.2
08/08/2024,8.2,--,-1.4(-14.58 %),"1,048",0.01,0,0,8.2,8.2,8.2
07/08/2024,9.6,--,1.1(12.94 %),146,0,0,0,9.6,9.6,9.6
06/08/2024,8.5,--,-0.1(-1.16 %),233,0,0,0,8.5,8.5,8.5
05/08/2024,8.6,--,0.9(11.69 %),104,0,0,0,8.6,8.6,8.6
02/08/2024,7.7,--,0.1(1.32 %),802,0.01,0,0,7.7,7.7,7.7
01/08/2024,7.6,--,0(0.00 %),1,0,0,0,7.6,7.6,7.6
31/07/2024,7.6,--,0(0.00 %),1,0,0,0,7.6,7.6,7.6
30/07/2024,7.6,--,-0.5(-6.17 %),120,0,0,0,7.6,7.6,7.6
29/07/2024,8.1,--,0(0.00 %),3,0,0,0,8.1,8.1,8.1
26/07/2024,8.1,--,0(0.00 %),0,0,0,0,8.1,8.1,8.1
25/07/2024,8.1,--,0.5(6.58 %),500,0,0,0,8.1,8.1,8.1
24/07/2024,7.6,--,0(0.00 %),0,0,0,0,7.6,7.6,7.6
23/07/2024,7.6,--,0(0.00 %),0,0,0,0,7.6,7.6,7.6
22/07/2024,7.6,--,-1.1(-12.64 %),100,0,0,0,7.6,7.6,7.6
19/07/2024,8.9,--,-0.9(-9.18 %),"4,500",0.04,0,0,8.4,8.9,8.4
18/07/2024,9.8,--,1.1(12.64 %),110,0,0,0,9.8,9.8,9.8
17/07/2024,8.7,--,-0.5(-5.43 %),"2,000",0.02,0,0,8.7,8.7,8.7
16/07/2024,8.9,--,0(0.00 %),305,0,0,0,9.8,9.8,8.9
15/07/2024,8.9,--,0.9(11.25 %),102,0,0,0,8.9,8.9,8.9
12/07/2024,8,--,-0.9(-10.11 %),"3,710",0.03,0,0,8.1,8.1,8
11/07/2024,8.5,--,0.3(3.66 %),238,0,0,0,9.2,9.2,8.5
10/07/2024,8.2,--,-1(-10.87 %),"2,000",0.02,0,0,8.1,8.2,8.1
09/07/2024,9,--,0.6(7.14 %),298,0,0,0,9.4,9.4,9
08/07/2024,9.7,--,1.3(15.48 %),21,0,0,0,8.4,8.4,8.4
05/07/2024,9.7,--,0.6(6.59 %),"6,095",0.05,0,0,7.8,9.7,7.8
04/07/2024,9.1,--,0(0.00 %),0,0,0,0,9.1,9.1,9.1
03/07/2024,8.2,--,-1.2(-12.77 %),"1,400",0.01,0,0,9.3,9.4,8.2
02/07/2024,9.4,--,0(0.00 %),0,0,0,0,9.4,9.4,9.4
01/07/2024,9.4,--,0(0.00 %),20,0,0,0,9.4,9.4,9.4
28/06/2024,9.4,--,0(0.00 %),0,0,0,0,9.4,9.4,9.4
27/06/2024,9.4,--,0(0.00 %),0,0,0,0,9.4,9.4,9.4
26/06/2024,9.4,--,0(0.00 %),"1,100",0.01,0,0,9.4,9.4,9.4
25/06/2024,9.5,--,0.1(1.06 %),21,0,0,0,9.4,9.4,9.4
24/06/2024,9.5,--,1(11.76 %),"6,911",0.06,0,0,9,9.5,9
21/06/2024,8.5,--,0.1(1.19 %),320,0,0,0,8.5,8.5,8.5
20/06/2024,8.5,--,-1.2(-12.37 %),"3,700",0.03,0,0,8.4,8.5,8.4
19/06/2024,9.7,--,0(0.00 %),0,0,0,0,9.7,9.7,9.7
18/06/2024,9.7,--,0(0.00 %),14,0,0,0,9.7,9.7,9.7
17/06/2024,9.7,--,0(0.00 %),800,0.01,0,0,9.7,9.7,9.7
14/06/2024,9.8,--,0.3(3.16 %),"7,957",0.08,0,0,9.5,9.8,9.4
13/06/2024,9.5,--,0.2(2.15 %),218,0,0,0,9.5,9.5,9.5
12/06/2024,9.6,--,0.3(3.23 %),1,0,0,0,9.3,9.3,9.3
11/06/2024,9.6,--,1(11.63 %),300,0,0,0,8.6,9.6,8.6
10/06/2024,8.6,--,0(0.00 %),"4,400",0.04,0,0,8.9,8.9,8.5
07/06/2024,8.9,--,0.4(4.71 %),"5,301",0.05,0,0,8.5,8.9,8.5
06/06/2024,8.5,--,0(0.00 %),100,0,0,0,8.5,8.5,8.5
05/06/2024,8.5,--,0.5(6.25 %),"3,200",0.03,0,0,8,8.5,8
04/06/2024,8,--,-0.5(-5.88 %),"2,500",0.02,0,0,8,8,8
03/06/2024,8.5,--,0(0.00 %),0,0,0,0,8.5,8.5,8.5
31/05/2024,8.5,--,-0.3(-3.41 %),"1,700",0.01,0,0,8.5,8.5,8.5
