date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,7.9,--,0(0.00 %),"33,434",0.26,0,0,7.9,7.9,7.8
11/09/2024,7.9,--,-0.1(-1.25 %),"65,645",0.52,0,0,8,8,7.8
10/09/2024,8,--,0(0.00 %),"66,606",0.53,0,0,8,8,7.9
09/09/2024,8,--,0.1(1.27 %),"140,099",1.12,0,0,8,8.1,7.9
06/09/2024,7.9,--,0(0.00 %),"54,107",0.43,0,0,7.9,8,7.9
05/09/2024,7.9,--,-0.1(-1.25 %),"89,116",0.71,0,0,8,8.1,7.9
04/09/2024,8,--,0(0.00 %),"76,570",0.61,0,0,8,8,7.9
30/08/2024,8,--,-0.1(-1.23 %),"62,225",0.5,0,0,8.1,8.1,8
29/08/2024,8.1,--,0(0.00 %),"46,660",0.38,0,0,8.1,8.2,8
28/08/2024,8.1,--,0(0.00 %),"81,851",0.67,0,0,8.1,8.2,8.1
27/08/2024,8.1,--,0(0.00 %),"34,743",0.28,0,0,8.1,8.1,8
26/08/2024,8.1,--,0(0.00 %),"68,993",0.56,0,0,8.1,8.2,8
23/08/2024,8.1,--,0(0.00 %),"42,224",0.34,0,0,8.1,8.1,8
22/08/2024,8.1,--,-0.1(-1.22 %),"51,414",0.42,0,0,8.2,8.2,8.1
21/08/2024,8.2,--,0(0.00 %),"79,103",0.65,0,0,8.2,8.4,8.1
20/08/2024,8.2,--,0(0.00 %),"63,583",0.52,0,0,8.1,8.2,8.1
19/08/2024,8.2,--,0(0.00 %),"108,486",0.89,0,0,8.2,8.2,8.1
16/08/2024,8.2,--,0.3(3.80 %),"168,432",1.36,0,0,7.9,8.2,7.9
15/08/2024,7.9,--,0(0.00 %),"137,476",1.08,0,0,7.9,7.9,7.8
14/08/2024,7.9,--,0.1(1.28 %),"121,935",0.96,0,0,7.8,8,7.8
13/08/2024,7.8,--,0(0.00 %),"113,449",0.89,0,0,7.8,7.9,7.8
12/08/2024,7.8,--,-0.1(-1.27 %),"58,297",0.45,0,0,7.8,7.9,7.7
09/08/2024,7.9,--,0.1(1.28 %),"34,478",0.27,0,0,7.8,8,7.8
08/08/2024,7.8,--,0.1(1.30 %),"143,524",1.12,0,0,7.7,8,7.6
07/08/2024,7.7,--,0.1(1.32 %),"48,033",0.37,0,0,7.7,7.7,7.5
06/08/2024,7.6,--,0.1(1.33 %),"103,416",0.78,0,0,7.5,7.6,7.3
05/08/2024,7.5,--,-0.4(-5.06 %),"234,559",1.78,0,0,7.9,7.9,7.4
02/08/2024,7.9,--,0(0.00 %),"139,108",1.09,0,0,7.8,7.9,7.8
01/08/2024,7.9,--,-0.2(-2.47 %),"367,546",2.92,0,0,8.2,8.3,7.7
31/07/2024,8.1,--,0.1(1.25 %),"203,119",1.64,0,0,8,8.2,8
30/07/2024,8,--,0(0.00 %),"188,774",1.51,0,0,8,8.1,7.9
29/07/2024,8,--,0(0.00 %),"144,929",1.16,0,0,7.9,8.1,7.9
26/07/2024,8,--,0(0.00 %),"56,401",0.45,0,0,8.1,8.1,8
25/07/2024,8,--,0(0.00 %),"221,527",1.77,0,0,8.1,8.1,7.9
24/07/2024,8,--,-0.1(-1.23 %),"310,191",2.48,0,0,8.1,8.3,7.9
23/07/2024,8.1,--,-0.1(-1.22 %),"165,319",1.35,0,0,8.3,8.4,8.1
22/07/2024,8.2,--,-0.3(-3.53 %),"288,285",2.38,0,0,8.5,8.5,8
19/07/2024,8.5,--,-0.5(-5.56 %),"615,194",5.29,0,0,8.9,8.9,8.3
18/07/2024,9,--,0(0.00 %),"311,837",2.75,0,0,9.1,9.1,8.7
17/07/2024,9,--,-0.2(-2.17 %),"458,462",4.17,0,0,9.3,9.3,8.7
16/07/2024,9.2,--,-0.2(-2.13 %),"699,797",6.63,0,0,9.4,9.7,9.2
15/07/2024,9.4,--,0(0.00 %),"161,395",1.51,0,0,9.5,9.5,9.2
12/07/2024,9.4,--,0.4(4.44 %),"611,526",5.71,0,0,9,9.6,8.9
