date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,7.9 ( 0 %),108,"202,300","1,873.15",85,"169,100","1,989","33,200",bcc
11/09/2024,7.9 ( -1.25 %),123,"231,800","1,884.55",106,"221,600","2,091","10,200",bcc
10/09/2024,8 ( 0 %),110,"107,300",975.45,108,"198,500","1,838","-91,200",bcc
09/09/2024,8 ( 1.27 %),154,"205,000","1,331.17",146,"299,300","2,050","-94,300",bcc
06/09/2024,7.9 ( 0 %),90,"194,200","2,157.78",95,"157,200","1,655","37,000",bcc
05/09/2024,7.9 ( -1.25 %),132,"226,900","1,718.94",151,"281,100","1,862","-54,200",bcc
04/09/2024,8 ( 0 %),144,"262,500","1,822.92",91,"182,100","2,001","80,400",bcc
30/08/2024,8 ( -1.23 %),128,"213,400","1,667.19",135,"170,900","1,266","42,500",bcc
29/08/2024,8.1 ( 0 %),102,"208,000","2,039.22",139,"248,900","1,791","-40,900",bcc
28/08/2024,8.1 ( 0 %),122,"370,800","3,039.34",181,"297,900","1,646","72,900",bcc
27/08/2024,8.1 ( 0 %),122,"160,800","1,318.03",119,"230,500","1,937","-69,700",bcc
26/08/2024,8.1 ( 0 %),161,"251,000","1,559.01",167,"275,300","1,649","-24,300",bcc
23/08/2024,8.1 ( 0 %),152,"166,500","1,095.39",125,"209,400","1,675","-42,900",bcc
22/08/2024,8.1 ( -1.22 %),126,"184,800","1,466.67",153,"279,700","1,828","-94,900",bcc
21/08/2024,8.2 ( 0 %),136,"223,900","1,646.32",211,"427,000","2,024","-203,100",bcc
20/08/2024,8.2 ( 0 %),152,"155,500","1,023.03",153,"239,700","1,567","-84,200",bcc
19/08/2024,8.2 ( 0 %),141,"265,000","1,879.43",167,"297,600","1,782","-32,600",bcc
16/08/2024,8.2 ( 3.8 %),182,"317,200","1,742.86",198,"317,700","1,605",-500,bcc
15/08/2024,7.9 ( 0 %),108,"205,500","1,902.78",100,"288,300","2,883","-82,800",bcc
14/08/2024,7.9 ( 1.28 %),107,"230,700","2,156.07",148,"286,100","1,933","-55,400",bcc
13/08/2024,7.8 ( 0 %),102,"209,300","2,051.96",146,"259,600","1,778","-50,300",bcc
12/08/2024,7.8 ( -1.27 %),140,"140,800","1,005.71",123,"278,600","2,265","-137,800",bcc
09/08/2024,7.9 ( 1.28 %),102,"124,600","1,221.57",126,"167,100","1,326","-42,500",bcc
08/08/2024,7.8 ( 1.3 %),206,"299,400","1,453.4",146,"277,500","1,901","21,900",bcc
07/08/2024,7.7 ( 1.32 %),165,"195,300","1,183.64",91,"176,300","1,937","19,000",bcc
06/08/2024,7.6 ( 1.33 %),204,"278,200","1,363.73",107,"229,800","2,148","48,400",bcc
05/08/2024,7.5 ( -5.06 %),317,"329,000","1,037.85",178,"371,500","2,087","-42,500",bcc
