date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,7.9(0.00 %),0,0.0,0,0.0,0,0.0,"59,228,636",0.93%,bcc
11/09/2024,7.9(-1.25 %),"1,300",0.01,"1,300",0.01,0,0.0,"59,226,236",0.93%,bcc
10/09/2024,8(0.00 %),"-2,400",-0.02,0,0.0,"2,400",0.02,"59,226,636",0.93%,bcc
09/09/2024,8(1.27 %),0,0.0,0,0.0,0,0.0,"59,226,636",0.93%,bcc
06/09/2024,7.9(0.00 %),"2,000",0.02,"2,000",0.02,0,0.0,"59,225,636",0.93%,bcc
05/09/2024,7.9(-1.25 %),"-1,000",-0.01,300,0.0,"1,300",0.01,"59,227,636",0.93%,bcc
04/09/2024,8(0.00 %),"2,200",0.02,"2,200",0.02,0,0.0,"59,227,736",0.93%,bcc
30/08/2024,8(-1.23 %),-200,-0.0,0,0.0,200,0.0,"59,228,136",0.93%,bcc
29/08/2024,8.1(0.00 %),"-1,800",-0.01,0,0.0,"1,800",0.01,"59,226,536",0.93%,bcc
28/08/2024,8.1(0.00 %),"-1,600",-0.01,0,0.0,"1,600",0.01,"59,226,436",0.93%,bcc
27/08/2024,8.1(0.00 %),-100,-0.0,0,0.0,100,0.0,"59,224,336",0.93%,bcc
26/08/2024,8.1(0.00 %),"-2,100",-0.02,0,0.0,"2,100",0.02,"59,224,236",0.93%,bcc
23/08/2024,8.1(0.00 %),-100,-0.0,0,0.0,100,0.0,"59,224,236",0.93%,bcc
22/08/2024,8.1(-1.22 %),0,0.0,0,0.0,0,0.0,"59,216,336",0.94%,bcc
21/08/2024,8.2(0.00 %),"-7,900",-0.07,0,0.0,"7,900",0.07,"59,216,336",0.94%,bcc
20/08/2024,8.2(0.00 %),"7,500",0.06,"7,500",0.06,0,0.0,"59,223,336",0.93%,bcc
19/08/2024,8.2(0.00 %),"46,000",0.38,"46,500",0.38,500,0.0,"59,223,336",0.93%,bcc
16/08/2024,8.2(3.80 %),"16,600",0.13,"16,600",0.13,0,0.0,"59,269,836",0.9%,bcc
15/08/2024,7.9(0.00 %),"63,100",0.5,"63,100",0.5,0,0.0,"59,286,436",0.88%,bcc
14/08/2024,7.9(1.28 %),"86,600",0.68,"86,600",0.68,0,0.0,"59,335,336",0.84%,bcc
13/08/2024,7.8(0.00 %),"41,500",0.32,"55,700",0.43,"14,200",0.11,"59,411,936",0.78%,bcc
12/08/2024,7.8(-1.27 %),"-10,000",-0.08,0,0.0,"10,000",0.08,"59,467,636",0.73%,bcc
09/08/2024,7.9(1.28 %),0,0.0,0,0.0,0,0.0,"59,465,836",0.74%,bcc
08/08/2024,7.8(1.30 %),"7,100",0.05,"8,900",0.07,"1,800",0.01,"59,465,836",0.74%,bcc
07/08/2024,7.7(1.32 %),"1,300",0.01,"1,300",0.01,0,0.0,"59,471,136",0.73%,bcc
06/08/2024,7.6(1.33 %),"-3,500",-0.03,100,0.0,"3,600",0.03,"59,467,136",0.74%,bcc
05/08/2024,7.5(-5.06 %),"-3,900",-0.03,"1,400",0.01,"5,300",0.04,"59,467,236",0.73%,bcc
02/08/2024,7.9(0.00 %),100,0.0,100,0.0,0,0.0,"59,459,836",0.74%,bcc
01/08/2024,7.9(-2.47 %),0,-0.0,"8,800",0.07,"8,800",0.07,"59,459,936",0.74%,bcc
31/07/2024,8.1(1.25 %),"5,300",0.04,"5,300",0.04,0,0.0,"59,463,436",0.74%,bcc
30/07/2024,8(0.00 %),"-5,300",-0.04,0,0.0,"5,300",0.04,"59,468,736",0.73%,bcc
29/07/2024,8(0.00 %),"1,200",0.01,"1,200",0.01,0,0.0,"59,468,736",0.73%,bcc
24/07/2024,8(-1.23 %),"-2,200",-0.02,100,0.0,"2,300",0.02,"59,469,636",0.73%,bcc
23/07/2024,8.1(-1.22 %),300,0.0,300,0.0,0,0.0,"59,469,736",0.73%,bcc
22/07/2024,8.2(-3.53 %),"1,500",0.01,"1,500",0.01,0,0.0,"59,469,936",0.73%,bcc
19/07/2024,8.5(-5.56 %),700,0.01,800,0.01,100,0.0,"59,471,436",0.73%,bcc
18/07/2024,9(0.00 %),"9,500",0.08,"9,500",0.08,0,0.0,"59,462,836",0.74%,bcc
