date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,5.74,--,0(0.00 %),"5,900",0.03,0,0,5.7,5.74,5.6
11/09/2024,5.74,--,0(0.00 %),"6,200",0.04,0,0,5.76,5.76,5.65
10/09/2024,5.74,--,-0.01(-0.17 %),"8,700",0.05,0,0,5.75,5.75,5.7
09/09/2024,5.75,--,-0.01(-0.17 %),"36,300",0.21,0,0,5.76,5.76,5.7
06/09/2024,5.76,--,0.05(0.88 %),"10,200",0.06,0,0,5.7,5.76,5.7
05/09/2024,5.71,--,-0.08(-1.38 %),"5,600",0.03,0,0,5.77,5.77,5.7
04/09/2024,5.79,--,-0.04(-0.69 %),"17,000",0.1,0,0,5.83,5.83,5.6
30/08/2024,5.83,--,0.03(0.52 %),"2,400",0.01,0,0,5.85,5.85,5.72
29/08/2024,5.8,--,0.04(0.69 %),"1,029,000",5.9,0,0,5.76,5.8,5.67
28/08/2024,5.76,--,0.02(0.35 %),"11,000",0.06,0,0,5.74,5.79,5.74
27/08/2024,5.74,--,-0.04(-0.69 %),"7,900",0.05,0,0,5.78,5.78,5.73
26/08/2024,5.78,--,0.02(0.35 %),"23,800",0.14,0,0,5.76,5.8,5.7
23/08/2024,5.76,--,0.02(0.35 %),"46,700",0.27,0,0,5.8,5.81,5.7
22/08/2024,5.74,--,-0.06(-1.03 %),"50,700",0.29,0,0,5.7,5.8,5.7
21/08/2024,5.8,--,0.05(0.87 %),"56,900",0.33,0,0,5.9,5.9,5.7
20/08/2024,5.75,--,0.05(0.88 %),"36,700",0.21,0,0,5.61,5.78,5.61
19/08/2024,5.7,--,-0.03(-0.52 %),"9,200",0.05,0,0,5.73,5.74,5.68
16/08/2024,5.73,--,0.07(1.24 %),"14,000",0.08,0,0,5.66,5.78,5.66
15/08/2024,5.66,--,-0.04(-0.70 %),"8,600",0.05,0,0,5.6,5.8,5.6
14/08/2024,5.7,--,0(0.00 %),"59,900",0.34,0,0,5.7,5.79,5.7
13/08/2024,5.7,--,0.07(1.24 %),"1,300",0.01,0,0,5.63,5.8,5.63
12/08/2024,5.63,--,-0.11(-1.92 %),"4,900",0.03,0,0,5.74,5.74,5.61
09/08/2024,5.74,--,0.04(0.70 %),"34,000",0.19,0,0,5.87,5.87,5.6
08/08/2024,5.7,--,-0.1(-1.72 %),"6,500",0.04,0,0,5.7,5.78,5.7
07/08/2024,5.8,--,0.02(0.35 %),"13,000",0.07,0,0,5.78,5.85,5.6
06/08/2024,5.78,--,0.14(2.48 %),"15,200",0.09,0,0,5.55,6.01,5.55
05/08/2024,5.64,--,-0.08(-1.40 %),"57,700",0.33,0,0,5.7,5.7,5.6
02/08/2024,5.72,--,0.01(0.18 %),"12,600",0.07,0,0,5.71,5.8,5.52
01/08/2024,5.71,--,-0.2(-3.38 %),"50,000",0.29,0,0,6.04,6.04,5.65
31/07/2024,5.91,--,0.04(0.68 %),"65,800",0.38,0,0,5.81,5.96,5.8
30/07/2024,5.87,--,-0.03(-0.51 %),"21,200",0.12,0,0,5.9,5.9,5.84
29/07/2024,5.9,--,-0.15(-2.48 %),"34,900",0.21,0,0,6,6,5.83
26/07/2024,6.05,--,0.26(4.49 %),"96,300",0.58,0,0,5.79,6.19,5.79
25/07/2024,5.79,--,0.11(1.94 %),"26,000",0.15,0,0,5.68,5.8,5.64
24/07/2024,5.68,--,-0.1(-1.73 %),"46,900",0.27,0,0,5.78,5.83,5.6
23/07/2024,5.78,--,-0.09(-1.53 %),"73,300",0.43,0,0,5.87,5.87,5.78
22/07/2024,5.87,--,0(0.00 %),"33,900",0.2,0,0,5.87,5.87,5.77
19/07/2024,5.87,--,-0.02(-0.34 %),"85,300",0.5,0,0,5.87,6.01,5.83
18/07/2024,5.89,--,-0.09(-1.51 %),"136,800",0.81,0,0,6,6,5.83
17/07/2024,5.98,--,-0.12(-1.97 %),"216,900",1.31,0,0,6.1,6.1,5.93
16/07/2024,6.1,--,0.02(0.33 %),"102,900",0.63,0,0,6.03,6.17,6.03
