date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,5.74 ( 0 %),45,"36,700",815.56,41,"44,900","1,095","-8,200"
11/09/2024,5.74 ( 0 %),34,"41,700","1,226.47",40,"45,900","1,148","-4,200"
10/09/2024,5.74 ( -0.17 %),38,"42,600","1,121.05",32,"28,700",897,"13,900"
09/09/2024,5.75 ( -0.17 %),38,"82,000","2,157.89",26,"86,900","3,342","-4,900"
06/09/2024,5.76 ( 0.88 %),35,"53,800","1,537.14",36,"33,300",925,"20,500"
05/09/2024,5.71 ( -1.38 %),31,"53,100","1,712.9",36,"35,500",986,"17,600"
04/09/2024,5.79 ( -0.69 %),64,"113,900","1,779.69",64,"101,400","1,584","12,500"
30/08/2024,5.83 ( 0.52 %),29,"26,700",920.69,47,"40,300",857,"-13,600"
29/08/2024,5.8 ( 0.69 %),47,"1,069,400","22,753.19",45,"1,052,600","23,391","16,800"
28/08/2024,5.76 ( 0.35 %),32,"60,500","1,890.62",50,"35,500",710,"25,000"
27/08/2024,5.74 ( -0.69 %),34,"78,900","2,320.59",33,"69,000","2,091","9,900"
26/08/2024,5.78 ( 0.35 %),47,"120,800","2,570.21",51,"128,600","2,522","-7,800"
23/08/2024,5.76 ( 0.35 %),40,"113,200","2,830",44,"102,700","2,334","10,500"
22/08/2024,5.74 ( -1.03 %),43,"126,300","2,937.21",52,"117,000","2,250","9,300"
21/08/2024,5.8 ( 0.87 %),38,"134,900","3,550",90,"166,300","1,848","-31,400"
20/08/2024,5.75 ( 0.88 %),112,"240,800","2,150",73,"127,200","1,742","113,600"
19/08/2024,5.7 ( -0.52 %),45,"79,900","1,775.56",50,"98,400","1,968","-18,500"
16/08/2024,5.73 ( 1.24 %),66,"66,000","1,000",77,"67,100",871,"-1,100"
15/08/2024,5.66 ( -0.7 %),60,"109,500","1,825",44,"55,100","1,252","54,400"
14/08/2024,5.7 ( 0 %),43,"154,500","3,593.02",74,"116,400","1,573","38,100"
13/08/2024,5.7 ( 1.24 %),35,"133,700","3,820",62,"57,500",927,"76,200"
12/08/2024,5.63 ( -1.92 %),64,"108,000","1,687.5",38,"74,800","1,968","33,200"
08/08/2024,5.7 ( -1.72 %),29,"43,400","1,496.55",58,"129,700","2,236","-86,300"
07/08/2024,5.8 ( 0.35 %),54,"90,800","1,681.48",73,"140,000","1,918","-49,200"
