date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,6.35 ( 0.16 %),"2,361","8,111,900","3,435.79","1,182","8,009,800","6,776","102,100"
11/09/2024,6.34 ( -1.09 %),"2,964","9,102,700","3,071.09","1,444","7,965,600","5,516","1,137,100"
10/09/2024,6.41 ( -0.16 %),"2,462","7,412,600","3,010.8","1,624","8,704,200","5,360","-1,291,600"
09/09/2024,6.42 ( -1.83 %),"2,895","6,224,200","2,149.98","1,362","7,695,400","5,650","-1,471,200"
06/09/2024,6.54 ( -0.91 %),"2,609","6,695,000","2,566.12","1,394","10,120,300","7,260","-3,425,300"
05/09/2024,6.6 ( -0.15 %),"2,688","8,383,800","3,118.97","2,027","8,907,000","4,394","-523,200"
04/09/2024,6.61 ( -0.75 %),"3,134","8,722,400","2,783.15","1,228","7,318,600","5,960","1,403,800"
30/08/2024,6.66 ( -0.15 %),"2,041","5,644,000","2,765.31","1,442","8,239,800","5,714","-2,595,800"
29/08/2024,6.67 ( -1.04 %),"2,645","7,032,600","2,658.83","1,438","10,168,400","7,071","-3,135,800"
28/08/2024,6.74 ( -0.74 %),"2,987","9,075,500","3,038.33","1,858","10,379,500","5,586","-1,304,000"
27/08/2024,6.79 ( -0.59 %),"2,867","9,179,200","3,201.67","1,913","10,280,700","5,374","-1,101,500"
26/08/2024,6.83 ( 1.34 %),"3,162","15,713,800","4,969.58","4,346","19,155,500","4,408","-3,441,700"
23/08/2024,6.74 ( -0.3 %),"3,224","11,229,900","3,483.22","2,099","11,566,900","5,511","-337,000"
22/08/2024,6.76 ( -0.73 %),"3,214","10,390,600","3,232.92","1,705","10,764,500","6,313","-373,900"
21/08/2024,6.81 ( -0.87 %),"3,032","10,870,700","3,585.32","1,870","11,354,400","6,072","-483,700"
20/08/2024,6.87 ( 2.08 %),"5,134","24,742,400","4,819.32","3,565","19,633,700","5,507","5,108,700"
19/08/2024,6.73 ( 0.6 %),"2,948","16,545,400","5,612.42","3,057","15,053,600","4,924","1,491,800"
16/08/2024,6.69 ( 6.53 %),"3,838","26,052,000","6,787.91","5,204","23,533,600","4,522","2,518,400"
15/08/2024,6.28 ( -1.72 %),"4,242","12,984,800","3,061.01","1,832","11,510,800","6,283","1,474,000"
