date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,11.3,--,0(0.00 %),0,0.0,0,0,11.3,11.3,11.3,bcp
11/09/2024,11.3,--,0(0.00 %),0,0.0,0,0,11.3,11.3,11.3,bcp
10/09/2024,11.3,--,0(0.00 %),0,0.0,0,0,11.3,11.3,11.3,bcp
09/09/2024,11.3,--,0(0.00 %),0,0.0,0,0,11.3,11.3,11.3,bcp
06/09/2024,11.3,--,0(0.00 %),0,0.0,0,0,11.3,11.3,11.3,bcp
05/09/2024,11.3,--,0(0.00 %),0,0.0,0,0,11.3,11.3,11.3,bcp
04/09/2024,11.3,--,0(0.00 %),6,0.0,0,0,11.3,11.3,11.3,bcp
30/08/2024,11.3,--,0(0.00 %),0,0.0,0,0,11.3,11.3,11.3,bcp
29/08/2024,11.3,--,0(0.00 %),10,0.0,0,0,11.3,11.3,11.3,bcp
28/08/2024,11.3,--,0(0.00 %),0,0.0,0,0,11.3,11.3,11.3,bcp
27/08/2024,11.3,--,0.1(0.89 %),100,0.0,0,0,11.3,11.3,11.3,bcp
26/08/2024,11.2,--,0(0.00 %),0,0.0,0,0,11.2,11.2,11.2,bcp
23/08/2024,11.2,--,0.2(1.82 %),100,0.0,0,0,11.2,11.2,11.2,bcp
22/08/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
21/08/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
20/08/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
19/08/2024,11.0,--,0(0.00 %),"1,000",0.01,0,0,11.0,11.0,11.0,bcp
16/08/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
15/08/2024,11.0,--,0(0.00 %),"1,000",0.01,0,0,11.0,11.0,11.0,bcp
14/08/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
13/08/2024,11.0,--,-0.2(-1.79 %),"1,000",0.01,0,0,11.0,11.0,11.0,bcp
12/08/2024,11.2,--,0(0.00 %),0,0.0,0,0,11.2,11.2,11.2,bcp
09/08/2024,11.2,--,0(0.00 %),0,0.0,0,0,11.2,11.2,11.2,bcp
08/08/2024,11.2,--,0(0.00 %),0,0.0,0,0,11.2,11.2,11.2,bcp
07/08/2024,11.2,--,0(0.00 %),0,0.0,0,0,11.2,11.2,11.2,bcp
06/08/2024,11.2,--,0.4(3.70 %),100,0.0,0,0,11.2,11.2,11.2,bcp
05/08/2024,10.8,--,0(0.00 %),1,0.0,0,0,10.8,10.8,10.8,bcp
02/08/2024,10.8,--,0(0.00 %),0,0.0,0,0,10.8,10.8,10.8,bcp
01/08/2024,10.8,--,0(0.00 %),4,0.0,0,0,10.8,10.8,10.8,bcp
31/07/2024,10.8,--,-0.2(-1.82 %),"1,200",0.01,0,0,10.8,10.8,10.8,bcp
30/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
29/07/2024,11.0,--,0(0.00 %),5,0.0,0,0,11.0,11.0,11.0,bcp
26/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
25/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
24/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
23/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
22/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
19/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
18/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
17/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
16/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
15/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
12/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
11/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
10/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
09/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
08/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
05/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
04/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
03/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
02/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
01/07/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
28/06/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
27/06/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
26/06/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
25/06/2024,11.0,--,0.8(7.84 %),100,0.0,0,0,11.0,11.0,11.0,bcp
24/06/2024,10.2,--,-0.2(-1.92 %),600,0.01,0,0,10.2,10.2,10.2,bcp
21/06/2024,10.4,--,-0.3(-2.80 %),"1,600",0.02,0,0,10.7,10.7,10.4,bcp
20/06/2024,10.7,--,-0.3(-2.73 %),"1,400",0.02,0,0,11.0,11.0,10.7,bcp
19/06/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
18/06/2024,11.0,--,0(0.00 %),1,0.0,0,0,11.0,11.0,11.0,bcp
17/06/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
14/06/2024,11.0,--,0(0.00 %),"1,000",0.01,0,0,11.0,11.0,11.0,bcp
13/06/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
12/06/2024,11.0,--,0(0.00 %),0,0.0,0,0,11.0,11.0,11.0,bcp
11/06/2024,11.0,--,1(10.00 %),106,0.0,0,0,11.0,11.0,11.0,bcp
10/06/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
07/06/2024,10.0,--,-0.6(-5.66 %),100,0.0,0,0,10.0,10.0,10.0,bcp
06/06/2024,10.6,--,0(0.00 %),0,0.0,0,0,10.6,10.6,10.6,bcp
05/06/2024,10.1,--,0.2(2.02 %),"4,600",0.05,0,0,11.0,11.3,10.1,bcp
04/06/2024,10.1,--,0.2(2.02 %),"1,102",0.01,0,0,9.9,10.1,9.9,bcp
03/06/2024,9.9,--,-0.4(-3.88 %),"1,000",0.01,0,0,9.9,9.9,9.9,bcp
31/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
30/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
29/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
28/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
27/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
24/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
23/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
22/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
21/05/2024,10.3,--,0(0.00 %),"1,000",0.01,0,0,10.3,10.3,10.3,bcp
20/05/2024,10.3,--,0(0.00 %),"1,100",0.01,0,0,10.3,10.3,10.3,bcp
17/05/2024,10.3,--,0(0.00 %),"2,000",0.02,0,0,10.3,10.3,10.3,bcp
16/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
15/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
14/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
13/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
10/05/2024,10.3,--,0(0.00 %),0,0.0,0,0,10.3,10.3,10.3,bcp
09/05/2024,10.3,--,0.3(3.00 %),"3,000",0.03,0,0,10.3,10.3,10.3,bcp
08/05/2024,10.0,--,0(0.00 %),"4,000",0.04,0,0,10.0,10.0,10.0,bcp
07/05/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
06/05/2024,10.0,--,0(0.00 %),"4,000",0.04,0,0,10.0,10.0,10.0,bcp
03/05/2024,10.0,--,0(0.00 %),"5,000",0.05,0,0,10.0,10.0,10.0,bcp
02/05/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
26/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
25/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
24/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
23/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
22/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
19/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
17/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
16/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
15/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
12/04/2024,10.0,--,0(0.00 %),0,0.0,0,0,10.0,10.0,10.0,bcp
11/04/2024,10.0,--,0.3(3.09 %),500,0.01,0,0,10.0,10.0,10.0,bcp
10/04/2024,9.7,--,0.2(2.11 %),800,0.01,0,0,9.5,9.7,9.5,bcp
09/04/2024,9.6,--,-0.8(-7.69 %),500,0.0,0,0,8.9,9.6,8.9,bcp
08/04/2024,10.4,--,0(0.00 %),0,0.0,0,0,10.4,10.4,10.4,bcp
05/04/2024,10.4,--,0(0.00 %),0,0.0,0,0,10.4,10.4,10.4,bcp
04/04/2024,10.4,--,0(0.00 %),0,0.0,0,0,10.4,10.4,10.4,bcp
03/04/2024,10.4,--,0(0.00 %),0,0.0,0,0,10.4,10.4,10.4,bcp
