date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
11/09/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
10/09/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
09/09/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
06/09/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
05/09/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
04/09/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
30/08/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
29/08/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
28/08/2024,11.3(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
27/08/2024,11.3(0.89 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
26/08/2024,11.2(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
23/08/2024,11.2(1.82 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
22/08/2024,11(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
21/08/2024,11(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
20/08/2024,11(0.00 %),0,0.0,0,0.0,0,0,"2,744,300",3.26%,bcp
19/08/2024,11(0.00 %),"1,000",0.01,"1,000",0.01,0,0,"2,744,300",3.26%,bcp
16/08/2024,11(0.00 %),0,0.0,0,0.0,0,0,"2,745,300",3.25%,bcp
15/08/2024,11(0.00 %),"1,000",0.01,"1,000",0.01,0,0,"2,745,300",3.25%,bcp
14/08/2024,11(0.00 %),0,0.0,0,0.0,0,0,"2,746,300",3.23%,bcp
13/08/2024,11(-1.79 %),"1,000",0.01,"1,000",0.01,0,0,"2,746,300",3.23%,bcp
12/08/2024,11.2(0.00 %),0,0.0,0,0.0,0,0,"2,747,300",3.21%,bcp
09/08/2024,11.2(0.00 %),0,0.0,0,0.0,0,0,"2,747,300",3.21%,bcp
08/08/2024,11.2(0.00 %),0,0.0,0,0.0,0,0,"2,747,300",3.21%,bcp
