date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
11/09/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
10/09/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
09/09/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
06/09/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
05/09/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
04/09/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
30/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
29/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
28/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
27/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
26/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
23/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
22/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
21/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
20/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
19/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
16/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
15/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
14/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
13/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
12/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
09/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
08/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
07/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
06/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
05/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
02/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
01/08/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
31/07/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
30/07/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
29/07/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
26/07/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
25/07/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
24/07/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
23/07/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
22/07/2024,9.3,--,0(0.00 %),0,0,0,0,9.3,9.3,9.3
19/07/2024,9.3,--,-0.8(-7.92 %),100,0,0,0,9.3,9.3,9.3
18/07/2024,10.1,--,0(0.00 %),0,0,0,0,10.1,10.1,10.1
17/07/2024,10.1,--,0(0.00 %),0,0,0,0,10.1,10.1,10.1
16/07/2024,10.1,--,-0.8(-7.34 %),100,0,0,0,10.1,10.1,10.1
15/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
12/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
11/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
10/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
09/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
08/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
05/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
04/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
03/07/2024,10.9,--,0(0.00 %),0,0,0,0,10.9,10.9,10.9
02/07/2024,10.9,--,-0.4(-3.54 %),100,0,0,0,10.9,10.9,10.9
01/07/2024,11.3,--,0(0.00 %),0,0,0,0,11.3,11.3,11.3
28/06/2024,11.3,--,0(0.00 %),0,0,0,0,11.3,11.3,11.3
27/06/2024,11.3,--,0(0.00 %),0,0,0,0,11.3,11.3,11.3
26/06/2024,11.3,--,0(0.00 %),0,0,0,0,11.3,11.3,11.3
25/06/2024,11.3,--,0(0.00 %),0,0,0,0,11.3,11.3,11.3
24/06/2024,11.3,--,0(0.00 %),700,0.01,0,0,12.3,12.4,11.3
21/06/2024,11.3,--,0(0.00 %),0,0,0,0,11.3,11.3,11.3
20/06/2024,11.3,--,0(0.00 %),0,0,0,0,11.3,11.3,11.3
19/06/2024,11.3,--,0(0.00 %),0,0,0,0,11.3,11.3,11.3
18/06/2024,11.3,--,-0.5(-4.24 %),"3,500",0.04,0,0,12.9,12.9,11.3
17/06/2024,11.8,--,1(9.26 %),400,0,0,0,10.5,11.8,10.5
14/06/2024,10.8,--,0(0.00 %),0,0,0,0,10.8,10.8,10.8
13/06/2024,10.8,--,0(0.00 %),0,0,0,0,10.8,10.8,10.8
12/06/2024,10.8,--,0(0.00 %),0,0,0,0,10.8,10.8,10.8
11/06/2024,10.8,--,0(0.00 %),0,0,0,0,10.8,10.8,10.8
10/06/2024,10.8,--,0(0.00 %),0,0,0,0,10.8,10.8,10.8
07/06/2024,10.8,--,0(0.00 %),0,0,0,0,10.8,10.8,10.8
06/06/2024,10.8,--,-1(-8.47 %),400,0,0,0,11,11,10.8
05/06/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
04/06/2024,11.8,--,0(0.00 %),"5,700",0.07,0,0,11.8,11.8,11.8
03/06/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
31/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
30/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
29/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
28/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
27/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
24/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
23/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
22/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
21/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
20/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
17/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
16/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
15/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
14/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
13/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
10/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
09/05/2024,11.8,--,0(0.00 %),0,0,0,0,11.8,11.8,11.8
