date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,35.0,--,-0.6(-1.69 %),"3,150",0.11,0,0.0,35.5,35.5,35.0,bdg
11/09/2024,35.6,--,0(0.00 %),115,0.0,0,0.0,35.6,35.6,35.6,bdg
10/09/2024,35.7,--,0.7(2.00 %),"2,121",0.08,0,0.0,35.8,35.8,35.2,bdg
09/09/2024,35.0,--,0(0.00 %),"3,210",0.11,0,0.0,35.0,35.1,35.0,bdg
06/09/2024,35.0,--,0.1(0.29 %),"1,006",0.04,0,0.0,34.9,35.0,34.9,bdg
05/09/2024,35.0,--,0.1(0.29 %),"4,103",0.14,0,0.0,34.9,35.3,34.9,bdg
04/09/2024,35.0,--,-0.6(-1.69 %),"2,700",0.09,0,0.0,35.0,35.0,34.4,bdg
30/08/2024,35.6,--,1.5(4.40 %),135,0.0,0,0.0,35.6,35.6,35.6,bdg
29/08/2024,35.0,--,-0.2(-0.57 %),"5,447",0.19,0,0.0,34.7,35.0,33.9,bdg
28/08/2024,35.2,--,0(0.00 %),0,0.0,0,0.0,35.2,35.2,35.2,bdg
27/08/2024,35.1,--,0.1(0.29 %),"3,333",0.12,0,0.0,35.5,35.5,35.1,bdg
26/08/2024,35.0,--,0(0.00 %),"2,684",0.09,0,0.0,34.7,35.0,34.7,bdg
23/08/2024,35.0,--,0.2(0.57 %),737,0.03,0,0.0,35.0,35.1,35.0,bdg
22/08/2024,34.9,--,0(0.00 %),"13,136",0.46,0,0.0,35.0,35.4,34.1,bdg
21/08/2024,35.4,--,0.3(0.85 %),"4,240",0.15,0,0.0,35.9,35.9,34.5,bdg
20/08/2024,35.0,--,-0.6(-1.69 %),"20,700",0.73,0,0.0,35.4,35.4,35.0,bdg
19/08/2024,35.5,--,-0.4(-1.11 %),"4,632",0.16,0,0.0,35.8,36.5,35.5,bdg
16/08/2024,36.1,--,0(0.00 %),"4,900",0.18,0,0.0,37.0,37.2,35.5,bdg
15/08/2024,38.2,35.72,-1.1(-2.80 %),"14,905",0.58,0,0.0,39.3,39.4,36.5,bdg
14/08/2024,39.0,36.47,0(0.00 %),"5,645",0.22,0,0.0,39.0,39.5,39.0,bdg
13/08/2024,39.2,36.66,-0.7(-1.75 %),"8,925",0.35,0,0.0,34.5,39.9,34.5,bdg
12/08/2024,40.1,37.5,1.4(3.62 %),"15,405",0.61,0,0.0,39.0,40.5,39.0,bdg
09/08/2024,38.7,36.19,1.5(4.03 %),"4,731",0.18,0,0.0,39.4,39.5,38.2,bdg
08/08/2024,38.0,35.54,1.9(5.26 %),"10,600",0.39,0,0.0,36.2,38.0,36.2,bdg
07/08/2024,36.2,33.85,0.1(0.28 %),"2,100",0.08,0,0.0,36.1,36.2,36.1,bdg
06/08/2024,36.1,33.76,-0.1(-0.28 %),"1,120",0.04,0,0.0,36.4,36.4,36.0,bdg
05/08/2024,36.4,34.04,0(0.00 %),"13,100",0.47,0,0.0,36.4,36.4,35.7,bdg
02/08/2024,36.6,34.23,0.2(0.55 %),"5,800",0.21,0,0.0,36.1,36.6,36.1,bdg
01/08/2024,36.5,34.13,-1.8(-4.70 %),"4,009",0.15,0,0.0,36.0,36.5,36.0,bdg
31/07/2024,37.9,35.44,1.2(3.27 %),"6,646",0.25,0,0.0,38.5,38.5,36.8,bdg
30/07/2024,36.7,34.32,0.1(0.27 %),"2,400",0.09,0,0.0,36.6,36.7,36.6,bdg
29/07/2024,37.0,34.6,1.9(5.41 %),"16,405",0.6,0,0.0,36.0,37.1,36.0,bdg
26/07/2024,35.0,32.73,0(0.00 %),"3,202",0.11,0,0.0,35.2,35.3,35.0,bdg
25/07/2024,34.9,32.64,0(0.00 %),700,0.02,0,0.0,35.1,35.1,34.9,bdg
24/07/2024,35.2,32.92,0(0.00 %),"6,200",0.22,0,0.0,35.0,35.2,34.2,bdg
23/07/2024,35.0,32.73,-0.3(-0.85 %),"17,700",0.62,0,0.0,35.4,35.4,35.0,bdg
22/07/2024,35.4,33.11,-0.3(-0.84 %),"17,727",0.63,0,0.0,35.7,35.7,35.2,bdg
19/07/2024,35.4,33.11,0.1(0.28 %),"5,014",0.18,0,0.0,38.3,38.3,35.3,bdg
18/07/2024,35.3,33.01,0(0.00 %),"5,800",0.2,0,0.0,35.3,35.3,35.0,bdg
17/07/2024,35.0,32.73,-0.3(-0.85 %),"5,008",0.18,0,0.0,35.3,35.6,35.0,bdg
16/07/2024,35.5,33.2,0.4(1.14 %),"12,539",0.44,0,0.0,35.5,36.0,33.5,bdg
15/07/2024,35.2,32.92,0.8(2.33 %),"5,714",0.2,0,0.0,35.1,35.2,34.9,bdg
12/07/2024,34.5,32.26,0.4(1.17 %),"12,900",0.44,0,0.0,34.2,34.5,34.0,bdg
11/07/2024,34.5,32.26,0.7(2.07 %),"13,200",0.45,0,0.0,33.9,34.5,33.9,bdg
10/07/2024,33.7,31.52,0.1(0.30 %),"4,100",0.14,0,0.0,33.6,33.9,33.6,bdg
09/07/2024,33.5,31.33,0.1(0.30 %),"17,500",0.59,0,0.0,33.4,33.8,33.4,bdg
08/07/2024,33.5,31.33,0.3(0.90 %),"9,900",0.33,0,0.0,33.3,33.5,33.3,bdg
05/07/2024,33.3,31.14,-0.3(-0.89 %),"5,100",0.17,0,0.0,33.3,33.3,33.1,bdg
04/07/2024,33.5,31.33,-0.2(-0.59 %),"17,400",0.58,0,0.0,33.8,33.8,33.1,bdg
03/07/2024,33.8,31.61,0.4(1.20 %),"6,700",0.23,0,0.0,33.5,33.8,33.5,bdg
02/07/2024,33.7,31.52,0.6(1.81 %),"6,710",0.22,0,0.0,33.2,33.7,33.2,bdg
01/07/2024,33.1,30.96,-0.3(-0.90 %),"1,000",0.03,0,0.0,33.2,33.2,33.1,bdg
28/06/2024,33.3,31.14,-0.2(-0.60 %),"1,510",0.05,0,0.0,33.5,33.5,33.3,bdg
27/06/2024,33.2,31.05,-0.6(-1.78 %),"7,600",0.25,0,0.0,33.8,33.8,33.2,bdg
26/06/2024,33.8,31.61,0(0.00 %),"10,000",0.34,0,0.0,33.8,33.8,33.8,bdg
25/06/2024,33.8,31.61,0.5(1.50 %),"2,200",0.07,0,0.0,33.9,33.9,33.8,bdg
24/06/2024,33.1,30.96,-0.5(-1.49 %),"10,800",0.36,0,0.0,33.6,33.6,33.0,bdg
21/06/2024,33.9,31.7,0.4(1.19 %),"8,527",0.29,0,0.0,33.5,33.9,33.5,bdg
20/06/2024,33.5,31.33,0.1(0.30 %),"5,900",0.2,0,0.0,33.5,33.7,33.5,bdg
