date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
11/09/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
10/09/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
09/09/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
06/09/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
05/09/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
04/09/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
30/08/2024,33,--,2.2(7.14 %),25,0,0,0,30.8,30.8,30.8
29/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
28/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
27/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
26/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
23/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
22/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
21/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
20/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
19/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
16/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
15/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
14/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
13/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
12/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
09/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
08/08/2024,30.8,--,0(0.00 %),0,0,0,0,30.8,30.8,30.8
