date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,30.5,--,0(0.00 %),0,0,0,0.0,30.5,30.5,30.5,bel
11/09/2024,30.5,--,0(0.00 %),0,0,0,0.0,30.5,30.5,30.5,bel
10/09/2024,30.5,--,0(0.00 %),0,0,0,0.0,30.5,30.5,30.5,bel
09/09/2024,30.5,--,0(0.00 %),0,0,0,0.0,30.5,30.5,30.5,bel
06/09/2024,30.5,--,0(0.00 %),0,0,0,0.0,30.5,30.5,30.5,bel
05/09/2024,30.5,--,0(0.00 %),0,0,0,0.0,30.5,30.5,30.5,bel
04/09/2024,30.5,--,0(0.00 %),0,0,0,0.0,30.5,30.5,30.5,bel
30/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
29/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
28/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
27/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
26/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
23/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
22/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
21/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
20/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
19/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
16/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
15/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
14/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
13/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
12/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
09/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
08/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
07/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
06/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
05/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
02/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
01/08/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
31/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
30/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
29/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
26/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
25/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
24/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
23/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
22/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
19/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
18/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
17/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
16/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
15/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
12/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
11/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
10/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
09/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
08/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
05/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
04/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
03/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
02/07/2024,31.0,30.5,0(0.00 %),1,0,0,0.0,31.0,31.0,31.0,bel
01/07/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
28/06/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
27/06/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
26/06/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
25/06/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
24/06/2024,31.0,30.5,0(0.00 %),1,0,0,0.0,31.0,31.0,31.0,bel
21/06/2024,31.0,30.5,0(0.00 %),1,0,0,0.0,31.0,31.0,31.0,bel
20/06/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
19/06/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
18/06/2024,31.0,30.5,0(0.00 %),0,0,0,0.0,31.0,31.0,31.0,bel
