date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,44.65(1.71 %),"22,900",1.06,"81,500",3.71,"58,600",2.65,"25,690,926",5.06%
11/09/2024,43.9(0.11 %),"-7,700",-0.33,"14,900",0.65,"22,600",0.98,"25,750,226",4.96%
10/09/2024,43.85(-2.34 %),"-22,200",-0.99,0,0,"22,200",0.99,"25,751,326",4.95%
09/09/2024,44.9(0.00 %),0,0,0,0,0,0,"25,725,326",5%
06/09/2024,44.9(1.58 %),"35,100",1.57,"61,100",2.71,"26,000",1.14,"25,731,626",4.99%
05/09/2024,44.2(0.91 %),"1,000",0.04,"4,700",0.21,"3,700",0.16,"25,760,526",4.94%
04/09/2024,43.8(-1.24 %),"10,700",0.47,"42,900",1.89,"32,200",1.42,"25,731,226",4.99%
30/08/2024,44.35(0.68 %),"42,100",1.87,"76,100",3.37,"34,000",1.5,"25,764,026",4.93%
29/08/2024,44.05(-0.79 %),"25,300",1.11,"35,400",1.56,"10,100",0.44,"25,840,126",4.8%
28/08/2024,44.4(0.45 %),"59,500",2.62,"59,500",2.62,0,0,"25,838,126",4.8%
27/08/2024,44.2(0.68 %),0,0,"37,400",1.64,"37,400",1.64,"25,861,526",4.76%
26/08/2024,43.9(-2.44 %),"-14,300",-0.66,"21,800",0.96,"36,100",1.62,"25,856,126",4.77%
23/08/2024,45(-3.23 %),"-4,500",-0.2,"38,300",1.76,"42,800",1.96,"25,866,426",4.75%
22/08/2024,46.5(-1.06 %),-200,-0.01,"11,300",0.53,"11,500",0.54,"25,883,626",4.72%
21/08/2024,47(0.86 %),"80,200",3.78,"101,300",4.77,"21,100",0.99,"25,887,726",4.72%
20/08/2024,46.6(-0.43 %),"23,700",1.09,"30,900",1.43,"7,200",0.34,"25,945,526",4.62%
19/08/2024,46.8(1.30 %),"17,200",0.83,"88,000",4.09,"70,800",3.27,"25,945,526",4.62%
16/08/2024,46.2(3.59 %),"119,500",5.48,"123,100",5.65,"3,600",0.16,"25,957,126",4.6%
15/08/2024,44.6(-2.30 %),"24,400",1.05,"100,800",4.46,"76,400",3.41,"25,972,126",4.57%
14/08/2024,45.65(0.66 %),"-48,600",-2.28,"59,500",2.81,"108,100",5.09,"26,003,626",4.51%
13/08/2024,45.35(1.23 %),"-25,400",-1.14,"23,900",1.08,"49,300",2.22,"26,017,226",4.49%
12/08/2024,44.8(1.93 %),"-22,000",-0.99,"23,900",1.07,"45,900",2.06,"25,982,726",4.55%
09/08/2024,43.95(5.14 %),"42,400",1.84,"100,800",4.35,"58,400",2.52,"25,866,926",4.75%
08/08/2024,41.8(-5.32 %),"-109,700",-4.74,"30,000",1.3,"139,700",6.04,"25,788,926",4.89%
07/08/2024,44.15(-0.34 %),"-163,500",-7.12,"15,300",0.67,"178,800",7.79,"25,689,526",5.06%
06/08/2024,44.3(1.96 %),"-93,900",-4.13,"15,500",0.67,"109,400",4.8,"25,538,526",5.33%
05/08/2024,43.45(-6.96 %),"-163,200",-7.32,"3,100",0.14,"166,300",7.46,"25,467,926",5.45%
02/08/2024,46.7(3.89 %),"69,400",2.96,"155,500",6.84,"86,100",3.87,"25,292,426",5.76%
01/08/2024,44.95(-6.94 %),"-47,500",-2.37,"131,100",5.99,"178,600",8.36,"25,413,726",5.55%
31/07/2024,48.3(-0.82 %),"-4,100",-0.2,"30,100",1.45,"34,200",1.65,"25,441,526",5.5%
30/07/2024,48.7(2.31 %),"61,100",2.83,"95,600",4.44,"34,500",1.61,"25,437,126",5.5%
29/07/2024,47.6(6.97 %),"61,100",2.83,"95,600",4.44,"34,500",1.61,"25,462,026",5.46%
24/07/2024,42.5(-1.28 %),"-25,600",-1.08,"85,600",3.59,"111,200",4.67,"25,407,626",5.56%
23/07/2024,43.05(-0.35 %),"-132,500",-5.77,"6,600",0.29,"139,100",6.06,"25,461,426",5.46%
22/07/2024,43.2(-2.81 %),"-15,700",-0.68,"16,100",0.69,"31,800",1.37,"25,406,326",5.56%
19/07/2024,44.45(0.34 %),"-50,000",-2.24,"11,700",0.52,"61,700",2.76,"25,372,226",5.62%
18/07/2024,44.3(5.23 %),"210,400",9.13,"260,600",11.29,"50,200",2.17,"24,983,426",6.3%
17/07/2024,0(0.00 %),"-337,200",-14.78,"63,300",2.73,"400,500",17.51,"25,151,726",6%
16/07/2024,0(0.00 %),"-90,700",-4.12,"1,600",0.07,"92,300",4.19,"25,183,726",5.95%
15/07/2024,44.6(0.22 %),"17,600",0.8,"48,900",2.21,"31,300",1.41,"25,174,926",5.96%
12/07/2024,44.5(-0.89 %),"81,000",3.6,"91,400",4.07,"10,400",0.46,"25,107,426",6.08%
11/07/2024,44.9(-1.10 %),"24,500",1.08,"140,900",6.26,"116,400",5.18,"24,993,026",6.28%
10/07/2024,45.4(3.30 %),"32,800",1.51,"238,600",10.97,"205,800",9.45,"25,133,826",6.04%
08/07/2024,41.1(6.89 %),"85,000",3.45,"110,300",4.47,"25,300",1.02,"25,233,126",5.86%
04/07/2024,38.2(0.00 %),"-117,400",-4.47,0,0,"117,400",4.47,"25,178,126",5.96%
03/07/2024,38.2(2.83 %),"-118,200",-4.48,200,0.01,"118,400",4.49,"25,114,426",6.07%
02/07/2024,37.15(1.78 %),"-63,200",-2.34,500,0.02,"63,700",2.36,"25,060,726",6.16%
01/07/2024,36.5(-0.27 %),"25,400",0.92,"79,300",2.87,"53,900",1.95,"24,969,726",6.32%
28/06/2024,36.6(-3.81 %),"-74,600",-2.84,"16,900",0.63,"91,500",3.47,"24,715,426",6.77%
27/06/2024,38.05(-2.19 %),"-318,900",-12.35,"14,700",0.57,"333,600",12.91,"24,667,626",6.85%
26/06/2024,38.9(3.60 %),"-27,700",-1.06,"37,000",1.41,"64,700",2.47,"24,636,526",6.91%
25/06/2024,37.55(0.00 %),"56,000",2.09,"101,800",3.8,"45,800",1.71,"24,629,926",6.92%
24/06/2024,37.55(-6.24 %),"104,400",3.93,"148,000",5.61,"43,600",1.68,"24,645,326",6.89%
21/06/2024,40.05(0.12 %),"-16,600",-0.7,"69,800",2.81,"86,400",3.51,"24,785,426",6.64%
20/06/2024,40(3.23 %),"182,600",7.2,"190,500",7.51,"7,900",0.31,"24,785,526",6.64%
19/06/2024,38.75(6.90 %),"62,000",2.3,"131,700",4.98,"69,700",2.68,"24,962,326",6.34%
18/06/2024,36.25(4.17 %),"55,100",1.96,"68,800",2.45,"13,700",0.49,"25,043,726",6.19%
17/06/2024,0(0.00 %),"-18,400",-0.64,"31,900",1.12,"50,300",1.76,"25,075,526",6.14%
14/06/2024,0(0.00 %),800,0.03,"37,800",1.38,"37,000",1.35,"25,001,826",6.27%
13/06/2024,37(0.00 %),"-100,500",-3.72,"5,100",0.19,"105,600",3.91,"24,922,526",6.4%
12/06/2024,39(0.91 %),"-116,900",-4.5,200,0.01,"117,100",4.51,"24,800,026",6.62%
11/06/2024,38.65(-1.65 %),"-15,800",-0.57,"111,800",4.41,"127,600",4.98,"24,804,526",6.61%
10/06/2024,39.3(-0.13 %),"-66,000",-2.59,"51,300",1.99,"117,300",4.58,"24,831,426",6.56%
