date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
11/09/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
10/09/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
09/09/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
06/09/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
05/09/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
04/09/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
30/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
29/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
28/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
27/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
26/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
23/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
22/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
21/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
20/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
19/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
16/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
15/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
14/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
13/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
12/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
09/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
08/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
07/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
06/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
05/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
02/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
01/08/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
31/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
30/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
29/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
24/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
23/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
22/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
19/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
18/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
17/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
16/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
15/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
12/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
11/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
10/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
08/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
04/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
03/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
02/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
01/07/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
28/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
27/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
26/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
25/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
24/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
21/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
20/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
19/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
18/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
17/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
14/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
13/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
12/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
11/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
07/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
06/06/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
31/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
30/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
29/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
28/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
27/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
23/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
22/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
21/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
20/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
17/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
13/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
10/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
09/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
08/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
07/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
06/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
03/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
02/05/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
26/04/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
23/04/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
22/04/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
12/04/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
11/04/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
05/04/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
03/04/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
01/04/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
29/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
28/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
27/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
25/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
19/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
18/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
13/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
12/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
05/03/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
29/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
26/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
22/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
21/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
20/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
19/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
16/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
15/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
07/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
06/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
02/02/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
31/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
30/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
29/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
17/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
16/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
15/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
11/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
10/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
09/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
02/01/2024,0(0.00 %),0,0,0,0,0,0,"22,400,338",0.04%,bgm
