date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
11/09/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
10/09/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
09/09/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
06/09/2024,1.6,--,0(0.00 %),"3,211",0.01,0,0,1.6,1.6,1.6
05/09/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
04/09/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
30/08/2024,1.6,--,0(0.00 %),"4,410",0.01,0,0,1.6,1.7,1.5
29/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
28/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
27/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
26/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
23/08/2024,1.7,--,0.2(13.33 %),"7,923",0.01,0,0,1.5,1.7,1.5
22/08/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
21/08/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
20/08/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
19/08/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
16/08/2024,1.4,--,-0.2(-12.50 %),"5,201",0.01,0,0,1.6,1.6,1.4
15/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
14/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
13/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
12/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
09/08/2024,1.7,--,0.1(6.25 %),"7,900",0.01,0,0,1.6,1.7,1.6
08/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
07/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
06/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
05/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
02/08/2024,1.6,--,0(0.00 %),602,0,0,0,1.6,1.6,1.6
01/08/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
31/07/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
30/07/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
29/07/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
26/07/2024,1.6,--,0.2(14.29 %),"9,520",0.02,0,0,1.6,1.6,1.6
25/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
24/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
23/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
22/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
19/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
18/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
17/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
16/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
15/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
12/07/2024,1.3,--,-0.1(-7.14 %),63,0,0,0,1.4,1.4,1.4
11/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
10/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
09/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
08/07/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
05/07/2024,1.3,--,-0.2(-13.33 %),"1,100",0,0,0,1.5,1.5,1.3
04/07/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
03/07/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
02/07/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
01/07/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
28/06/2024,1.5,--,0(0.00 %),100,0,0,0,1.5,1.5,1.5
27/06/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
26/06/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
25/06/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
24/06/2024,1.5,--,0(0.00 %),0,0,0,0,1.5,1.5,1.5
21/06/2024,1.6,--,0(0.00 %),"2,200",0,0,0,1.6,1.6,1.4
20/06/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
19/06/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
18/06/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
17/06/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
14/06/2024,1.5,--,0.1(7.14 %),"2,400",0,0,0,1.6,1.6,1.5
13/06/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
12/06/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
11/06/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
10/06/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
07/06/2024,1.6,--,0.2(14.29 %),"14,100",0.02,0,0,1.2,1.6,1.2
06/06/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
05/06/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
04/06/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
03/06/2024,1.4,--,0(0.00 %),0,0,0,0,1.4,1.4,1.4
31/05/2024,1.4,--,-0.2(-12.50 %),"8,200",0.01,0,0,1.4,1.4,1.4
30/05/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
29/05/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
28/05/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
27/05/2024,1.6,--,0(0.00 %),0,0,0,0,1.6,1.6,1.6
24/05/2024,1.5,--,-0.2(-11.76 %),"3,300",0.01,0,0,1.7,1.8,1.5
23/05/2024,1.7,--,0(0.00 %),0,0,0,0,1.7,1.7,1.7
22/05/2024,1.7,--,0(0.00 %),0,0,0,0,1.7,1.7,1.7
21/05/2024,1.7,--,0(0.00 %),0,0,0,0,1.7,1.7,1.7
20/05/2024,1.7,--,0(0.00 %),0,0,0,0,1.7,1.7,1.7
17/05/2024,1.7,--,0(0.00 %),200,0,0,0,1.7,1.7,1.7
16/05/2024,1.7,--,0(0.00 %),0,0,0,0,1.7,1.7,1.7
15/05/2024,1.7,--,0(0.00 %),0,0,0,0,1.7,1.7,1.7
14/05/2024,1.7,--,0(0.00 %),0,0,0,0,1.7,1.7,1.7
13/05/2024,1.7,--,0(0.00 %),0,0,0,0,1.7,1.7,1.7
10/05/2024,1.7,--,-0.2(-10.53 %),"1,200",0,0,0,1.8,1.8,1.7
09/05/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
08/05/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
07/05/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
06/05/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
03/05/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
02/05/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
26/04/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
25/04/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
24/04/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
23/04/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
22/04/2024,1.9,--,0(0.00 %),0,0,0,0,1.9,1.9,1.9
