date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,1.6 ( 0 %),0,0,0,0,0,0,0
11/09/2024,1.6 ( 0 %),0,0,0,0,0,0,0
10/09/2024,1.6 ( 0 %),0,0,0,0,0,0,0
09/09/2024,1.6 ( 0 %),0,0,0,0,0,0,0
06/09/2024,1.6 ( 0 %),10,"11,500","1,150",4,"3,300",825,"8,200"
05/09/2024,1.6 ( 0 %),0,0,0,0,0,0,0
04/09/2024,1.6 ( 0 %),0,0,0,0,0,0,0
30/08/2024,1.6 ( 0 %),11,"11,000","1,000",11,"4,600",418,"6,400"
29/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
28/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
27/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
26/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
23/08/2024,1.7 ( 13.33 %),11,"18,600","1,690.91",6,"7,900","1,317","10,700"
22/08/2024,1.5 ( 0 %),0,0,0,0,0,0,0
21/08/2024,1.5 ( 0 %),0,0,0,0,0,0,0
20/08/2024,1.5 ( 0 %),0,0,0,0,0,0,0
19/08/2024,1.5 ( 0 %),0,0,0,0,0,0,0
16/08/2024,1.4 ( -12.5 %),8,"11,600","1,450",6,"9,200","1,533","2,400"
15/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
14/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
13/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
12/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
09/08/2024,1.7 ( 6.25 %),6,"9,300","1,550",4,"12,700","3,175","-3,400"
08/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
07/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
06/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
05/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
02/08/2024,1.6 ( 0 %),3,"5,200","1,733.33",7,"9,600","1,371","-4,400"
01/08/2024,1.6 ( 0 %),0,0,0,0,0,0,0
31/07/2024,1.6 ( 0 %),0,0,0,0,0,0,0
30/07/2024,1.6 ( 0 %),0,0,0,0,0,0,0
29/07/2024,1.6 ( 0 %),0,0,0,0,0,0,0
26/07/2024,1.6 ( 14.29 %),14,"24,600","1,757.14",9,"9,500","1,056","15,100"
25/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
24/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
23/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
22/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
19/07/2024,1.4 ( 0 %),6,900,150,2,"6,400","3,200","-5,500"
18/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
17/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
16/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
15/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
12/07/2024,1.3 ( -7.14 %),4,900,225,2,"1,900",950,"-1,000"
11/07/2024,1.4 ( 0 %),0,0,0,0,0,0,0
