date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,38 ( -0.26 %),23,"8,700",378.26,12,"12,000","1,000","-3,300"
11/09/2024,38.1 ( 0.26 %),10,"3,900",390,9,"10,400","1,156","-6,500"
10/09/2024,38 ( 0 %),12,"5,300",441.67,9,"6,300",700,"-1,000"
09/09/2024,38 ( 0 %),11,"5,200",472.73,10,"8,500",850,"-3,300"
06/09/2024,38 ( -0.52 %),18,"7,400",411.11,9,"5,700",633,"1,700"
05/09/2024,38.2 ( -1.8 %),14,"6,800",485.71,14,"6,400",457,400
04/09/2024,38.9 ( 0 %),9,"5,400",600,15,"9,800",653,"-4,400"
30/08/2024,38.9 ( 0.78 %),22,"9,600",436.36,19,"17,900",942,"-8,300"
29/08/2024,38.6 ( -0.52 %),19,"10,600",557.89,17,"14,400",847,"-3,800"
28/08/2024,38.8 ( 1.04 %),12,"6,900",575,14,"16,300","1,164","-9,400"
27/08/2024,38.4 ( -1.03 %),32,"12,200",381.25,22,"21,000",955,"-8,800"
26/08/2024,38.8 ( 0 %),15,"7,100",473.33,17,"18,900","1,112","-11,800"
23/08/2024,38.8 ( 0 %),10,"4,700",470,17,"18,700","1,100","-14,000"
22/08/2024,38.8 ( -0.26 %),19,"15,900",836.84,27,"25,700",952,"-9,800"
21/08/2024,38.9 ( -1.14 %),14,"12,900",921.43,28,"22,000",786,"-9,100"
20/08/2024,39.35 ( 0 %),8,"5,200",650,18,"18,100","1,006","-12,900"
19/08/2024,39.35 ( -0.13 %),10,"5,100",510,28,"18,500",661,"-13,400"
16/08/2024,39.4 ( 0 %),8,"5,000",625,23,"15,400",670,"-10,400"
15/08/2024,39.4 ( 3.68 %),21,"11,100",528.57,24,"14,300",596,"-3,200"
14/08/2024,39.5 ( -1.13 %),22,"9,400",427.27,28,"18,100",646,"-8,700"
13/08/2024,39.95 ( 1.14 %),51,"24,300",476.47,32,"23,200",725,"1,100"
12/08/2024,39.5 ( 1.28 %),9,"4,900",544.44,17,"17,600","1,035","-12,700"
08/08/2024,38 ( 0 %),11,"6,300",572.73,12,"13,800","1,150","-7,500"
07/08/2024,38 ( 0 %),8,"5,000",625,11,"14,100","1,282","-9,100"
06/08/2024,38 ( 0 %),14,"10,200",728.57,17,"13,600",800,"-3,400"
05/08/2024,38 ( -2.81 %),27,"10,100",374.07,17,"7,500",441,"2,600"
02/08/2024,39.1 ( 1.56 %),23,"10,400",452.17,15,"6,100",407,"4,300"
01/08/2024,38.5 ( 0 %),19,"10,600",557.89,15,"6,200",413,"4,400"
31/07/2024,38.5 ( 0 %),16,"4,900",306.25,14,"7,300",521,"-2,400"
30/07/2024,38.5 ( 0 %),13,"4,800",369.23,13,"9,000",692,"-4,200"
29/07/2024,38.5 ( 0 %),11,"2,600",236.36,8,"6,700",838,"-4,100"
26/07/2024,38.5 ( 1.32 %),13,"5,100",392.31,14,"7,000",500,"-1,900"
25/07/2024,38 ( 0 %),12,"4,200",350,6,"4,600",767,-400
24/07/2024,38 ( 0 %),16,"8,100",506.25,10,"9,000",900,-900
22/07/2024,38.5 ( 0.52 %),13,"7,900",607.69,12,"16,100","1,342","-8,200"
19/07/2024,38.3 ( -0.26 %),16,"5,500",343.75,10,"12,800","1,280","-7,300"
18/07/2024,38.4 ( 0 %),15,"5,900",393.33,11,"11,700","1,064","-5,800"
17/07/2024,0 ( 0 %),15,"5,400",360,11,"13,400","1,218","-8,000"
16/07/2024,0 ( 0 %),16,"6,400",400,20,"20,800","1,040","-14,400"
15/07/2024,38.45 ( 0.13 %),15,"5,800",386.67,10,"9,800",980,"-4,000"
12/07/2024,38.4 ( -0.26 %),21,"8,400",400,16,"19,600","1,225","-11,200"
11/07/2024,38.5 ( 0 %),18,"7,400",411.11,15,"14,900",993,"-7,500"
10/07/2024,38.5 ( -1.28 %),16,"5,700",356.25,27,"18,400",681,"-12,700"
09/07/2024,39 ( 0 %),19,"5,600",294.74,29,"27,100",934,"-21,500"
08/07/2024,39 ( -0.64 %),20,"7,000",350,29,"17,900",617,"-10,900"
05/07/2024,39.25 ( 2.75 %),18,"8,000",444.44,26,"6,600",254,"1,400"
04/07/2024,38.2 ( -1.04 %),19,"9,600",505.26,25,"13,900",556,"-4,300"
03/07/2024,38.6 ( 0 %),16,"12,300",768.75,17,"10,000",588,"2,300"
02/07/2024,38.6 ( 0.26 %),19,"13,800",726.32,17,"14,800",871,"-1,000"
01/07/2024,38.5 ( -0.26 %),23,"28,300","1,230.43",23,"27,300","1,187","1,000"
28/06/2024,38.6 ( -4.46 %),21,"5,400",257.14,44,"21,600",491,"-16,200"
27/06/2024,40.4 ( 3.59 %),16,"10,500",656.25,41,"19,900",485,"-9,400"
26/06/2024,39 ( 0 %),17,"15,400",905.88,30,"21,000",700,"-5,600"
25/06/2024,39 ( 0 %),23,"12,000",521.74,22,"12,900",586,-900
