date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,6.2,--,0(0.00 %),0,0.0,0,0.0,6.2,6.2,6.2,bhp
11/09/2024,6.2,--,0(0.00 %),0,0.0,0,0.0,6.2,6.2,6.2,bhp
10/09/2024,6.2,--,0(0.00 %),2,0.0,0,0.0,6.2,6.2,6.2,bhp
09/09/2024,6.2,--,0(0.00 %),3,0.0,0,0.0,6.2,6.2,6.2,bhp
06/09/2024,6.2,--,-0.4(-6.06 %),"39,403",0.24,0,0.0,6.2,6.2,6.2,bhp
05/09/2024,6.6,--,0(0.00 %),0,0.0,0,0.0,6.6,6.6,6.6,bhp
04/09/2024,6.6,--,0(0.00 %),0,0.0,0,0.0,6.6,6.6,6.6,bhp
30/08/2024,6.7,--,0.1(1.52 %),3,0.0,0,0.0,6.6,6.6,6.6,bhp
29/08/2024,6.7,--,0.8(13.56 %),"1,102",0.01,0,0.0,6.4,6.7,6.4,bhp
28/08/2024,5.9,--,-0.9(-13.24 %),106,0.0,0,0.0,5.9,5.9,5.9,bhp
27/08/2024,6.8,--,0(0.00 %),0,0.0,0,0.0,6.8,6.8,6.8,bhp
26/08/2024,6.8,--,0(0.00 %),5,0.0,0,0.0,6.8,6.8,6.8,bhp
23/08/2024,6.8,--,0(0.00 %),0,0.0,0,0.0,6.8,6.8,6.8,bhp
22/08/2024,6.8,--,0(0.00 %),1,0.0,0,0.0,6.8,6.8,6.8,bhp
21/08/2024,6.8,--,0(0.00 %),1,0.0,0,0.0,6.8,6.8,6.8,bhp
20/08/2024,6.8,--,-0.5(-6.85 %),301,0.0,0,0.0,6.8,6.8,6.8,bhp
19/08/2024,7.3,--,0(0.00 %),0,0.0,0,0.0,7.3,7.3,7.3,bhp
16/08/2024,7.3,--,0(0.00 %),0,0.0,0,0.0,7.3,7.3,7.3,bhp
15/08/2024,7.3,--,0(0.00 %),0,0.0,0,0.0,7.3,7.3,7.3,bhp
14/08/2024,7.3,--,0(0.00 %),2,0.0,0,0.0,7.3,7.3,7.3,bhp
13/08/2024,7.3,--,0.5(7.35 %),103,0.0,0,0.0,7.3,7.3,7.3,bhp
12/08/2024,7.3,--,-0.1(-1.35 %),514,0.0,0,0.0,6.4,7.4,6.4,bhp
09/08/2024,7.4,--,0.6(8.82 %),100,0.0,0,0.0,7.4,7.4,7.4,bhp
08/08/2024,7.4,--,0.4(5.71 %),206,0.0,0,0.0,6.1,7.4,6.1,bhp
07/08/2024,7.4,--,0.5(7.25 %),"1,000",0.01,0,0.0,7.8,7.8,6.9,bhp
06/08/2024,6.9,--,-0.6(-8.00 %),"1,002",0.01,0,0.0,6.9,6.9,6.9,bhp
05/08/2024,7.5,--,0.8(11.94 %),"1,475",0.01,0,0.0,7.5,7.5,7.5,bhp
02/08/2024,7.2,--,0.5(7.46 %),"1,001",0.01,0,0.0,6.8,7.2,6.6,bhp
01/08/2024,6.9,--,0.3(4.55 %),618,0.0,0,0.0,6.6,6.9,6.6,bhp
31/07/2024,6.9,--,0.2(2.99 %),"1,100",0.01,0,0.0,6.6,6.9,6.6,bhp
30/07/2024,6.7,--,0.8(13.56 %),100,0.0,0,0.0,6.7,6.7,6.7,bhp
29/07/2024,5.9,--,0(0.00 %),0,0.0,0,0.0,5.9,5.9,5.9,bhp
26/07/2024,5.9,--,0.7(13.46 %),112,0.0,0,0.0,5.9,5.9,5.9,bhp
25/07/2024,5.2,--,-0.5(-8.77 %),100,0.0,0,0.0,5.2,5.2,5.2,bhp
24/07/2024,6.6,--,0.7(11.86 %),329,0.0,0,0.0,5.1,6.6,5.1,bhp
23/07/2024,5.9,--,0(0.00 %),2,0.0,0,0.0,5.9,5.9,5.9,bhp
22/07/2024,5.9,--,0(0.00 %),0,0.0,0,0.0,5.9,5.9,5.9,bhp
19/07/2024,5.9,--,0(0.00 %),0,0.0,0,0.0,5.9,5.9,5.9,bhp
18/07/2024,5.9,--,0.7(13.46 %),100,0.0,0,0.0,5.9,5.9,5.9,bhp
17/07/2024,5.2,--,0(0.00 %),0,0.0,0,0.0,5.2,5.2,5.2,bhp
16/07/2024,5.2,--,-0.8(-13.33 %),146,0.0,0,0.0,5.2,5.2,5.2,bhp
15/07/2024,6.0,--,0(0.00 %),0,0.0,0,0.0,6.0,6.0,6.0,bhp
12/07/2024,6.0,--,-0.9(-13.04 %),100,0.0,0,0.0,6.0,6.0,6.0,bhp
11/07/2024,6.9,--,0.9(15.00 %),"3,147",0.02,0,0.0,6.9,6.9,6.9,bhp
10/07/2024,6.0,--,0.7(13.21 %),100,0.0,0,0.0,6.0,6.0,6.0,bhp
09/07/2024,5.3,--,-0.3(-5.36 %),100,0.0,0,0.0,5.3,5.3,5.3,bhp
08/07/2024,6.0,--,0.1(1.69 %),215,0.0,0,0.0,5.1,6.0,5.1,bhp
05/07/2024,6.0,--,0.2(3.45 %),300,0.0,0,0.0,5.1,6.6,5.1,bhp
04/07/2024,5.8,--,0(0.00 %),0,0.0,0,0.0,5.8,5.8,5.8,bhp
03/07/2024,5.8,--,-0.9(-13.43 %),101,0.0,0,0.0,5.8,5.8,5.8,bhp
02/07/2024,6.7,--,0(0.00 %),103,0.0,0,0.0,6.7,6.7,6.7,bhp
01/07/2024,7.0,--,0.8(12.90 %),500,0.0,0,0.0,5.4,7.0,5.4,bhp
28/06/2024,6.2,--,-0.5(-7.46 %),100,0.0,0,0.0,6.2,6.2,6.2,bhp
27/06/2024,6.7,--,0(0.00 %),0,0.0,0,0.0,6.7,6.7,6.7,bhp
26/06/2024,6.7,--,0(0.00 %),0,0.0,0,0.0,6.7,6.7,6.7,bhp
25/06/2024,6.7,--,0(0.00 %),0,0.0,0,0.0,6.7,6.7,6.7,bhp
24/06/2024,6.7,--,0.8(13.56 %),500,0.0,0,0.0,6.7,6.7,6.7,bhp
21/06/2024,5.9,--,0(0.00 %),0,0.0,0,0.0,5.9,5.9,5.9,bhp
20/06/2024,5.9,--,0(0.00 %),0,0.0,0,0.0,5.9,5.9,5.9,bhp
19/06/2024,6.1,5.85,0(0.00 %),1,0.0,0,0.0,6.1,6.1,6.1,bhp
18/06/2024,6.1,5.85,0(0.00 %),0,0.0,0,0.0,6.1,6.1,6.1,bhp
17/06/2024,6.1,5.85,-0.9(-12.86 %),100,0.0,0,0.0,6.1,6.1,6.1,bhp
14/06/2024,7.0,6.71,0(0.00 %),0,0.0,0,0.0,7.0,7.0,7.0,bhp
13/06/2024,7.0,6.71,0(0.00 %),1,0.0,0,0.0,7.0,7.0,7.0,bhp
12/06/2024,7.0,6.71,0(0.00 %),0,0.0,0,0.0,7.0,7.0,7.0,bhp
11/06/2024,7.0,6.71,-0.1(-1.41 %),300,0.0,0,0.0,7.0,7.0,7.0,bhp
10/06/2024,7.1,6.81,0(0.00 %),0,0.0,0,0.0,7.1,7.1,7.1,bhp
07/06/2024,7.1,6.81,0(0.00 %),0,0.0,0,0.0,7.1,7.1,7.1,bhp
06/06/2024,7.1,6.81,0(0.00 %),0,0.0,0,0.0,7.1,7.1,7.1,bhp
05/06/2024,7.1,6.81,0(0.00 %),0,0.0,0,0.0,7.1,7.1,7.1,bhp
04/06/2024,7.1,6.81,0(0.00 %),0,0.0,0,0.0,7.1,7.1,7.1,bhp
03/06/2024,7.1,6.81,0(0.00 %),0,0.0,0,0.0,7.1,7.1,7.1,bhp
31/05/2024,7.1,6.81,0(0.00 %),0,0.0,0,0.0,7.1,7.1,7.1,bhp
30/05/2024,7.1,6.81,0(0.00 %),0,0.0,0,0.0,7.1,7.1,7.1,bhp
