date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,6.2 ( 0 %),3,500,166.67,1,100,100,400
11/09/2024,6.2 ( 0 %),1,100,100,1,100,100,0
10/09/2024,6.2 ( 0 %),2,400,200,1,100,100,300
09/09/2024,6.2 ( 0 %),3,500,166.67,1,100,100,400
06/09/2024,6.2 ( -6.06 %),6,"44,800","7,466.67",3,"39,600","13,200","5,200"
05/09/2024,6.6 ( 0 %),2,400,200,5,"1,300",260,-900
04/09/2024,6.6 ( 0 %),1,100,100,3,300,100,-200
30/08/2024,6.7 ( 1.52 %),1,100,100,3,300,100,-200
29/08/2024,6.7 ( 13.56 %),10,"3,700",370,3,"1,100",367,"2,600"
28/08/2024,5.9 ( -13.24 %),10,"1,500",150,5,700,140,800
27/08/2024,6.8 ( 0 %),1,100,100,4,"1,300",325,"-1,200"
26/08/2024,6.8 ( 0 %),1,100,100,5,"2,000",400,"-1,900"
23/08/2024,6.8 ( 0 %),1,100,100,4,"1,700",425,"-1,600"
22/08/2024,6.8 ( 0 %),1,100,100,3,700,233,-600
21/08/2024,6.8 ( 0 %),1,100,100,3,"1,200",400,"-1,100"
20/08/2024,6.8 ( -6.85 %),2,400,200,6,"2,300",383,"-1,900"
19/08/2024,7.3 ( 0 %),1,100,100,4,800,200,-700
16/08/2024,7.3 ( 0 %),2,400,200,6,"2,100",350,"-1,700"
15/08/2024,7.3 ( 0 %),1,100,100,5,"1,700",340,"-1,600"
14/08/2024,7.3 ( 0 %),1,100,100,6,"2,000",333,"-1,900"
13/08/2024,7.3 ( 7.35 %),3,300,100,6,"2,100",350,"-1,800"
12/08/2024,7.3 ( -1.35 %),7,"1,300",185.71,6,"2,300",383,"-1,000"
09/08/2024,7.4 ( 8.82 %),2,200,100,6,"2,600",433,"-2,400"
08/08/2024,7.4 ( 5.71 %),5,900,180,7,"2,300",329,"-1,400"
07/08/2024,7.4 ( 7.25 %),4,"1,100",275,8,"4,400",550,"-3,300"
06/08/2024,6.9 ( -8 %),2,"1,100",550,7,"4,000",571,"-2,900"
05/08/2024,7.5 ( 11.94 %),6,"2,800",466.67,8,"5,800",725,"-3,000"
02/08/2024,7.2 ( 7.46 %),8,"2,100",262.5,4,"1,900",475,200
01/08/2024,6.9 ( 4.55 %),4,"1,200",300,3,"1,600",533,-400
31/07/2024,6.9 ( 2.99 %),8,"9,600","1,200",4,"2,600",650,"7,000"
30/07/2024,6.7 ( 13.56 %),3,"5,300","1,766.67",1,100,100,"5,200"
29/07/2024,5.9 ( 0 %),5,"1,900",380,1,100,100,"1,800"
26/07/2024,5.9 ( 13.46 %),12,"2,500",208.33,1,100,100,"2,400"
25/07/2024,5.2 ( -8.77 %),12,"9,300",775,1,100,100,"9,200"
24/07/2024,6.6 ( 11.86 %),14,"7,100",507.14,5,600,120,"6,500"
23/07/2024,5.9 ( 0 %),4,600,150,0,0,0,600
22/07/2024,5.9 ( 0 %),2,600,300,1,300,300,300
19/07/2024,5.9 ( 0 %),4,"1,200",300,0,0,0,"1,200"
18/07/2024,5.9 ( 13.46 %),8,"1,400",175,1,100,100,"1,300"
17/07/2024,5.2 ( 0 %),9,"4,900",544.44,0,0,0,"4,900"
16/07/2024,5.2 ( -13.33 %),20,"10,100",505,1,100,100,"10,000"
15/07/2024,6 ( 0 %),6,"1,300",216.67,0,0,0,"1,300"
12/07/2024,6 ( -13.04 %),10,"6,000",600,5,"2,200",440,"3,800"
11/07/2024,6.9 ( 15 %),9,"5,500",611.11,6,"3,100",517,"2,400"
10/07/2024,6 ( 13.21 %),11,"2,800",254.55,1,100,100,"2,700"
09/07/2024,5.3 ( -5.36 %),15,"5,600",373.33,1,100,100,"5,500"
08/07/2024,6 ( 1.69 %),21,"7,700",366.67,2,200,100,"7,500"
05/07/2024,6 ( 3.45 %),11,"2,600",236.36,3,300,100,"2,300"
04/07/2024,5.8 ( 0 %),9,"11,900","1,322.22",0,0,0,"11,900"
03/07/2024,5.8 ( -13.43 %),13,"4,500",346.15,2,800,400,"3,700"
02/07/2024,6.7 ( 0 %),2,200,100,3,"1,300",433,"-1,100"
01/07/2024,7 ( 12.9 %),11,"8,000",727.27,4,"1,800",450,"6,200"
28/06/2024,6.2 ( -7.46 %),6,"1,300",216.67,3,"1,200",400,100
27/06/2024,6.7 ( 0 %),6,700,116.67,3,"1,100",367,-400
26/06/2024,6.7 ( 0 %),3,700,233.33,1,100,100,600
25/06/2024,6.7 ( 0 %),4,"1,300",325,1,100,100,"1,200"
24/06/2024,6.7 ( 13.56 %),4,"2,100",525,1,500,500,"1,600"
21/06/2024,5.9 ( 0 %),2,600,300,0,0,0,600
20/06/2024,5.9 ( 0 %),3,900,300,0,0,0,900
19/06/2024,6.1 ( 0 %),3,900,300,0,0,0,900
18/06/2024,6.1 ( 0 %),7,"1,100",157.14,0,0,0,"1,100"
17/06/2024,6.1 ( -12.86 %),25,"5,400",216,4,"1,200",300,"4,200"
14/06/2024,7 ( 0 %),2,200,100,2,"1,300",650,"-1,100"
13/06/2024,7 ( 0 %),1,100,100,0,0,0,100
12/06/2024,7 ( 0 %),1,100,100,1,"1,000","1,000",-900
11/06/2024,7 ( -1.41 %),2,400,200,3,"2,200",733,"-1,800"
10/06/2024,7.1 ( 0 %),1,100,100,1,"1,000","1,000",-900
07/06/2024,7.1 ( 0 %),1,100,100,1,"1,000","1,000",-900
06/06/2024,7.1 ( 0 %),2,"2,000","1,000",2,"1,100",550,900
05/06/2024,7.1 ( 0 %),3,"1,300",433.33,2,"1,300",650,0
04/06/2024,7.1 ( 0 %),3,"2,100",700,2,"1,300",650,800
03/06/2024,7.1 ( 0 %),4,"2,700",675,0,0,0,"2,700"
31/05/2024,7.1 ( 0 %),3,"2,100",700,3,"2,000",667,100
30/05/2024,7.1 ( 0 %),3,"2,600",866.67,1,"1,000","1,000","1,600"
29/05/2024,7.1 ( 0 %),4,"2,200",550,2,600,300,"1,600"
28/05/2024,7.1 ( 2.9 %),2,200,100,2,"1,200",600,"-1,000"
27/05/2024,6.9 ( 0 %),3,"2,100",700,2,"1,200",600,900
24/05/2024,6.9 ( 0 %),6,"3,200",533.33,3,"2,400",800,800
23/05/2024,6.9 ( 0 %),3,100,33.33,2,"1,200",600,"-1,100"
22/05/2024,6.9 ( 0 %),4,"2,300",575,1,200,200,"2,100"
21/05/2024,7.9 ( 14.49 %),6,"7,000","1,166.67",4,"2,300",575,"4,700"
20/05/2024,6.9 ( -1.43 %),5,"7,000","1,400",3,"6,600","2,200",400
17/05/2024,7 ( 0 %),3,"1,600",533.33,2,500,250,"1,100"
16/05/2024,7 ( 0 %),4,"2,100",525,2,"1,400",700,700
15/05/2024,7 ( 0 %),5,"6,700","1,340",10,"7,200",720,-500
14/05/2024,7 ( 0 %),7,"7,700","1,100",13,"8,900",685,"-1,200"
13/05/2024,7 ( -1.41 %),4,"1,800",450,7,"4,300",614,"-2,500"
10/05/2024,7.1 ( 0 %),5,"1,900",380,5,"2,200",440,-300
09/05/2024,7.1 ( 0 %),4,"1,700",425,7,"2,600",371,-900
08/05/2024,7.1 ( 0 %),4,"1,700",425,6,"2,100",350,-400
07/05/2024,7.1 ( 9.23 %),8,"2,900",362.5,4,"1,600",400,"1,300"
06/05/2024,6.5 ( -2.99 %),5,"2,100",420,3,800,267,"1,300"
03/05/2024,6.7 ( 0 %),3,"1,200",400,4,700,175,500
02/05/2024,6.7 ( 0 %),4,"1,700",425,3,"1,500",500,200
26/04/2024,6.7 ( 0 %),4,"1,300",325,3,"1,800",600,-500
25/04/2024,6.7 ( 0 %),11,"11,300","1,027.27",8,"11,400","1,425",-100
24/04/2024,6.4 ( 0 %),6,"1,500",250,5,"2,500",500,"-1,000"
23/04/2024,6.4 ( 0 %),4,"1,700",425,3,600,200,"1,100"
22/04/2024,6.4 ( -5.88 %),5,"1,800",360,4,"1,800",450,0
19/04/2024,6.8 ( 0 %),6,"2,000",333.33,2,500,250,"1,500"
17/04/2024,6.8 ( -1.45 %),5,"2,200",440,5,"1,200",240,"1,000"
16/04/2024,6.9 ( 0 %),5,"1,700",340,5,"1,700",340,0
15/04/2024,6.9 ( 0 %),5,"1,800",360,6,"1,400",233,400
12/04/2024,6.9 ( 0 %),4,"1,300",325,4,700,175,600
11/04/2024,6.9 ( 0 %),4,"1,300",325,4,500,125,800
10/04/2024,6.9 ( 0 %),10,"13,700","1,370",10,"18,800","1,880","-5,100"
09/04/2024,6.9 ( 0 %),4,"1,500",375,6,"1,900",317,-400
08/04/2024,6.9 ( 0 %),5,"1,700",340,5,"1,700",340,0
05/04/2024,6.9 ( 0 %),8,"6,500",812.5,8,"7,300",912,-800
04/04/2024,7.1 ( 7.58 %),6,"1,500",250,5,"2,300",460,-800
03/04/2024,6.6 ( 0 %),8,"1,600",200,2,400,200,"1,200"
