date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,48.35,--,0.05(0.10 %),"1,105,200",53.6,46,0.0,48.5,48.7,48.35,bid
11/09/2024,48.3,--,-0.2(-0.41 %),"1,405,800",67.83,44,0.0,48.45,48.65,48.0,bid
10/09/2024,48.5,--,-0.55(-1.12 %),"2,399,900",117.02,26,0.0,49.3,49.3,48.45,bid
09/09/2024,49.05,--,-0.25(-0.51 %),"1,202,400",59.08,0,0.0,49.2,49.55,48.9,bid
06/09/2024,49.3,--,0.6(1.23 %),"2,361,500",116.01,0,0.0,48.7,49.5,48.65,bid
05/09/2024,48.7,--,-0.25(-0.51 %),"1,899,400",93.19,38,0.0,48.75,49.5,48.6,bid
04/09/2024,48.95,--,0.05(0.10 %),"1,971,000",96.37,50,0.0,48.5,49.45,48.15,bid
30/08/2024,48.9,--,-0.4(-0.81 %),"1,798,000",88.54,0,0.0,49.55,49.7,48.9,bid
29/08/2024,49.3,--,-0.3(-0.60 %),"1,686,100",84.16,31,0.0,49.3,50.6,49.3,bid
28/08/2024,49.6,--,0(0.00 %),"1,206,100",59.94,13,0.0,49.6,50.3,49.5,bid
27/08/2024,49.6,--,-0.6(-1.20 %),"4,159,800",205.7,47,0.0,50.3,50.3,49.1,bid
26/08/2024,50.2,--,-0.3(-0.59 %),"2,246,500",113.39,"30,036",1.61,50.8,50.9,50.1,bid
23/08/2024,50.5,--,0.2(0.40 %),"2,273,200",114.59,63,0.0,50.2,50.8,50.1,bid
22/08/2024,50.3,--,-0.3(-0.59 %),"2,738,000",137.81,39,0.0,51.0,51.3,49.9,bid
21/08/2024,50.6,--,1.45(2.95 %),"6,170,900",309.17,"500,048",25.05,49.45,50.8,49.05,bid
20/08/2024,49.15,--,1.25(2.61 %),"4,359,400",213.43,"69,039",3.38,48.3,49.2,48.15,bid
19/08/2024,47.9,--,0.4(0.84 %),"2,107,200",101.28,37,0.0,47.8,48.5,47.6,bid
16/08/2024,47.5,--,0.85(1.82 %),"2,382,200",113.2,46,0.0,46.75,48.05,46.75,bid
15/08/2024,46.65,--,-0.4(-0.85 %),"1,004,300",47.25,49,0.0,47.05,47.45,46.65,bid
14/08/2024,47.05,--,0.4(0.86 %),"1,703,800",80.67,35,0.0,46.8,47.75,46.8,bid
13/08/2024,46.65,--,-0.15(-0.32 %),"1,015,400",47.36,0,0.0,47.0,47.15,46.5,bid
12/08/2024,46.8,--,0.1(0.21 %),"1,358,400",63.83,0,0.0,46.7,47.35,46.5,bid
09/08/2024,46.7,--,0.7(1.52 %),"1,050,900",49.07,10,0.0,47.0,47.0,46.35,bid
08/08/2024,46.0,--,-0.4(-0.86 %),"1,424,000",65.91,0,0.0,46.5,46.8,45.7,bid
07/08/2024,46.4,--,-0.35(-0.75 %),"2,145,000",99.65,0,0.0,47.4,47.4,46.0,bid
06/08/2024,46.75,--,0.65(1.41 %),"1,806,100",84.5,0,0.0,46.4,47.65,45.85,bid
05/08/2024,46.1,--,-1.65(-3.46 %),"2,723,100",126.13,0,0.0,46.9,47.2,45.0,bid
02/08/2024,47.75,--,0.95(2.03 %),"1,968,800",92.27,0,0.0,46.5,47.75,46.5,bid
01/08/2024,46.8,--,-0.8(-1.68 %),"3,825,500",183.9,0,0.0,47.9,48.9,46.8,bid
31/07/2024,47.6,--,0.8(1.71 %),"3,161,200",151.49,0,0.0,47.0,48.4,46.9,bid
30/07/2024,46.8,--,-0.3(-0.64 %),"2,282,100",107.33,0,0.0,47.35,47.35,46.5,bid
29/07/2024,47.1,--,0.85(1.84 %),"1,045,400",49.06,0,0.0,46.35,47.25,46.35,bid
26/07/2024,46.25,--,0.25(0.54 %),"1,238,300",57.27,"1,548,000",68.79,46.3,46.55,45.85,bid
25/07/2024,46.0,--,-0.1(-0.22 %),"1,465,000",67.24,0,0.0,46.45,46.45,45.5,bid
24/07/2024,46.1,--,0.1(0.22 %),"2,478,000",114.0,"1,548,000",76.13,45.0,46.85,45.0,bid
23/07/2024,46.0,--,-1.7(-3.56 %),"3,359,700",158.04,0,0.0,47.8,48.25,44.5,bid
22/07/2024,47.7,--,0(0.00 %),"3,438,100",164.51,0,0.0,47.7,48.7,47.2,bid
19/07/2024,47.7,--,-0.8(-1.65 %),"3,082,700",148.64,27,0.0,48.8,49.0,47.5,bid
18/07/2024,48.5,--,0.5(1.04 %),"3,362,700",162.91,216,0.01,48.6,49.3,47.85,bid
17/07/2024,48.0,--,0.85(1.80 %),"7,855,000",382.17,"2,035,183",89.35,47.9,50.0,47.55,bid
16/07/2024,47.15,--,0.6(1.29 %),"4,079,700",194.34,231,0.01,46.8,48.3,46.5,bid
15/07/2024,46.55,--,-0.05(-0.11 %),"1,185,400",55.43,"300,110",14.0,47.0,47.05,46.3,bid
12/07/2024,46.6,--,-0.2(-0.43 %),"1,435,600",67.14,111,0.01,46.9,47.2,46.25,bid
11/07/2024,46.8,--,-0.1(-0.21 %),"1,293,700",60.8,205,0.01,47.45,47.45,46.8,bid
10/07/2024,46.9,--,-0.6(-1.26 %),"2,019,900",95.85,155,0.01,47.85,47.9,46.9,bid
09/07/2024,47.5,--,0.5(1.06 %),"2,572,300",122.37,221,0.01,47.5,48.0,46.9,bid
08/07/2024,47.0,--,-0.3(-0.63 %),"1,981,700",93.37,144,0.01,47.55,47.8,46.75,bid
05/07/2024,47.3,--,0(0.00 %),"4,622,000",220.97,339,0.02,47.35,48.2,47.1,bid
04/07/2024,47.3,--,0.1(0.21 %),"2,666,100",125.64,171,0.01,47.0,47.4,46.8,bid
03/07/2024,47.2,--,1.45(3.17 %),"4,601,800",214.63,180,0.01,46.0,47.2,45.55,bid
02/07/2024,45.75,--,1.85(4.21 %),"3,612,500",164.04,180,0.01,44.25,45.8,44.05,bid
01/07/2024,43.9,--,0.65(1.50 %),"1,236,800",53.7,147,0.01,43.3,43.9,43.0,bid
28/06/2024,43.25,--,-0.85(-1.93 %),"2,120,500",92.92,27,0.0,44.1,44.6,43.25,bid
27/06/2024,44.1,--,-0.4(-0.90 %),"1,573,600",70.05,196,0.01,44.7,45.0,44.1,bid
26/06/2024,44.5,--,0.3(0.68 %),"1,689,800",74.94,149,0.01,44.25,44.8,44.0,bid
25/06/2024,44.2,--,-0.8(-1.78 %),"2,891,100",128.63,159,0.01,45.4,45.7,43.55,bid
24/06/2024,45.0,--,-0.6(-1.32 %),"1,951,000",88.85,126,0.01,46.0,46.35,45.0,bid
21/06/2024,45.6,--,0.1(0.22 %),"1,540,200",70.86,60,0.0,45.6,46.45,45.55,bid
20/06/2024,45.5,--,-0.6(-1.30 %),"2,671,200",121.8,163,0.01,46.0,46.2,45.35,bid
19/06/2024,46.1,--,-0.4(-0.86 %),"2,599,500",119.79,197,0.01,46.8,46.8,45.85,bid
18/06/2024,46.5,--,0(0.00 %),"1,468,000",68.67,0,0.0,46.7,47.05,46.5,bid
17/06/2024,46.5,--,-1(-2.11 %),"2,812,800",132.1,0,0.0,47.5,47.5,46.5,bid
14/06/2024,47.5,--,-0.85(-1.76 %),"2,240,900",107.85,0,0.0,48.4,48.75,47.5,bid
13/06/2024,48.35,--,0.45(0.94 %),"2,615,400",125.93,0,0.0,48.35,48.35,47.9,bid
12/06/2024,47.9,--,0.55(1.16 %),"2,649,200",125.27,0,0.0,47.6,47.95,47.0,bid
11/06/2024,47.35,--,-0.3(-0.63 %),"2,535,500",120.23,181,0.01,47.8,47.85,47.2,bid
10/06/2024,47.65,--,-0.1(-0.21 %),"2,062,700",99.0,205,0.01,47.85,48.55,47.55,bid
07/06/2024,47.75,--,-0.15(-0.31 %),"1,233,400",59.09,149,0.01,48.1,48.3,47.7,bid
06/06/2024,47.9,--,0.25(0.52 %),"1,413,000",67.7,175,0.01,47.7,48.1,47.7,bid
05/06/2024,47.65,--,0.05(0.11 %),"1,799,400",86.32,"300,158",14.44,47.9,48.2,47.65,bid
04/06/2024,47.6,--,0.3(0.63 %),"1,112,900",53.22,75,0.0,47.85,48.2,47.55,bid
03/06/2024,47.3,--,0.2(0.42 %),"2,095,200",100.24,105,0.0,47.9,48.45,47.2,bid
31/05/2024,47.1,--,-0.6(-1.26 %),"1,967,800",93.71,266,0.01,47.7,48.3,47.1,bid
30/05/2024,47.7,--,-0.9(-1.85 %),"2,092,000",100.22,22,0.0,48.4,48.5,47.4,bid
29/05/2024,48.6,--,-0.5(-1.02 %),"1,388,900",67.68,149,0.01,49.45,49.45,48.6,bid
28/05/2024,49.1,--,0.2(0.41 %),"1,230,700",60.06,202,0.01,49.0,49.2,48.6,bid
27/05/2024,48.9,--,-0.3(-0.61 %),"763,200",37.32,92,0.0,49.4,49.4,48.55,bid
24/05/2024,49.2,--,-0.3(-0.61 %),"2,175,600",108.05,110,0.01,49.6,50.6,48.5,bid
23/05/2024,49.5,--,-0.3(-0.60 %),"1,788,900",88.73,106,0.01,49.8,50.2,49.4,bid
22/05/2024,49.8,--,-0.2(-0.40 %),"2,428,000",122.5,18,0.0,50.5,51.2,49.75,bid
21/05/2024,50.0,--,0.4(0.81 %),"1,794,700",89.53,99,0.0,50.0,50.3,49.4,bid
20/05/2024,49.6,--,0.25(0.51 %),"2,191,900",109.69,88,0.0,49.6,50.7,49.5,bid
17/05/2024,49.35,--,-0.25(-0.50 %),"1,518,300",74.99,84,0.0,49.65,49.7,49.2,bid
16/05/2024,49.6,--,1(2.06 %),"2,097,300",104.28,"1,350,019",65.93,49.15,50.3,49.05,bid
15/05/2024,48.6,--,0.5(1.04 %),"1,393,000",67.76,28,0.0,48.45,48.95,48.35,bid
14/05/2024,48.1,--,-0.5(-1.03 %),"1,948,300",94.42,94,0.0,48.8,49.2,48.05,bid
13/05/2024,48.6,--,-0.45(-0.92 %),"1,663,700",81.42,129,0.01,49.2,49.5,48.5,bid
10/05/2024,49.05,--,-0.45(-0.91 %),"827,700",40.8,0,0.0,49.6,49.75,48.95,bid
09/05/2024,49.5,--,-0.3(-0.60 %),"970,600",48.29,0,0.0,50.3,50.3,49.5,bid
08/05/2024,49.8,--,-0.2(-0.40 %),"1,057,600",52.95,0,0.0,50.1,50.8,49.8,bid
07/05/2024,50.0,--,-0.5(-0.99 %),"1,069,500",53.76,0,0.0,50.6,51.0,50.0,bid
06/05/2024,50.5,--,1.3(2.64 %),"1,192,000",59.61,0,0.0,49.3,50.5,49.3,bid
03/05/2024,49.2,--,0(0.00 %),"700,800",34.67,0,0.0,49.65,49.9,49.0,bid
02/05/2024,49.2,--,0(0.00 %),"568,700",27.92,0,0.0,49.3,49.7,48.85,bid
26/04/2024,49.2,--,-0.4(-0.81 %),"774,500",38.28,0,0.0,49.6,50.1,49.1,bid
25/04/2024,49.6,--,-0.4(-0.80 %),"1,053,600",52.59,0,0.0,49.75,50.3,49.3,bid
24/04/2024,50.0,--,0.6(1.21 %),"1,416,800",70.56,"236,000",11.58,49.45,50.4,49.35,bid
23/04/2024,49.4,--,-0.7(-1.40 %),"2,273,300",112.52,"770,000",37.75,49.2,50.5,48.5,bid
22/04/2024,50.1,--,1.75(3.62 %),"1,298,900",64.21,0,0.0,48.8,50.1,48.8,bid
19/04/2024,48.35,--,0.25(0.52 %),"2,170,000",104.39,0,0.0,47.9,49.5,47.1,bid
17/04/2024,48.1,--,-2.2(-4.37 %),"1,973,200",97.55,0,0.0,50.9,51.0,48.0,bid
16/04/2024,50.3,--,0.6(1.21 %),"2,349,900",118.21,0,0.0,49.7,51.2,49.45,bid
15/04/2024,49.7,--,-3.7(-6.93 %),"2,541,500",131.23,0,0.0,53.3,54.5,49.7,bid
12/04/2024,53.4,--,0.4(0.75 %),"3,374,100",180.61,0,0.0,53.0,54.5,52.8,bid
11/04/2024,53.0,--,1(1.92 %),"2,276,400",120.0,0,0.0,51.5,53.4,51.3,bid
10/04/2024,52.0,--,-0.7(-1.33 %),"1,193,200",62.42,"45,000",2.35,52.8,52.8,51.9,bid
09/04/2024,52.7,--,1.9(3.74 %),"1,751,000",90.71,"450,000",24.19,51.1,52.7,50.8,bid
08/04/2024,50.8,--,0.6(1.20 %),"904,800",45.95,"550,000",28.68,50.2,51.6,50.0,bid
05/04/2024,50.2,--,-0.8(-1.57 %),"1,654,900",83.51,"103,400",5.21,50.9,50.9,50.2,bid
04/04/2024,51.0,--,0(0.00 %),"1,093,500",56.23,0,0.0,51.8,51.8,51.0,bid
03/04/2024,51.0,--,-0.9(-1.73 %),"1,496,500",77.52,0,0.0,52.0,52.3,51.0,bid
02/04/2024,51.9,--,-0.2(-0.38 %),"1,576,300",81.82,0,0.0,51.9,52.4,51.5,bid
01/04/2024,52.1,--,0(0.00 %),"1,362,900",71.0,"25,000",1.3,52.2,52.7,51.7,bid
