date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume
12/09/2024,48.35 ( 0.1 %),"1,187","2,265,800","1,908.85","1,316","3,504,300","2,663","-1,238,500"
11/09/2024,48.3 ( -0.41 %),"2,302","3,477,200","1,510.51","1,111","3,700,100","3,330","-222,900"
10/09/2024,48.5 ( -1.12 %),"2,831","4,158,900","1,469.06","1,279","5,435,300","4,250","-1,276,400"
09/09/2024,49.05 ( -0.51 %),"1,603","2,677,100","1,670.06","1,075","3,005,300","2,796","-328,200"
06/09/2024,49.3 ( 1.23 %),"2,237","5,136,600","2,296.2","1,614","4,169,800","2,584","966,800"
05/09/2024,48.7 ( -0.51 %),"2,347","4,519,400","1,925.61","1,604","5,041,100","3,143","-521,700"
04/09/2024,48.95 ( 0.1 %),"2,798","4,581,900","1,637.56","1,420","3,667,900","2,583","914,000"
30/08/2024,48.9 ( -0.81 %),"2,177","3,252,600","1,494.07","1,711","3,489,800","2,040","-237,200"
29/08/2024,49.3 ( -0.6 %),"1,814","3,443,400","1,898.24","2,345","4,668,700","1,991","-1,225,300"
28/08/2024,49.6 ( 0 %),"1,528","2,629,000","1,720.55","1,419","2,817,200","1,985","-188,200"
27/08/2024,49.6 ( -1.2 %),"4,395","8,541,800","1,943.53","3,394","7,657,300","2,256","884,500"
26/08/2024,50.2 ( -0.59 %),"1,985","4,305,400","2,168.97","2,722","5,382,300","1,977","-1,076,900"
23/08/2024,50.5 ( 0.4 %),"2,011","4,632,700","2,303.68","2,225","5,194,100","2,334","-561,400"
22/08/2024,50.3 ( -0.59 %),"3,545","5,182,000","1,461.78","3,324","5,727,500","1,723","-545,500"
21/08/2024,50.6 ( 2.95 %),"4,859","9,978,400","2,053.59","5,142","11,120,000","2,163","-1,141,600"
20/08/2024,49.15 ( 2.61 %),"3,217","7,333,000","2,279.45","4,205","8,905,700","2,118","-1,572,700"
19/08/2024,47.9 ( 0.84 %),"1,688","4,029,000","2,386.85","2,389","4,784,000","2,003","-755,000"
16/08/2024,47.5 ( 1.82 %),"1,870","4,854,500","2,595.99","2,239","4,090,800","1,827","763,700"
15/08/2024,46.65 ( -0.85 %),"1,333","1,985,100","1,489.2","1,394","2,734,900","1,962","-749,800"
14/08/2024,47.05 ( 0.86 %),"1,855","3,643,700","1,964.26","2,297","3,881,900","1,690","-238,200"
13/08/2024,46.65 ( -0.32 %),"1,654","2,229,900","1,348.19","1,201","2,341,600","1,950","-111,700"
12/08/2024,46.8 ( 0.21 %),"1,560","2,666,400","1,709.23","1,640","3,192,000","1,946","-525,600"
08/08/2024,46 ( -0.86 %),"1,868","2,904,400","1,554.82","1,437","2,869,500","1,997","34,900"
07/08/2024,46.4 ( -0.75 %),"2,331","4,011,700","1,721.02","1,565","3,340,800","2,135","670,900"
06/08/2024,46.75 ( 1.41 %),"1,566","3,831,200","2,446.49","1,971","3,886,700","1,972","-55,500"
05/08/2024,46.1 ( -3.46 %),"2,489","4,861,100","1,953.03","1,777","5,068,800","2,852","-207,700"
02/08/2024,47.75 ( 2.03 %),"2,425","3,442,800","1,419.71","1,362","3,544,700","2,603","-101,900"
01/08/2024,46.8 ( -1.68 %),"3,761","6,050,000","1,608.61","3,972","8,611,000","2,168","-2,561,000"
31/07/2024,47.6 ( 1.71 %),"1,727","5,194,200","3,007.64","3,279","6,892,300","2,102","-1,698,100"
30/07/2024,46.8 ( -0.64 %),"1,677","3,329,700","1,985.51","1,923","4,723,200","2,456","-1,393,500"
29/07/2024,47.1 ( 1.84 %),"1,074","2,106,000","1,960.89","1,612","2,825,800","1,753","-719,800"
26/07/2024,46.25 ( 0.54 %),"1,400","3,282,100","2,344.36","1,354","2,554,200","1,886","727,900"
25/07/2024,46 ( -0.22 %),"2,120","3,507,300","1,654.39","1,611","2,847,200","1,767","660,100"
24/07/2024,46.1 ( 0.22 %),"3,514","5,989,900","1,704.58","1,840","4,280,100","2,326","1,709,800"
22/07/2024,47.7 ( 0 %),"4,242","5,482,100","1,292.34","3,448","7,261,200","2,106","-1,779,100"
19/07/2024,47.7 ( -1.65 %),"2,689","5,592,000","2,079.58","2,376","6,464,200","2,721","-872,200"
18/07/2024,48.5 ( 1.04 %),"2,350","6,227,700","2,650.09","2,600","7,184,900","2,763","-957,200"
17/07/2024,0 ( 0 %),"4,779","13,437,300","2,811.74","7,548","13,191,600","1,748","245,700"
16/07/2024,0 ( 0 %),"2,579","10,080,700","3,908.76","4,981","8,672,500","1,741","1,408,200"
15/07/2024,46.55 ( -0.11 %),"1,851","1,983,300","1,071.47","1,279","3,319,200","2,595","-1,335,900"
12/07/2024,46.6 ( -0.43 %),"2,621","2,524,000",962.99,"1,229","3,660,100","2,978","-1,136,100"
11/07/2024,46.8 ( -0.21 %),"1,389","2,354,900","1,695.39","1,889","3,052,900","1,616","-698,000"
10/07/2024,46.9 ( -1.26 %),"1,411","3,405,700","2,413.68","2,177","4,995,900","2,295","-1,590,200"
09/07/2024,47.5 ( 1.06 %),"1,912","4,423,700","2,313.65","2,795","5,878,300","2,103","-1,454,600"
08/07/2024,47 ( -0.63 %),"2,006","3,750,500","1,869.64","2,082","4,637,200","2,227","-886,700"
05/07/2024,47.3 ( 0 %),"2,768","6,953,500","2,512.1","4,804","8,870,700","1,847","-1,917,200"
04/07/2024,47.3 ( 0.21 %),"2,308","4,328,300","1,875.35","3,048","6,170,200","2,024","-1,841,900"
03/07/2024,47.2 ( 3.17 %),"3,172","6,658,700","2,099.21","4,449","8,341,100","1,875","-1,682,400"
02/07/2024,45.75 ( 4.21 %),"3,122","6,298,700","2,017.52","3,439","5,749,900","1,672","548,800"
01/07/2024,43.9 ( 1.5 %),"2,153","2,977,400","1,382.91","1,506","2,617,600","1,738","359,800"
28/06/2024,43.25 ( -1.93 %),"3,084","3,950,600","1,281","1,897","4,164,700","2,195","-214,100"
27/06/2024,44.1 ( -0.9 %),"2,013","3,218,300","1,598.76","2,169","2,720,200","1,254","498,100"
26/06/2024,44.5 ( 0.68 %),"2,476","3,687,800","1,489.42","1,499","3,121,000","2,082","566,800"
25/06/2024,44.2 ( -1.78 %),"3,765","5,261,700","1,397.53","2,050","5,659,800","2,761","-398,100"
24/06/2024,45 ( -1.32 %),"2,542","3,180,300","1,251.1","3,281","3,887,900","1,185","-707,600"
21/06/2024,45.6 ( 0.22 %),"2,260","3,665,500","1,621.9","2,534","2,966,200","1,171","699,300"
20/06/2024,45.5 ( -1.3 %),"4,031","4,666,900","1,157.75","2,189","4,826,700","2,205","-159,800"
19/06/2024,46.1 ( -0.86 %),"3,833","4,647,700","1,212.55","1,878","4,044,700","2,154","603,000"
18/06/2024,46.5 ( 0 %),"2,465","2,614,600","1,060.69","2,212","2,742,600","1,240","-128,000"
17/06/2024,46.5 ( -2.11 %),"4,128","4,157,200","1,007.07","2,199","4,513,800","2,053","-356,600"
14/06/2024,47.5 ( -1.76 %),"2,669","3,293,300","1,233.91","2,811","4,918,700","1,750","-1,625,400"
13/06/2024,48.35 ( 0.94 %),"1,878","4,471,800","2,381.15","2,778","4,593,600","1,654","-121,800"
12/06/2024,47.9 ( 1.16 %),"3,933","4,660,000","1,184.85","2,276","4,032,400","1,772","627,600"
11/06/2024,47.35 ( -0.63 %),"3,817","4,656,600","1,219.96","1,773","4,726,600","2,666","-70,000"
10/06/2024,47.65 ( -0.21 %),"2,070","3,410,700","1,647.68","1,861","4,285,000","2,303","-874,300"
07/06/2024,47.75 ( -0.31 %),"1,842","2,200,400","1,194.57","1,432","2,710,900","1,893","-510,500"
06/06/2024,47.9 ( 0.52 %),"1,560","2,625,800","1,683.21","1,539","2,859,200","1,858","-233,400"
05/06/2024,47.65 ( 0.11 %),"2,185","3,452,900","1,580.27","2,093","3,577,000","1,709","-124,100"
04/06/2024,47.6 ( 0.63 %),"1,776","2,345,500","1,320.66","1,491","3,041,800","2,040","-696,300"
03/06/2024,47.3 ( 0.42 %),"2,230","3,038,100","1,362.38","1,840","3,356,700","1,824","-318,600"
31/05/2024,47.1 ( -1.26 %),"2,623","3,062,300","1,167.48","1,290","3,605,900","2,795","-543,600"
30/05/2024,47.7 ( -1.85 %),"3,862","3,607,600",934.13,"2,141","3,223,000","1,505","384,600"
29/05/2024,48.6 ( -1.02 %),"2,117","2,214,700","1,046.15","1,287","2,867,200","2,228","-652,500"
28/05/2024,49.1 ( 0.41 %),"2,360","2,543,500","1,077.75","1,051","2,406,400","2,290","137,100"
27/05/2024,48.9 ( -0.61 %),"1,744","1,439,000",825.11,727,"1,943,900","2,674","-504,900"
24/05/2024,49.2 ( -0.61 %),"2,316","4,300,000","1,856.65","2,347","5,179,600","2,207","-879,600"
23/05/2024,49.5 ( -0.6 %),"1,962","2,873,300","1,464.48","1,488","3,642,500","2,448","-769,200"
22/05/2024,49.8 ( -0.4 %),"1,880","4,506,900","2,397.29","2,532","5,923,800","2,340","-1,416,900"
21/05/2024,50 ( 0.81 %),"1,437","3,118,400","2,170.08","1,949","4,304,700","2,209","-1,186,300"
20/05/2024,49.6 ( 0.51 %),"1,438","3,570,900","2,483.24","2,628","4,928,300","1,875","-1,357,400"
17/05/2024,49.35 ( -0.5 %),"2,263","2,953,200","1,304.99","2,131","2,777,500","1,303","175,700"
16/05/2024,49.6 ( 2.06 %),"1,866","4,479,900","2,400.8","3,279","4,499,200","1,372","-19,300"
15/05/2024,48.6 ( 1.04 %),"1,686","3,212,500","1,905.4","2,130","2,073,900",974,"1,138,600"
14/05/2024,48.1 ( -1.03 %),"2,697","3,602,700","1,335.82","1,800","2,984,800","1,658","617,900"
13/05/2024,48.6 ( -0.92 %),"2,215","2,729,900","1,232.46","1,429","2,921,300","2,044","-191,400"
10/05/2024,49.05 ( -0.91 %),"1,810","1,861,300","1,028.34",960,"2,379,300","2,478","-518,000"
09/05/2024,49.5 ( -0.6 %),"1,460","1,946,600","1,333.29","1,211","2,882,400","2,380","-935,800"
08/05/2024,49.8 ( -0.4 %),"1,509","2,184,200","1,447.45","1,761","2,651,500","1,506","-467,300"
07/05/2024,50 ( -0.99 %),"1,149","1,997,900","1,738.82","1,412","2,568,700","1,819","-570,800"
06/05/2024,50.5 ( 2.64 %),"1,041","2,668,400","2,563.3","1,560","2,716,200","1,741","-47,800"
03/05/2024,49.2 ( 0 %),924,"1,341,900","1,452.27","1,082","2,056,300","1,900","-714,400"
02/05/2024,49.2 ( 0 %),"1,077","1,140,700","1,059.15",930,"1,381,600","1,486","-240,900"
26/04/2024,49.2 ( -0.81 %),"1,398","1,673,900","1,197.35","1,163","1,960,000","1,685","-286,100"
25/04/2024,49.6 ( -0.8 %),"1,036","1,969,200","1,900.77","1,673","2,713,100","1,622","-743,900"
24/04/2024,50 ( 1.21 %),"1,282","2,588,700","2,019.27","1,818","2,838,400","1,561","-249,700"
23/04/2024,49.4 ( -1.4 %),"1,828","3,301,200","1,805.91","2,365","4,308,600","1,822","-1,007,400"
22/04/2024,50.1 ( 3.62 %),"1,027","2,480,000","2,414.8","1,222","2,108,800","1,726","371,200"
19/04/2024,48.35 ( 0.52 %),"2,258","4,407,800","1,952.08","2,098","4,044,200","1,928","363,600"
17/04/2024,48.1 ( -4.37 %),"2,443","3,728,900","1,526.36","1,314","5,009,800","3,813","-1,280,900"
16/04/2024,50.3 ( 1.21 %),"3,482","5,987,100","1,719.44","2,179","4,057,700","1,862","1,929,400"
15/04/2024,49.7 ( -6.93 %),"2,275","3,536,800","1,554.64","1,654","4,051,100","2,449","-514,300"
