date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,bii
11/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,bii
10/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,bii
09/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,bii
06/09/2024,0.7,--,0(0.00 %),"78,217",0.06,0,0,0.7,0.8,0.7,bii
05/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,bii
04/09/2024,0.7,--,0(0.00 %),0,0.0,0,0,0.7,0.7,0.7,bii
30/08/2024,0.7,--,-0.1(-12.50 %),"70,536",0.05,0,0,0.8,0.8,0.7,bii
29/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
28/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
27/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
26/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
23/08/2024,0.8,--,0(0.00 %),"101,160",0.08,0,0,0.8,0.8,0.7,bii
22/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
21/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
20/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
19/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
16/08/2024,0.8,--,0(0.00 %),"311,472",0.25,0,0,0.8,0.9,0.7,bii
15/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
14/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
13/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
12/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
09/08/2024,0.8,--,0(0.00 %),"87,312",0.07,0,0,0.8,0.8,0.7,bii
08/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
07/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
06/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
05/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
02/08/2024,0.9,--,0.1(12.50 %),"317,649",0.25,0,0,0.8,0.9,0.7,bii
01/08/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
31/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
30/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
29/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
26/07/2024,0.8,--,0(0.00 %),"333,845",0.27,0,0,0.8,0.9,0.8,bii
25/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
24/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
23/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
22/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
19/07/2024,0.8,--,0(0.00 %),"207,153",0.17,0,0,0.9,0.9,0.8,bii
18/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
17/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
16/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
15/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
12/07/2024,0.9,--,0.1(12.50 %),"201,150",0.16,0,0,0.8,0.9,0.8,bii
11/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
10/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
09/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
08/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
05/07/2024,0.9,--,0.1(12.50 %),"528,219",0.42,0,0,0.8,0.9,0.7,bii
04/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
03/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
02/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
01/07/2024,0.8,--,0(0.00 %),0,0.0,0,0,0.8,0.8,0.8,bii
28/06/2024,0.9,--,0(0.00 %),"267,853",0.22,0,0,0.9,0.9,0.8,bii
27/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
26/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
25/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
24/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
21/06/2024,0.9,--,0(0.00 %),"777,520",0.7,0,0,0.9,1.0,0.8,bii
20/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
19/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
18/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
17/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
14/06/2024,1.0,--,0.1(11.11 %),"792,333",0.71,0,0,0.9,1.0,0.8,bii
13/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
12/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
11/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
10/06/2024,0.9,--,0(0.00 %),0,0.0,0,0,0.9,0.9,0.9,bii
