date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
11/09/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
10/09/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
09/09/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
06/09/2024,0.7 ( 0 %),143,"1,825,300","12,764.34",90,"809,100","8,990","1,016,200",bii
05/09/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
04/09/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
30/08/2024,0.7 ( -12.5 %),116,"823,000","7,094.83",97,"892,300","9,199","-69,300",bii
29/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
28/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
27/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
26/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
23/08/2024,0.8 ( 0 %),144,"1,009,900","7,013.19",117,"1,092,500","9,338","-82,600",bii
22/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
21/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
20/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
19/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
16/08/2024,0.8 ( 0 %),167,"1,110,100","6,647.31",136,"981,200","7,215","128,900",bii
15/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
14/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
13/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
12/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
09/08/2024,0.8 ( 0 %),122,"1,002,400","8,216.39",118,"1,083,200","9,180","-80,800",bii
08/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
07/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
06/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
05/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
02/08/2024,0.9 ( 12.5 %),116,"1,243,900","10,723.28",138,"1,021,300","7,401","222,600",bii
01/08/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
31/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
30/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
29/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
26/07/2024,0.8 ( 0 %),106,"1,661,000","15,669.81",161,"1,381,900","8,583","279,100",bii
25/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
24/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
23/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
22/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
19/07/2024,0.8 ( 0 %),120,"1,316,200","10,968.33",135,"1,094,600","8,108","221,600",bii
18/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
17/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
16/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
15/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
12/07/2024,0.9 ( 12.5 %),157,"1,546,700","9,851.59",141,"864,000","6,128","682,700",bii
11/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
10/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
09/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
08/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
05/07/2024,0.9 ( 12.5 %),191,"1,935,700","10,134.55",165,"1,362,000","8,255","573,700",bii
04/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
03/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
02/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
01/07/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
28/06/2024,0.9 ( 0 %),137,"1,098,700","8,019.71",169,"1,498,300","8,866","-399,600",bii
27/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
26/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
25/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
24/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
21/06/2024,0.9 ( 0 %),212,"1,981,100","9,344.81",214,"1,941,500","9,072","39,600",bii
20/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
19/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
18/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
17/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
14/06/2024,1 ( 11.11 %),211,"1,786,500","8,466.82",233,"1,976,600","8,483","-190,100",bii
13/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
12/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
11/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
10/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
07/06/2024,0.9 ( 0 %),236,"1,719,800","7,287.29",253,"2,246,200","8,878","-526,400",bii
06/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
05/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
04/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
03/06/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
31/05/2024,0.9 ( 12.5 %),253,"2,593,600","10,251.38",249,"1,598,300","6,419","995,300",bii
30/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
29/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
28/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
27/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
24/05/2024,0.8 ( -11.11 %),202,"1,099,300","5,442.08",223,"1,925,800","8,636","-826,500",bii
23/05/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
22/05/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
21/05/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
20/05/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
17/05/2024,0.9 ( 12.5 %),252,"1,971,100","7,821.83",223,"1,854,800","8,317","116,300",bii
16/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
15/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
14/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
13/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
10/05/2024,0.9 ( 12.5 %),217,"1,567,300","7,222.58",167,"1,216,000","7,281","351,300",bii
09/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
08/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
07/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
06/05/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
03/05/2024,0.8 ( 14.29 %),270,"2,293,800","8,495.56",146,"735,100","5,035","1,558,700",bii
02/05/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
26/04/2024,0.8 ( 14.29 %),206,"2,007,300","9,744.17",135,"772,600","5,723","1,234,700",bii
25/04/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
24/04/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
23/04/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
22/04/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
19/04/2024,0.9 ( 12.5 %),246,"2,078,000","8,447.15",205,"2,276,100","11,103","-198,100",bii
17/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
16/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
15/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
12/04/2024,0.8 ( 0 %),217,"1,717,400","7,914.29",149,"2,035,000","13,658","-317,600",bii
11/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
10/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
09/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
08/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
05/04/2024,0.8 ( 0 %),246,"1,408,100","5,723.98",154,"2,207,400","14,334","-799,300",bii
04/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
03/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
02/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
01/04/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
29/03/2024,0.8 ( 0 %),196,"1,841,800","9,396.94",185,"1,925,200","10,406","-83,400",bii
28/03/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
27/03/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
26/03/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
25/03/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
22/03/2024,0.9 ( 12.5 %),311,"2,087,100","6,710.93",217,"1,895,300","8,734","191,800",bii
21/03/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
20/03/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
19/03/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
18/03/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
15/03/2024,0.9 ( 0 %),265,"1,400,000","5,283.02",238,"2,652,500","11,145","-1,252,500",bii
14/03/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
13/03/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
12/03/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
11/03/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
08/03/2024,0.9 ( -10 %),251,"1,491,500","5,942.23",291,"3,494,100","12,007","-2,002,600",bii
07/03/2024,1 ( 0 %),0,0,0,0,0,0,0,bii
06/03/2024,1 ( 0 %),0,0,0,0,0,0,0,bii
05/03/2024,1 ( 0 %),0,0,0,0,0,0,0,bii
04/03/2024,1 ( 0 %),0,0,0,0,0,0,0,bii
01/03/2024,1 ( 11.11 %),487,"3,112,300","6,390.76",208,"2,536,400","12,194","575,900",bii
29/02/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
28/02/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
27/02/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
26/02/2024,0.9 ( 0 %),0,0,0,0,0,0,0,bii
23/02/2024,0.9 ( 12.5 %),371,"4,347,200","11,717.52",324,"1,889,200","5,831","2,458,000",bii
22/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
21/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
20/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
19/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
16/02/2024,0.9 ( 12.5 %),188,"1,258,900","6,696.28",207,"1,734,000","8,377","-475,100",bii
15/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
07/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
06/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
05/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
02/02/2024,0.9 ( 12.5 %),161,"1,885,500","11,711.18",268,"2,430,500","9,069","-545,000",bii
01/02/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
31/01/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
30/01/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
29/01/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
26/01/2024,0.9 ( 12.5 %),232,"2,202,500","9,493.53",292,"2,509,600","8,595","-307,100",bii
25/01/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
24/01/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
23/01/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
22/01/2024,0.8 ( 0 %),0,0,0,0,0,0,0,bii
19/01/2024,0.8 ( 14.29 %),196,"2,266,000","11,561.22",234,"1,278,100","5,462","987,900",bii
18/01/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
17/01/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
16/01/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
15/01/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
12/01/2024,0.7 ( 0 %),195,"2,187,900","11,220",184,"1,587,900","8,630","600,000",bii
11/01/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
10/01/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
09/01/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
08/01/2024,0.7 ( 0 %),0,0,0,0,0,0,0,bii
05/01/2024,0.7 ( 16.67 %),283,"2,912,100","10,290.11",181,"1,536,100","8,487","1,376,000",bii
04/01/2024,0.6 ( 0 %),0,0,0,0,0,0,0,bii
03/01/2024,0.6 ( 0 %),0,0,0,0,0,0,0,bii
02/01/2024,0.6 ( 0 %),0,0,0,0,0,0,0,bii
