date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,6.5(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
11/09/2024,6.5(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
10/09/2024,6.5(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
09/09/2024,6.5(3.17 %),0,0,0,0,0,0,"5,734,159",0.15%
06/09/2024,6.3(-3.08 %),0,0,0,0,0,0,"5,734,159",0.15%
05/09/2024,6.5(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
04/09/2024,6.5(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
30/08/2024,6.5(-2.99 %),0,0,0,0,0,0,"5,734,159",0.15%
29/08/2024,6.7(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
28/08/2024,6.7(3.08 %),0,0,0,0,0,0,"5,734,159",0.15%
27/08/2024,6.5(-1.52 %),0,0,0,0,0,0,"5,734,159",0.15%
26/08/2024,6.6(6.45 %),0,0,0,0,0,0,"5,734,159",0.15%
23/08/2024,6.2(-7.46 %),0,0,0,0,0,0,"5,734,159",0.15%
22/08/2024,6.7(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
21/08/2024,6.7(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
20/08/2024,6.7(1.52 %),0,0,0,0,0,0,"5,734,159",0.15%
19/08/2024,6.6(4.76 %),0,0,0,0,0,0,"5,734,159",0.15%
16/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
15/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
14/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
13/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
12/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
09/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
08/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
07/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
06/08/2024,6.3(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
05/08/2024,6.3(-1.56 %),0,0,0,0,0,0,"5,734,159",0.15%
02/08/2024,6.4(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
01/08/2024,6.4(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
31/07/2024,6.4(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
30/07/2024,6.4(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
29/07/2024,6.4(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
24/07/2024,6.4(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
23/07/2024,6.4(-1.54 %),0,0,0,0,0,0,"5,734,159",0.15%
22/07/2024,6.5(-2.99 %),0,0,0,0,0,0,"5,734,159",0.15%
19/07/2024,6.7(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
18/07/2024,6.7(6.35 %),0,0,0,0,0,0,"5,734,159",0.15%
17/07/2024,0(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
16/07/2024,0(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
15/07/2024,6.5(-5.80 %),0,0,0,0,0,0,"5,734,159",0.15%
12/07/2024,6.9(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
11/07/2024,6.9(1.47 %),0,0,0,0,0,0,"5,734,159",0.15%
10/07/2024,6.8(0.00 %),0,0,0,0,0,0,"5,734,159",0.15%
08/07/2024,6.8(0.00 %),-200,-0,0,0,200,0,"5,733,959",0.15%
04/07/2024,6.7(-2.90 %),0,0,0,0,0,0,"5,733,959",0.15%
03/07/2024,6.9(2.99 %),0,0,0,0,0,0,"5,733,959",0.15%
02/07/2024,6.7(0.00 %),0,0,0,0,0,0,"5,733,959",0.15%
01/07/2024,6.7(-1.47 %),0,0,0,0,0,0,"5,733,959",0.15%
28/06/2024,6.8(0.00 %),0,0,0,0,0,0,"5,733,959",0.15%
27/06/2024,6.8(-4.23 %),0,0,0,0,0,0,"5,733,959",0.15%
26/06/2024,7.1(-4.05 %),0,0,0,0,0,0,"5,733,959",0.15%
25/06/2024,7.4(-5.13 %),0,0,0,0,0,0,"5,733,259",0.16%
24/06/2024,7.8(9.86 %),-700,-0.01,0,0,700,0.01,"5,733,259",0.16%
21/06/2024,7.1(9.23 %),0,0,0,0,0,0,"5,733,259",0.16%
20/06/2024,6.5(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
19/06/2024,6.5(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
18/06/2024,6.5(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
17/06/2024,0(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
14/06/2024,0(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
13/06/2024,6.5(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
12/06/2024,6.5(-1.52 %),0,0,0,0,0,0,"5,733,259",0.16%
11/06/2024,6.6(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
10/06/2024,6.6(0.00 %),0,0,0,0,0,0,"5,733,259",0%
07/06/2024,6.6(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
06/06/2024,6.6(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
05/06/2024,6.6(1.54 %),0,0,0,0,0,0,"5,733,259",0%
04/06/2024,6.5(-1.52 %),0,0,0,0,0,0,"5,733,259",0%
03/06/2024,6.6(-1.49 %),0,0,0,0,0,0,"5,733,259",0%
31/05/2024,6.7(3.08 %),0,0,0,0,0,0,"5,733,259",0.16%
30/05/2024,6.5(-2.99 %),0,0,0,0,0,0,"5,733,259",0.16%
29/05/2024,6.7(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
28/05/2024,6.7(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
27/05/2024,6.7(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
24/05/2024,6.7(0.00 %),0,0,0,0,0,0,"5,733,259",0%
23/05/2024,6.7(3.08 %),0,0,0,0,0,0,"5,733,259",0.16%
22/05/2024,6.5(-2.99 %),0,0,0,0,0,0,"5,733,259",0.16%
21/05/2024,6.7(3.08 %),0,0,0,0,0,0,"5,733,259",0.16%
20/05/2024,6.5(-2.99 %),0,0,0,0,0,0,"5,733,259",0.16%
17/05/2024,6.7(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
16/05/2024,6.7(-2.90 %),0,0,0,0,0,0,"5,733,259",0%
15/05/2024,6.9(6.15 %),0,0,0,0,0,0,"5,733,259",0%
14/05/2024,6.5(-2.99 %),0,0,0,0,0,0,"5,733,259",0%
13/05/2024,6.7(1.52 %),0,0,0,0,0,0,"5,733,259",0.16%
10/05/2024,6.6(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
09/05/2024,6.6(-4.35 %),0,0,0,0,0,0,"5,733,259",0.16%
08/05/2024,6.9(2.99 %),0,0,0,0,0,0,"5,733,259",0.16%
07/05/2024,6.7(-1.47 %),0,0,0,0,0,0,"5,733,259",0.16%
06/05/2024,6.8(4.62 %),0,0,0,0,0,0,"5,733,259",0.16%
03/05/2024,6.5(-2.99 %),0,0,0,0,0,0,"5,733,259",0.16%
02/05/2024,6.7(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
26/04/2024,6.7(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
25/04/2024,6.7(-2.90 %),0,0,0,0,0,0,"5,733,259",0%
24/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
23/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
22/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
19/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
17/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
16/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
15/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
12/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
11/04/2024,6.9(1.47 %),0,0,0,0,0,0,"5,733,259",0.16%
10/04/2024,6.8(0.00 %),0,0,0,0,0,0,"5,733,259",0%
09/04/2024,6.8(0.00 %),0,0,0,0,0,0,"5,733,259",0%
08/04/2024,6.8(1.49 %),0,0,0,0,0,0,"5,733,259",0%
05/04/2024,6.7(-2.90 %),0,0,0,0,0,0,"5,733,259",0.16%
04/04/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
03/04/2024,6.9(4.55 %),0,0,0,0,0,0,"5,733,259",0.16%
02/04/2024,6.6(0.00 %),0,0,0,0,0,0,"5,733,259",0%
01/04/2024,6.6(-4.35 %),0,0,0,0,0,0,"5,733,259",0.16%
29/03/2024,6.9(-2.82 %),0,0,0,0,0,0,"5,733,259",0.16%
28/03/2024,7.1(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
27/03/2024,7.1(2.90 %),0,0,0,0,0,0,"5,733,259",0.16%
26/03/2024,6.9(-1.43 %),0,0,0,0,0,0,"5,733,259",0%
25/03/2024,7(-1.41 %),0,0,0,0,0,0,"5,733,259",0.16%
22/03/2024,7.1(-1.39 %),0,0,0,0,0,0,"5,733,259",0%
21/03/2024,7.2(0.00 %),0,0,0,0,0,0,"5,733,259",0%
20/03/2024,7.2(0.00 %),0,0,0,0,0,0,"5,733,259",0%
19/03/2024,7.2(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
18/03/2024,7.2(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
15/03/2024,7.2(4.35 %),0,0,0,0,0,0,"5,733,259",0%
14/03/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
13/03/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
12/03/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0.16%
11/03/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
08/03/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
07/03/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
06/03/2024,6.9(0.00 %),0,0,0,0,0,0,"5,733,259",0%
05/03/2024,6.9(-1.43 %),0,0,0,0,0,0,"5,733,259",0.16%
04/03/2024,7(-2.78 %),0,0,0,0,0,0,"5,733,259",0%
01/03/2024,7.2(1.41 %),0,0,0,0,0,0,"5,733,259",0%
29/02/2024,7.1(-2.74 %),0,0,0,0,0,0,"5,733,259",0.16%
28/02/2024,7.3(-2.67 %),0,0,0,0,0,0,"5,731,059",0%
27/02/2024,7.5(2.74 %),"-2,200",-0.02,0,0,"2,200",0.02,"5,731,059",0%
26/02/2024,7.3(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
23/02/2024,7.3(0.00 %),0,0,0,0,0,0,"5,731,059",0%
22/02/2024,7.3(-7.59 %),0,0,0,0,0,0,"5,731,059",0.17%
21/02/2024,7.9(9.72 %),0,0,0,0,0,0,"5,731,059",0.17%
20/02/2024,7.2(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
19/02/2024,7.2(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
16/02/2024,7.2(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
15/02/2024,7.2(1.41 %),0,0,0,0,0,0,"5,731,059",0.17%
07/02/2024,7.1(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
06/02/2024,7.1(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
05/02/2024,7.1(0.00 %),0,0,0,0,0,0,"5,731,059",0%
02/02/2024,7.1(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
01/02/2024,7.1(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
31/01/2024,7.1(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
30/01/2024,7.1(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
29/01/2024,7.1(-2.74 %),0,0,0,0,0,0,"5,731,059",0.17%
26/01/2024,7.3(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
25/01/2024,7.3(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
24/01/2024,7.3(0.00 %),0,0,0,0,0,0,"5,731,059",0.17%
23/01/2024,7.3(5.80 %),0,0,0,0,0,0,"5,731,059",0.17%
22/01/2024,6.9(-5.48 %),0,0,0,0,0,0,"5,731,059",0.17%
