date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,4.6,--,0.3(6.98 %),"1,205",0.01,0,0,4.0,4.6,4.0,blf
11/09/2024,4.5,--,0.1(2.27 %),"2,806",0.01,0,0,4.2,4.7,3.9,blf
10/09/2024,4.4,--,0.3(7.32 %),"4,905",0.02,0,0,4.1,4.4,4.1,blf
09/09/2024,4.1,--,-0.2(-4.65 %),"7,234",0.03,0,0,4.0,4.2,4.0,blf
06/09/2024,4.3,--,0(0.00 %),2,0.0,0,0,4.3,4.3,4.3,blf
05/09/2024,4.3,--,0(0.00 %),400,0.0,0,0,4.3,4.3,4.3,blf
04/09/2024,4.3,--,0(0.00 %),"2,000",0.01,0,0,4.3,4.3,4.3,blf
30/08/2024,4.2,--,0.1(2.44 %),"10,912",0.05,0,0,4.1,4.5,4.1,blf
29/08/2024,4.1,--,0.1(2.50 %),"18,421",0.08,0,0,4.0,4.2,4.0,blf
28/08/2024,4.0,--,0(0.00 %),700,0.0,0,0,4.0,4.0,4.0,blf
27/08/2024,4.0,--,0(0.00 %),102,0.0,0,0,4.0,4.0,4.0,blf
26/08/2024,4.0,--,0(0.00 %),0,0.0,0,0,4.0,4.0,4.0,blf
23/08/2024,4.0,--,-0.1(-2.44 %),"5,610",0.02,0,0,4.1,4.1,4.0,blf
22/08/2024,4.0,--,-0.1(-2.44 %),17,0.0,0,0,4.1,4.1,4.1,blf
21/08/2024,4.0,--,-0.2(-4.76 %),"2,900",0.01,0,0,4.2,4.2,4.0,blf
20/08/2024,4.2,--,0.1(2.44 %),700,0.0,0,0,4.1,4.2,4.1,blf
19/08/2024,4.1,--,0(0.00 %),602,0.0,0,0,4.1,4.1,4.1,blf
16/08/2024,4.1,--,0.1(2.50 %),"1,100",0.0,0,0,4.0,4.1,4.0,blf
15/08/2024,4.0,--,-0.1(-2.44 %),"2,800",0.01,0,0,4.1,4.2,4.0,blf
14/08/2024,4.1,--,0.1(2.50 %),"3,900",0.02,0,0,4.1,4.1,4.1,blf
13/08/2024,4.1,--,0(0.00 %),"4,500",0.02,0,0,4.1,4.1,4.0,blf
12/08/2024,4.2,--,0(0.00 %),"6,640",0.03,0,0,4.1,4.2,4.1,blf
09/08/2024,4.3,--,0.1(2.38 %),"7,200",0.03,0,0,4.1,4.3,4.1,blf
08/08/2024,4.3,--,0(0.00 %),"2,528",0.01,0,0,4.1,4.3,4.1,blf
07/08/2024,4.4,--,0.2(4.76 %),"8,300",0.04,0,0,4.5,4.5,4.1,blf
06/08/2024,4.3,--,0.1(2.38 %),"1,201",0.01,0,0,4.5,4.5,4.1,blf
05/08/2024,4.1,--,-0.1(-2.38 %),"5,538",0.02,0,0,4.2,4.3,4.1,blf
02/08/2024,4.4,--,0(0.00 %),"23,330",0.1,0,0,4.2,4.4,4.2,blf
01/08/2024,4.6,--,0(0.00 %),"6,405",0.03,0,0,4.9,4.9,4.1,blf
31/07/2024,4.6,--,0.1(2.22 %),200,0.0,0,0,4.5,4.6,4.5,blf
30/07/2024,4.5,--,0(0.00 %),"26,840",0.12,0,0,4.5,4.6,4.2,blf
29/07/2024,4.5,--,0.1(2.27 %),"5,400",0.02,0,0,4.5,4.5,4.5,blf
26/07/2024,4.5,--,0(0.00 %),"7,000",0.03,0,0,4.4,4.5,4.4,blf
25/07/2024,4.5,--,0(0.00 %),810,0.0,0,0,4.5,4.5,4.5,blf
24/07/2024,4.5,--,0.1(2.27 %),"2,300",0.01,0,0,4.5,4.5,4.5,blf
23/07/2024,4.5,--,0(0.00 %),"2,100",0.01,0,0,4.5,4.5,4.4,blf
22/07/2024,4.6,--,0(0.00 %),"8,600",0.04,0,0,4.6,4.6,4.4,blf
19/07/2024,4.6,--,0(0.00 %),"19,700",0.09,0,0,4.6,4.7,4.6,blf
18/07/2024,4.6,--,0(0.00 %),"13,500",0.06,0,0,4.7,4.7,4.6,blf
17/07/2024,4.6,--,-0.1(-2.13 %),"4,510",0.02,0,0,4.6,4.6,4.6,blf
16/07/2024,4.7,--,0(0.00 %),"13,600",0.06,0,0,4.8,4.8,4.7,blf
15/07/2024,4.6,--,-0.2(-4.17 %),"22,642",0.11,0,0,4.7,4.7,4.6,blf
12/07/2024,4.8,--,-0.1(-2.04 %),"14,320",0.07,0,0,4.9,4.9,4.8,blf
11/07/2024,4.9,--,0.1(2.08 %),"4,012",0.02,0,0,5.0,5.2,4.9,blf
10/07/2024,4.9,--,0(0.00 %),"31,752",0.15,0,0,5.0,5.0,4.7,blf
09/07/2024,5.0,--,0.1(2.04 %),"8,400",0.04,0,0,4.9,5.0,4.9,blf
08/07/2024,4.9,--,0(0.00 %),"17,400",0.09,0,0,5.0,5.0,4.9,blf
05/07/2024,5.0,--,0(0.00 %),"6,900",0.03,0,0,5.0,5.0,4.9,blf
04/07/2024,5.0,--,-0.2(-3.85 %),"14,900",0.07,0,0,5.0,5.3,5.0,blf
03/07/2024,5.2,--,0.1(1.96 %),"1,700",0.01,0,0,5.1,5.3,5.1,blf
02/07/2024,5.1,--,0.1(2.00 %),"10,100",0.05,0,0,5.1,5.2,5.1,blf
01/07/2024,5.1,--,0(0.00 %),"1,600",0.01,0,0,5.0,5.1,4.8,blf
28/06/2024,5.1,--,0.1(2.00 %),914,0.0,0,0,5.1,5.4,5.1,blf
27/06/2024,5.0,--,0(0.00 %),"2,400",0.01,0,0,5.0,5.1,5.0,blf
26/06/2024,5.1,--,-0.1(-1.92 %),"20,915",0.11,0,0,5.2,5.2,4.9,blf
25/06/2024,5.1,--,0.2(4.08 %),"29,025",0.15,0,0,5.6,5.6,5.0,blf
24/06/2024,5.0,--,0(0.00 %),"24,700",0.12,0,0,5.1,5.1,4.8,blf
21/06/2024,5.1,--,0(0.00 %),"45,789",0.23,0,0,5.0,5.8,4.9,blf
20/06/2024,5.2,--,0.1(1.96 %),"22,000",0.11,0,0,5.1,5.2,5.0,blf
19/06/2024,5.2,--,0(0.00 %),"31,966",0.16,0,0,5.2,5.2,5.0,blf
18/06/2024,5.1,--,0(0.00 %),"49,603",0.26,0,0,5.2,5.3,5.1,blf
17/06/2024,5.1,--,-0.2(-3.77 %),"14,642",0.07,0,0,5.2,5.2,5.0,blf
