date,rate_change,buy_orders,buy_volume,average_buy_order_volume,sell_orders,sell_volume,average_sell_order_volume,net_volume,ticker
12/09/2024,4.6 ( 6.98 %),13,"25,700","1,976.92",11,"4,800",436,"20,900",blf
11/09/2024,4.5 ( 2.27 %),10,"6,900",690,18,"19,300","1,072","-12,400",blf
10/09/2024,4.4 ( 7.32 %),13,"11,100",853.85,11,"17,400","1,582","-6,300",blf
09/09/2024,4.1 ( -4.65 %),12,"22,100","1,841.67",11,"10,100",918,"12,000",blf
06/09/2024,4.3 ( 0 %),4,"4,900","1,225",7,"6,200",886,"-1,300",blf
05/09/2024,4.3 ( 0 %),6,"5,700",950,7,"6,100",871,-400,blf
04/09/2024,4.3 ( 0 %),8,"10,700","1,337.5",8,"6,000",750,"4,700",blf
30/08/2024,4.2 ( 2.44 %),24,"23,200",966.67,18,"19,600","1,089","3,600",blf
29/08/2024,4.1 ( 2.5 %),17,"27,400","1,611.76",15,"27,100","1,807",300,blf
28/08/2024,4 ( 0 %),10,"12,100","1,210",6,"15,500","2,583","-3,400",blf
27/08/2024,4 ( 0 %),7,"6,700",957.14,9,"12,700","1,411","-6,000",blf
26/08/2024,4 ( 0 %),8,"7,600",950,9,"14,200","1,578","-6,600",blf
23/08/2024,4 ( -2.44 %),12,"16,400","1,366.67",13,"20,100","1,546","-3,700",blf
22/08/2024,4 ( -2.44 %),8,"7,600",950,7,"9,900","1,414","-2,300",blf
21/08/2024,4 ( -4.76 %),19,"14,700",773.68,10,"16,800","1,680","-2,100",blf
20/08/2024,4.2 ( 2.44 %),9,"6,300",700,12,"14,500","1,208","-8,200",blf
19/08/2024,4.1 ( 0 %),8,"9,700","1,212.5",12,"13,000","1,083","-3,300",blf
16/08/2024,4.1 ( 2.5 %),10,"8,900",890,11,"14,100","1,282","-5,200",blf
15/08/2024,4 ( -2.44 %),14,"9,600",685.71,13,"21,600","1,662","-12,000",blf
14/08/2024,4.1 ( 2.5 %),14,"10,500",750,10,"16,300","1,630","-5,800",blf
13/08/2024,4.1 ( 0 %),10,"7,600",760,12,"14,600","1,217","-7,000",blf
12/08/2024,4.2 ( 0 %),14,"10,900",778.57,14,"21,300","1,521","-10,400",blf
09/08/2024,4.3 ( 2.38 %),14,"17,700","1,264.29",10,"17,300","1,730",400,blf
08/08/2024,4.3 ( 0 %),24,"16,400",683.33,13,"12,700",977,"3,700",blf
07/08/2024,4.4 ( 4.76 %),16,"17,700","1,106.25",13,"30,300","2,331","-12,600",blf
06/08/2024,4.3 ( 2.38 %),16,"10,400",650,12,"17,800","1,483","-7,400",blf
05/08/2024,4.1 ( -2.38 %),13,"19,100","1,469.23",14,"21,900","1,564","-2,800",blf
02/08/2024,4.4 ( 0 %),32,"33,800","1,056.25",25,"36,500","1,460","-2,700",blf
01/08/2024,4.6 ( 0 %),29,"13,900",479.31,27,"43,000","1,593","-29,100",blf
31/07/2024,4.6 ( 2.22 %),5,"4,300",860,10,"16,800","1,680","-12,500",blf
30/07/2024,4.5 ( 0 %),16,"32,900","2,056.25",15,"41,700","2,780","-8,800",blf
29/07/2024,4.5 ( 2.27 %),12,"9,600",800,7,"22,900","3,271","-13,300",blf
26/07/2024,4.5 ( 0 %),19,"31,500","1,657.89",12,"32,700","2,725","-1,200",blf
25/07/2024,4.5 ( 0 %),9,"13,900","1,544.44",8,"19,400","2,425","-5,500",blf
24/07/2024,4.5 ( 2.27 %),15,"17,300","1,153.33",5,"15,200","3,040","2,100",blf
23/07/2024,4.5 ( 0 %),15,"8,800",586.67,13,"22,000","1,692","-13,200",blf
22/07/2024,4.6 ( 0 %),21,"16,000",761.9,20,"29,100","1,455","-13,100",blf
19/07/2024,4.6 ( 0 %),13,"25,900","1,992.31",18,"39,200","2,178","-13,300",blf
18/07/2024,4.6 ( 0 %),21,"30,600","1,457.14",20,"42,500","2,125","-11,900",blf
17/07/2024,4.6 ( -2.13 %),19,"29,000","1,526.32",22,"32,000","1,455","-3,000",blf
16/07/2024,4.7 ( 0 %),38,"54,500","1,434.21",24,"40,800","1,700","13,700",blf
15/07/2024,4.6 ( -4.17 %),46,"52,600","1,143.48",36,"52,000","1,444",600,blf
12/07/2024,4.8 ( -2.04 %),30,"42,100","1,403.33",37,"54,600","1,476","-12,500",blf
11/07/2024,4.9 ( 2.08 %),25,"13,700",548,33,"50,100","1,518","-36,400",blf
10/07/2024,4.9 ( 0 %),53,"45,500",858.49,30,"47,500","1,583","-2,000",blf
09/07/2024,5 ( 2.04 %),24,"21,100",879.17,24,"33,400","1,392","-12,300",blf
08/07/2024,4.9 ( 0 %),28,"41,400","1,478.57",25,"53,400","2,136","-12,000",blf
05/07/2024,5 ( 0 %),17,"20,900","1,229.41",26,"35,300","1,358","-14,400",blf
04/07/2024,5 ( -3.85 %),37,"32,400",875.68,35,"64,100","1,831","-31,700",blf
03/07/2024,5.2 ( 1.96 %),14,"12,000",857.14,30,"51,700","1,723","-39,700",blf
02/07/2024,5.1 ( 2 %),34,"27,100",797.06,29,"23,900",824,"3,200",blf
01/07/2024,5.1 ( 0 %),38,"33,200",873.68,30,"26,700",890,"6,500",blf
28/06/2024,5.1 ( 2 %),22,"13,500",613.64,35,"50,900","1,454","-37,400",blf
27/06/2024,5 ( 0 %),21,"18,500",880.95,29,"20,800",717,"-2,300",blf
26/06/2024,5.1 ( -1.92 %),31,"63,500","2,048.39",34,"51,900","1,526","11,600",blf
25/06/2024,5.1 ( 4.08 %),50,"48,500",970,50,"68,400","1,368","-19,900",blf
24/06/2024,5 ( 0 %),55,"40,600",738.18,28,"34,000","1,214","6,600",blf
21/06/2024,5.1 ( 0 %),60,"70,700","1,178.33",59,"127,600","2,163","-56,900",blf
20/06/2024,5.2 ( 1.96 %),41,"37,600",917.07,32,"37,600","1,175",0,blf
19/06/2024,5.2 ( 0 %),43,"53,500","1,244.19",50,"74,300","1,486","-20,800",blf
18/06/2024,5.1 ( 0 %),57,"74,600","1,308.77",41,"84,500","2,061","-9,900",blf
17/06/2024,5.1 ( -3.77 %),36,"29,600",822.22,35,"47,700","1,363","-18,100",blf
14/06/2024,5.3 ( 0 %),47,"71,400","1,519.15",44,"74,700","1,698","-3,300",blf
13/06/2024,5.3 ( 1.92 %),49,"43,500",887.76,38,"58,300","1,534","-14,800",blf
12/06/2024,5.4 ( 0 %),81,"76,200",940.74,39,"90,200","2,313","-14,000",blf
11/06/2024,5.4 ( -1.82 %),43,"53,300","1,239.53",42,"88,600","2,110","-35,300",blf
10/06/2024,5.4 ( 0 %),68,"46,400",682.35,41,"56,300","1,373","-9,900",blf
07/06/2024,5.6 ( 1.82 %),117,"82,100",701.71,67,"120,500","1,799","-38,400",blf
06/06/2024,5.4 ( 0 %),65,"36,100",555.38,52,"55,800","1,073","-19,700",blf
05/06/2024,5.6 ( 0 %),102,"65,800",645.1,40,"67,700","1,692","-1,900",blf
04/06/2024,5.6 ( -3.45 %),57,"56,900",998.25,52,"92,600","1,781","-35,700",blf
03/06/2024,5.8 ( -3.33 %),146,"176,000","1,205.48",97,"197,600","2,037","-21,600",blf
31/05/2024,6 ( -3.23 %),85,"60,000",705.88,75,"100,200","1,336","-40,200",blf
30/05/2024,6.6 ( 11.86 %),213,"350,500","1,645.54",155,"321,300","2,073","29,200",blf
29/05/2024,5.9 ( 13.46 %),66,"383,300","5,807.58",31,"69,900","2,255","313,400",blf
28/05/2024,5.2 ( 13.04 %),93,"752,700","8,093.55",21,"18,000",857,"734,700",blf
27/05/2024,4.7 ( 14.63 %),115,"2,267,700","19,719.13",34,"78,500","2,309","2,189,200",blf
24/05/2024,4 ( -2.44 %),39,"30,000",769.23,28,"61,100","2,182","-31,100",blf
23/05/2024,4.2 ( 2.44 %),37,"30,700",829.73,30,"51,500","1,717","-20,800",blf
22/05/2024,4.2 ( -2.33 %),60,"58,700",978.33,37,"104,700","2,830","-46,000",blf
21/05/2024,4.4 ( 2.33 %),36,"46,300","1,286.11",32,"67,300","2,103","-21,000",blf
20/05/2024,4.4 ( 2.33 %),20,"28,900","1,445",28,"53,300","1,904","-24,400",blf
17/05/2024,4.3 ( 2.38 %),42,"58,700","1,397.62",46,"90,100","1,959","-31,400",blf
16/05/2024,4.2 ( -2.33 %),72,"91,300","1,268.06",44,"116,500","2,648","-25,200",blf
15/05/2024,4.3 ( -2.27 %),53,"78,800","1,486.79",44,"94,000","2,136","-15,200",blf
14/05/2024,4.5 ( 4.65 %),44,"49,600","1,127.27",41,"56,700","1,383","-7,100",blf
13/05/2024,4.4 ( 0 %),47,"68,600","1,459.57",33,"85,500","2,591","-16,900",blf
10/05/2024,4.4 ( 2.33 %),22,"34,800","1,581.82",26,"39,400","1,515","-4,600",blf
09/05/2024,4.4 ( 0 %),39,"35,700",915.38,28,"41,800","1,493","-6,100",blf
08/05/2024,4.4 ( -4.35 %),20,"16,300",815,20,"39,000","1,950","-22,700",blf
07/05/2024,4.5 ( -2.17 %),26,"27,000","1,038.46",31,"36,100","1,165","-9,100",blf
06/05/2024,4.5 ( 0 %),28,"42,400","1,514.29",29,"44,200","1,524","-1,800",blf
03/05/2024,4.5 ( 0 %),31,"28,900",932.26,35,"73,400","2,097","-44,500",blf
02/05/2024,4.6 ( 4.55 %),28,"27,100",967.86,26,"55,900","2,150","-28,800",blf
26/04/2024,4.9 ( 11.36 %),42,"44,200","1,052.38",22,"28,900","1,314","15,300",blf
25/04/2024,4.6 ( 0 %),32,"21,500",671.88,43,"91,000","2,116","-69,500",blf
24/04/2024,4.6 ( 0 %),41,"44,400","1,082.93",38,"77,300","2,034","-32,900",blf
23/04/2024,4.8 ( 2.13 %),32,"35,600","1,112.5",34,"36,900","1,085","-1,300",blf
22/04/2024,4.6 ( 2.22 %),29,"32,700","1,127.59",23,"58,100","2,526","-25,400",blf
19/04/2024,4.7 ( -6 %),52,"55,600","1,069.23",35,"55,600","1,589",0,blf
17/04/2024,4.9 ( 4.26 %),21,"30,200","1,438.1",38,"41,000","1,079","-10,800",blf
16/04/2024,4.7 ( 0 %),26,"41,600","1,600",30,"54,000","1,800","-12,400",blf
15/04/2024,4.7 ( -6 %),46,"50,300","1,093.48",33,"66,000","2,000","-15,700",blf
12/04/2024,5 ( 0 %),28,"26,900",960.71,65,"92,900","1,429","-66,000",blf
11/04/2024,5.4 ( 8 %),37,"27,100",732.43,29,"15,400",531,"11,700",blf
10/04/2024,5.1 ( 4.08 %),37,"25,600",691.89,26,"21,600",831,"4,000",blf
09/04/2024,4.9 ( 2.08 %),33,"28,200",854.55,25,"29,500","1,180","-1,300",blf
08/04/2024,4.9 ( -2 %),60,"50,100",835,47,"69,300","1,474","-19,200",blf
05/04/2024,5.1 ( 0 %),43,"51,300","1,193.02",36,"67,400","1,872","-16,100",blf
04/04/2024,5.3 ( -3.64 %),59,"69,600","1,179.66",41,"86,700","2,115","-17,100",blf
