date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership
12/09/2024,4.6(6.98 %),0,0,0,0,0,0,"-278,220",2.42%
11/09/2024,4.5(2.27 %),0,0,0,0,0,0,"-278,220",2.42%
10/09/2024,4.4(7.32 %),0,0,0,0,0,0,"-278,220",2.42%
09/09/2024,4.1(-4.65 %),0,0,0,0,0,0,"-278,220",2.42%
06/09/2024,4.3(0.00 %),0,0,0,0,0,0,"-278,220",2.42%
05/09/2024,4.3(0.00 %),0,0,0,0,0,0,"-278,220",2.42%
04/09/2024,4.3(0.00 %),0,0,0,0,0,0,"-278,220",2.42%
30/08/2024,4.2(2.44 %),0,0,0,0,0,0,"-278,220",2.42%
29/08/2024,4.1(2.50 %),0,0,0,0,0,0,"-278,220",2.42%
28/08/2024,4(0.00 %),0,0,0,0,0,0,"-278,220",2.42%
27/08/2024,4(0.00 %),0,0,0,0,0,0,"-278,220",2.42%
26/08/2024,4(0.00 %),0,0,0,0,0,0,"-278,220",2.42%
23/08/2024,4(-2.44 %),0,0,0,0,0,0,"-278,220",2.42%
22/08/2024,4(-2.44 %),0,0,0,0,0,0,"-278,220",2.42%
21/08/2024,4(-4.76 %),0,0,0,0,0,0,"-278,220",2.42%
20/08/2024,4.2(2.44 %),0,0,0,0,0,0,"-27,822",2.42%
19/08/2024,4.1(0.00 %),0,0,0,0,0,0,"-27,822",2.42%
16/08/2024,4.1(2.50 %),0,0,0,0,0,0,"-27,822",2.42%
15/08/2024,4(-2.44 %),0,0,0,0,0,0,"-27,822",2.42%
14/08/2024,4.1(2.50 %),0,0,0,0,0,0,"-27,822",2.42%
13/08/2024,4.1(0.00 %),0,0,0,0,0,0,"-27,842",2.42%
12/08/2024,4.2(0.00 %),-200,-0,0,0,200,0,"-27,842",2.42%
09/08/2024,4.3(2.38 %),0,0,0,0,0,0,"-278,420",2.42%
08/08/2024,4.3(0.00 %),0,0,0,0,0,0,"-278,420",2.42%
07/08/2024,4.4(4.76 %),0,0,0,0,0,0,"-278,420",2.42%
06/08/2024,4.3(2.38 %),0,0,0,0,0,0,"-278,420",2.42%
05/08/2024,4.1(-2.38 %),0,0,0,0,0,0,"-278,420",2.42%
02/08/2024,4.4(0.00 %),0,0,0,0,0,0,"-278,420",2.42%
