date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low
12/09/2024,10,--,0(0.00 %),"50,439",0.5,0,0,10.2,10.2,9.9
11/09/2024,10.2,--,0(0.00 %),"34,200",0.34,0,0,10,10.2,9.8
10/09/2024,10.3,--,0(0.00 %),"34,313",0.35,0,0,10.4,10.4,10
09/09/2024,10.5,--,0.1(0.96 %),"23,008",0.24,0,0,10.5,10.5,10.2
06/09/2024,10.6,--,0.6(6.00 %),"48,705",0.51,0,0,10.3,10.6,10.3
05/09/2024,10.5,--,0(0.00 %),"60,106",0.6,0,0,10.6,10.6,9
04/09/2024,10.6,--,0.1(0.95 %),"62,609",0.66,0,0,10.8,10.8,10.3
30/08/2024,10.8,--,0.2(1.89 %),"6,000",0.06,0,0,10.6,10.8,10.5
29/08/2024,10.7,--,0.7(7.00 %),"21,307",0.23,0,0,10.6,10.7,10.5
28/08/2024,10.5,--,-0.4(-3.67 %),"111,201",1.11,0,0,10.9,10.9,9.3
27/08/2024,11,--,0(0.00 %),"3,524",0.04,0,0,10.9,11,10.9
26/08/2024,11,--,0(0.00 %),"2,672",0.03,0,0,11,11,10.9
23/08/2024,11,--,0(0.00 %),"28,079",0.31,0,0,11,11,11
22/08/2024,11,--,0(0.00 %),"31,606",0.35,0,0,11,11,10.9
21/08/2024,11.1,--,0.1(0.91 %),"16,920",0.19,0,0,11,11.1,11
20/08/2024,11.2,--,0.2(1.82 %),"23,243",0.26,0,0,11.2,11.2,11
19/08/2024,11.2,--,0.3(2.75 %),"25,016",0.27,0,0,11,11.2,10.8
16/08/2024,11.2,--,0.3(2.75 %),"34,122",0.37,0,0,10.8,11.2,10.7
15/08/2024,10.9,--,-0.1(-0.91 %),"27,606",0.3,0,0,11,11,10.8
14/08/2024,11.1,--,0(0.00 %),"20,601",0.23,0,0,11,11.2,10.9
13/08/2024,11.1,--,0(0.00 %),"7,601",0.08,0,0,11.2,11.2,11
12/08/2024,11.3,--,0.1(0.89 %),"12,271",0.14,0,0,11.1,11.3,11.1
09/08/2024,11.3,--,0.1(0.89 %),"6,442",0.07,0,0,11.2,11.3,11.1
08/08/2024,11.2,--,0(0.00 %),"1,212",0.01,0,0,11.2,11.2,11
07/08/2024,11.3,--,0.1(0.89 %),"7,800",0.09,0,0,11.3,11.3,11.1
06/08/2024,11.3,--,0.2(1.80 %),"16,700",0.19,0,0,11.3,11.3,11.2
05/08/2024,11.2,--,0(0.00 %),"14,803",0.16,0,0,11.4,11.5,11
02/08/2024,11.5,--,0(0.00 %),"18,400",0.21,0,0,11.3,11.5,11.1
01/08/2024,11.4,--,-0.3(-2.56 %),"26,685",0.31,0,0,11.7,11.7,11
31/07/2024,11.8,--,0.1(0.85 %),"23,423",0.27,0,0,11.7,11.8,11.6
30/07/2024,11.8,--,0(0.00 %),"4,583",0.05,0,0,11.8,11.8,11.7
29/07/2024,11.8,--,0(0.00 %),"5,169",0.06,0,0,11.8,11.9,11.7
26/07/2024,12,--,0.2(1.69 %),"7,704",0.09,0,0,11.6,12,11.6
25/07/2024,11.8,--,0.1(0.85 %),"13,350",0.16,0,0,11.8,11.9,11.7
24/07/2024,11.8,--,0.2(1.72 %),"43,100",0.5,0,0,11.6,11.8,11.6
23/07/2024,11.6,--,-0.1(-0.85 %),"34,151",0.4,0,0,11.8,11.8,11
22/07/2024,11.8,--,0.1(0.85 %),"27,377",0.32,0,0,11.7,11.8,11.6
19/07/2024,11.7,--,0.1(0.86 %),"24,131",0.28,0,0,11.7,11.8,11.5
18/07/2024,11.8,--,0(0.00 %),"82,869",0.96,0,0,11.5,11.8,11.5
17/07/2024,11.8,--,-0.2(-1.67 %),"58,301",0.69,0,0,12,12,11.5
16/07/2024,12.1,--,0.1(0.83 %),"23,975",0.29,0,0,12,12.1,12
15/07/2024,12,--,0(0.00 %),"16,782",0.2,0,0,12.1,12.1,11.9
12/07/2024,12.1,--,0(0.00 %),"33,409",0.4,0,0,12,12.2,12
11/07/2024,12.1,--,-0.1(-0.82 %),"26,580",0.32,0,0,12.3,12.3,12.1
10/07/2024,12.2,--,0(0.00 %),"50,027",0.61,0,0,12.5,12.5,12.1
09/07/2024,12.4,--,0.4(3.33 %),"75,441",0.92,0,0,12,12.4,11.9
08/07/2024,12,--,0(0.00 %),"39,567",0.47,0,0,12.1,12.1,11.9
05/07/2024,12.2,--,-0.2(-1.61 %),"20,932",0.25,0,0,12.3,12.3,12
04/07/2024,12.3,--,0.3(2.50 %),"20,400",0.25,0,0,12,12.5,12
03/07/2024,12.1,--,0(0.00 %),"13,172",0.16,0,0,12.3,12.3,11.9
02/07/2024,12.2,--,0.3(2.52 %),"28,545",0.34,0,0,12.2,12.3,12
01/07/2024,12.3,--,-0.1(-0.81 %),"49,686",0.59,0,0,12.2,12.3,11.9
28/06/2024,12.3,--,-0.4(-3.15 %),"46,813",0.58,0,0,12.5,12.7,12.2
27/06/2024,12.7,--,0.2(1.60 %),"83,680",1.07,0,0,12.9,13,12.5
26/06/2024,12.7,--,0.1(0.79 %),"40,444",0.5,0,0,12.4,12.8,12.1
25/06/2024,12.7,--,-0.2(-1.55 %),"43,836",0.55,0,0,12.8,12.9,12.4
24/06/2024,12.7,--,-0.1(-0.78 %),"177,989",2.29,0,0,13,13.4,12.4
21/06/2024,12.7,--,0.5(4.10 %),"70,227",0.9,0,0,12.3,13.2,12.3
20/06/2024,12.6,--,0.7(5.88 %),"175,138",2.14,0,0,12,12.6,11.9
19/06/2024,12,--,-0.1(-0.83 %),"57,310",0.68,0,0,12,12.2,11.7
18/06/2024,12.1,--,0.2(1.68 %),"16,797",0.2,0,0,11.9,12.3,11.9
17/06/2024,12.3,--,0.2(1.65 %),"56,837",0.68,0,0,11.9,12.3,11.7
14/06/2024,12.2,--,-0.7(-5.43 %),"91,770",1.11,0,0,12.8,12.8,11.5
13/06/2024,12.6,--,0.1(0.80 %),"139,911",1.8,0,0,12.9,13.5,12.1
12/06/2024,12.7,--,1.2(10.43 %),"167,946",2.11,0,0,11.7,13.2,11.7
11/06/2024,11.7,--,0.3(2.63 %),"118,400",1.37,0,0,11.5,11.7,11.5
10/06/2024,11.5,--,0.2(1.77 %),"101,870",1.16,0,0,11.3,11.5,11.3
07/06/2024,11.3,--,0.1(0.89 %),"99,010",1.12,0,0,11.2,11.3,11.2
06/06/2024,11.2,--,0.1(0.90 %),"93,466",1.05,0,0,11.3,11.3,11.1
05/06/2024,11.2,--,0.2(1.82 %),"152,101",1.69,0,0,11,11.4,11
04/06/2024,11,--,0(0.00 %),"57,253",0.63,0,0,11,11,10.9
03/06/2024,11,--,0(0.00 %),"38,636",0.43,0,0,11.1,11.1,10.9
31/05/2024,11.1,--,0.1(0.91 %),"77,402",0.85,0,0,11,11.1,10.9
30/05/2024,11.2,--,-0.3(-2.61 %),"30,910",0.34,0,0,11.5,11.5,10.9
29/05/2024,11.5,--,-0.3(-2.54 %),"60,800",0.7,0,0,11.8,11.8,11.2
28/05/2024,11.8,--,0.1(0.85 %),"89,801",1.06,0,0,11.9,12,11.7
27/05/2024,11.8,--,0.8(7.27 %),"107,900",1.26,0,0,11,12,11
24/05/2024,11.1,--,0.2(1.83 %),"157,719",1.73,0,0,10.8,11.3,10.8
23/05/2024,10.9,--,0(0.00 %),"11,421",0.12,0,0,11,11,10.8
22/05/2024,11,--,0(0.00 %),"17,868",0.2,0,0,10.9,11,10.9
21/05/2024,11,--,0(0.00 %),"30,930",0.34,0,0,11,11,10.9
20/05/2024,11,--,0(0.00 %),"33,800",0.37,0,0,10.8,11.1,10.8
17/05/2024,11,--,0(0.00 %),10,0,0,0,11,11,11
16/05/2024,11,--,0.3(2.80 %),726,0.01,0,0,10.9,11,10.9
15/05/2024,11,--,0.3(2.80 %),"17,150",0.18,0,0,10.3,11,10.3
14/05/2024,11,--,0.2(1.85 %),"17,800",0.19,0,0,10.8,11,10.6
13/05/2024,11,--,0(0.00 %),"10,700",0.12,0,0,11,11,10.7
10/05/2024,11,--,0.2(1.85 %),100,0,0,0,11,11,11
09/05/2024,11,--,-0.1(-0.90 %),"1,405",0.02,0,0,10.6,11,10.6
08/05/2024,11.1,--,0(0.00 %),0,0,0,0,11.1,11.1,11.1
07/05/2024,11.2,--,0.5(4.67 %),"1,600",0.02,0,0,11,11.2,11
06/05/2024,11.4,--,0.8(7.55 %),"5,918",0.06,0,0,10.7,11.4,10.6
03/05/2024,11.7,--,1.3(12.50 %),"16,000",0.17,0,0,10.5,11.7,10.4
02/05/2024,10.5,--,0.1(0.96 %),"6,400",0.07,0,0,10.4,10.5,10.4
26/04/2024,10.5,--,0.2(1.94 %),"24,334",0.25,0,0,10.4,10.5,10.3
25/04/2024,10.5,--,0.1(0.96 %),"18,402",0.19,0,0,10,10.5,10
24/04/2024,10.2,--,0(0.00 %),"30,300",0.31,0,0,10.4,10.5,10.1
23/04/2024,10.3,--,0.2(1.98 %),"5,600",0.06,0,0,10.3,10.3,10.2
22/04/2024,10.3,--,0.2(1.98 %),"21,801",0.22,0,0,10,10.3,9.7
19/04/2024,10.4,--,0.1(0.97 %),"15,800",0.16,0,0,10.2,10.4,9.5
17/04/2024,10.6,--,0(0.00 %),"4,803",0.05,0,0,10.2,10.6,10.2
16/04/2024,10.6,--,0(0.00 %),0,0,0,0,10.6,10.6,10.6
15/04/2024,10.6,--,0(0.00 %),0,0,0,0,10.6,10.6,10.6
12/04/2024,10.7,--,0.2(1.90 %),"13,647",0.14,0,0,10.7,10.8,10.5
11/04/2024,10.8,--,0.3(2.86 %),"5,000",0.05,0,0,10.5,10.8,10.5
10/04/2024,11,--,0.5(4.76 %),"18,500",0.19,0,0,11.1,11.1,10.5
09/04/2024,10.8,--,0(0.00 %),"75,300",0.79,0,0,10.7,10.8,10.5
08/04/2024,10.8,--,-0.1(-0.92 %),"1,200",0.01,0,0,10.8,10.8,10.8
05/04/2024,10.9,--,0(0.00 %),102,0,0,0,10.9,10.9,10.9
04/04/2024,10.9,--,0.1(0.93 %),"2,107",0.02,0,0,10.9,10.9,10.8
03/04/2024,10.9,--,0.1(0.93 %),700,0.01,0,0,10.9,10.9,10.8
02/04/2024,10.9,--,0(0.00 %),"50,100",0.54,0,0,10.9,11,10.7
01/04/2024,11,--,0(0.00 %),"1,600",0.02,0,0,10.8,11,10.8
29/03/2024,11,--,0.1(0.92 %),"65,100",0.71,0,0,10.9,11.1,10.7
28/03/2024,10.9,--,0(0.00 %),"6,901",0.08,0,0,10.9,10.9,10.9
27/03/2024,11,--,0.1(0.92 %),"1,702",0.02,0,0,10.9,11,10.9
26/03/2024,11,--,0.1(0.92 %),"16,400",0.18,0,0,10.9,11,10.9
25/03/2024,11.1,--,0.3(2.78 %),"20,003",0.22,0,0,10.8,11.3,10.4
22/03/2024,11,--,0.2(1.85 %),"10,000",0.11,0,0,10.9,11,10.8
21/03/2024,11,--,0.1(0.92 %),"2,800",0.03,0,0,10.7,11,10.7
