date,rate_change,net_trading_volume,net_trading_value_billion_vnd,buy_volume,buy_value_billion_vnd,sell_volume,sell_value_billion_vnd,remaining_room,current_ownership,ticker
12/09/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
11/09/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
10/09/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
09/09/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
06/09/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
05/09/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
04/09/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
30/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
29/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
28/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
27/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
26/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
23/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
22/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
21/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
20/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
19/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
16/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
15/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
14/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
13/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
12/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
09/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
08/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
07/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
06/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
05/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
02/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
01/08/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
31/07/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
30/07/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
29/07/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
24/07/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
23/07/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
22/07/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
19/07/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
18/07/2024,7.3(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
17/07/2024,0(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
16/07/2024,0(0.00 %),0,0,0,0,0,0,"2,449,400",0.01%,bln
