date,close,adjusting_price,rate_change,order_matching_volume,order_matching_value,block_trade_volume,block_trade_value,open,high,low,ticker
12/09/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,bmj
11/09/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,bmj
10/09/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,bmj
09/09/2024,11.6,--,0(0.00 %),5,0.0,0,0.0,11.6,11.6,11.6,bmj
06/09/2024,11.6,--,0(0.00 %),11,0.0,0,0.0,11.6,11.6,11.6,bmj
05/09/2024,11.6,--,0(0.00 %),1,0.0,0,0.0,11.6,11.6,11.6,bmj
04/09/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,bmj
30/08/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,bmj
29/08/2024,11.6,--,0(0.00 %),1,0.0,0,0.0,11.6,11.6,11.6,bmj
28/08/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,bmj
27/08/2024,11.6,--,0(0.00 %),0,0.0,0,0.0,11.6,11.6,11.6,bmj
26/08/2024,11.6,--,1.5(14.85 %),104,0.0,0,0.0,11.6,11.6,11.6,bmj
23/08/2024,10.1,--,0(0.00 %),7,0.0,0,0.0,10.1,10.1,10.1,bmj
22/08/2024,10.1,--,0(0.00 %),1,0.0,0,0.0,10.1,10.1,10.1,bmj
21/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bmj
20/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bmj
19/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bmj
16/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bmj
15/08/2024,10.1,--,0(0.00 %),0,0.0,0,0.0,10.1,10.1,10.1,bmj
14/08/2024,10.1,--,0.7(7.45 %),102,0.0,0,0.0,10.1,10.1,10.1,bmj
13/08/2024,9.9,--,0.5(5.32 %),400,0.0,0,0.0,9.2,9.9,9.2,bmj
12/08/2024,10.0,--,1.2(13.64 %),"1,616",0.02,0,0.0,9.9,10.0,8.2,bmj
09/08/2024,8.8,--,-1.5(-14.56 %),100,0.0,0,0.0,8.8,8.8,8.8,bmj
08/08/2024,10.3,--,0(0.00 %),0,0.0,0,0.0,10.3,10.3,10.3,bmj
07/08/2024,10.3,--,0(0.00 %),0,0.0,0,0.0,10.3,10.3,10.3,bmj
06/08/2024,10.3,--,1.2(13.19 %),101,0.0,0,0.0,10.3,10.3,10.3,bmj
05/08/2024,9.1,--,-1.6(-14.95 %),"10,103",0.09,0,0.0,9.1,9.7,9.1,bmj
02/08/2024,10.7,--,0(0.00 %),1,0.0,0,0.0,10.7,10.7,10.7,bmj
01/08/2024,10.7,--,0(0.00 %),0,0.0,0,0.0,10.7,10.7,10.7,bmj
31/07/2024,10.7,--,0(0.00 %),2,0.0,0,0.0,10.7,10.7,10.7,bmj
30/07/2024,10.7,--,0(0.00 %),0,0.0,0,0.0,10.7,10.7,10.7,bmj
29/07/2024,10.7,--,0(0.00 %),0,0.0,0,0.0,10.7,10.7,10.7,bmj
26/07/2024,10.7,--,0.7(7.00 %),113,0.0,0,0.0,10.7,10.7,10.7,bmj
25/07/2024,10.0,--,0.1(1.01 %),200,0.0,0,0.0,10.0,10.0,10.0,bmj
